,PL87FC~1,
Wavenumbers [1/cm],Intensity,
1259.088,3575.4857,
1256.178,3506.0206,
1253.267,3420.5992,
1250.356,3360.3238,
1247.446,3318.1942,
1244.535,3260.6162,
1241.625,3172.4205,
1238.714,3089.5501,
1235.804,3026.4832,
1232.893,2908.1267,
1229.982,2896.9383,
1227.072,2799.1646,
1224.161,2761.9919,
1221.251,2715.302,
1218.340,2667.5638,
1215.430,2631.6329,
1212.519,2588.7262,
1209.608,2548.58,
1206.698,2554.5908,
1203.787,2601.1595,
1200.877,2595.9187,
1197.966,2606.7086,
1195.055,2678.9229,
1192.145,2775.4005,
1189.234,2817.5234,
1186.324,2851.9798,
1183.413,2872.0419,
1180.503,2874.9833,
1177.592,2874.6336,
1174.681,2830.1678,
1171.771,2788.1058,
1168.860,2781.8541,
1165.950,2720.7783,
1163.039,2733.4877,
1160.129,2702.7804,
1157.218,2676.1344,
1154.307,2690.7518,
1151.397,2708.4252,
1148.486,2696.5065,
1145.576,2659.0595,
1142.665,2677.7057,
1139.754,2688.1999,
1136.844,2660.8373,
1133.933,2641.2119,
1131.023,2660.3269,
1128.112,2681.1795,
1125.202,2680.3949,
1122.291,2717.2635,
1119.380,2752.1374,
1116.470,2740.6645,
1113.559,2769.4067,
1110.649,2763.8434,
1107.738,2748.7485,
1104.828,2716.4518,
1101.917,2669.3028,
1099.006,2642.7242,
1096.096,2642.4001,
1093.185,2677.5202,
1090.275,2678.6315,
1087.364,2699.5198,
1084.453,2700.813,
1081.543,2702.138,
1078.632,2721.3384,
1075.722,2744.447,
1072.811,2760.2357,
1069.901,2788.18,
1066.990,2812.8833,
1064.079,2852.2757,
1061.169,2863.8316,
1058.258,2853.4742,
1055.348,2855.7144,
1052.437,2886.8577,
1049.527,2904.3773,
1046.616,2881.7877,
1043.705,2885.4161,
1040.795,2861.7098,
1037.884,2839.6639,
1034.974,2850.8711,
1032.063,2890.5959,
1029.153,2911.1221,
1026.242,2860.0897,
1023.331,2916.5796,
1020.421,2951.9514,
1017.510,2976.8172,
1014.600,3012.357,
1011.689,3060.6438,
1008.778,3101.1559,
1005.868,3112.4662,
1002.957,3136.5561,
1000.047,3268.3781,
997.136,3345.6163,
994.226,3352.4194,
991.315,3344.6881,
988.404,3349.0642,
985.494,3260.461,
982.583,3269.8831,
979.673,3292.4678,
976.762,3247.9979,
973.852,3231.1405,
970.941,3264.5487,
968.030,3280.643,
965.120,3260.182,
962.209,3243.9837,
959.299,3280.2037,
956.388,3325.3681,
953.477,3325.6435,
950.567,3319.3924,
947.656,3382.666,
944.746,3301.9582,
941.835,3335.5014,
938.925,3305.425,
936.014,3301.9423,
933.103,3306.2448,
930.193,3281.2536,
927.282,3268.3793,
924.372,3252.3127,
921.461,3155.2544,
918.551,3095.108,
915.640,3072.0006,
912.729,3057.3942,
909.819,3037.1422,
906.908,3066.627,
903.998,3030.8679,
901.087,3092.5387,
898.176,3132.2956,
895.266,3129.9804,
892.355,3127.7212,
889.445,3130.239,
886.534,3193.7003,
883.624,3232.4905,
880.713,3247.2914,
877.802,3227.0169,
874.892,3167.4169,
871.981,3086.7309,
869.071,3022.4042,
866.160,3058.8572,
863.250,3125.8556,
860.339,3191.5923,
857.428,3227.215,
854.518,3192.3834,
851.607,3162.4289,
848.697,3101.5368,
845.786,3036.2896,
842.875,3070.9074,
839.965,3205.5073,
837.054,3211.9198,
834.144,3271.59,
831.233,3245.2527,
828.323,3244.5492,
825.412,3269.0453,
822.501,3273.952,
819.591,3233.4584,
816.680,3213.0192,
813.770,3183.1899,
810.859,3164.1888,
807.949,3149.328,
805.038,3124.5443,
802.127,3135.2449,
799.217,3088.545,
796.306,3060.8986,
793.396,3040.9598,
790.485,3018.4067,
787.574,3000.2811,
784.664,3001.1012,
781.753,3007.2889,
778.843,3052.3971,
775.932,3092.2377,
773.022,3087.8147,
770.111,3117.2475,
767.200,3107.8303,
764.290,3086.9137,
761.379,3094.3372,
758.469,3121.0647,
755.558,3104.083,
752.648,3064.982,
749.737,3051.3749,
746.826,3047.3176,
743.916,3042.0616,
741.005,3032.9924,
738.095,3048.4181,
735.184,2958.7224,
732.274,2892.2738,
729.363,2901.8991,
726.452,2981.5589,
723.542,3022.0285,
720.631,3018.8982,
717.721,3025.8427,
714.810,3042.1477,
711.899,3048.6559,
708.989,3007.5027,
706.078,3068.9503,
703.168,3042.3518,
700.257,3009.8866,
697.347,3005.2932,
694.436,3015.0498,
691.525,2970.8405,
688.615,2954.332,
685.704,2970.5396,
682.794,3000.0585,
679.883,3011.0161,
676.973,3050.2833,
674.062,3058.8881,
671.151,3079.8515,
668.241,3093.6228,
665.330,3051.9264,
662.420,3023.9708,
659.509,3048.7267,
656.598,3071.443,
653.688,3089.9822,
650.777,3127.3058,
647.867,3069.9702,
644.956,3018.2435,
642.046,2985.1288,
639.135,2980.4248,
636.224,3011.4251,
633.314,3046.3584,
630.403,3091.9051,
627.493,3113.4093,
624.582,3111.1346,
621.672,3128.5584,
618.761,3077.5741,
615.850,3075.0247,
612.940,3123.1357,
610.029,3192.2772,
607.119,3180.4327,
604.208,3173.5699,
601.297,3177.2322,
598.387,3169.205,
595.476,3137.1469,
592.566,3167.8425,
589.655,3138.9118,
586.745,3114.1744,
583.834,3124.9146,
580.923,3191.2263,
578.013,3187.3026,
575.102,3186.8236,
572.192,3178.3179,
569.281,3175.3258,
566.371,3248.1098,
563.460,3231.2641,
560.549,3191.0387,
557.639,3162.2042,
554.728,3173.5019,
551.818,3225.0028,
548.907,3204.5605,
545.996,3191.637,
543.086,3205.9342,
540.175,3218.3925,
537.265,3209.1101,
534.354,3219.2973,
531.444,3242.7244,
528.533,3263.3872,
525.622,3209.0709,
522.712,3223.3404,
519.801,3252.0883,
516.891,3285.6485,
513.980,3356.8837,
511.070,3368.1804,
508.159,3370.25,
505.248,3386.7739,
502.338,3437.244,
499.427,3471.2047,
496.517,3523.2399,
493.606,3546.8282,
490.695,3531.7805,
487.785,3557.1836,
484.874,3559.3113,
481.964,3564.8945,
479.053,3568.7343,
476.143,3545.6954,
473.232,3565.8321,
470.321,3557.7064,
467.411,3526.8272,
464.500,3488.0063,
461.590,3517.8702,
458.679,3607.6936,
455.769,3661.3324,
452.858,3632.3751,
449.947,3623.9719,
447.037,3649.5542,
444.126,3656.8985,
441.216,3640.7052,
438.305,3649.0864,
435.395,3711.2242,
432.484,3732.8312,
429.573,3709.1974,
426.663,3670.4302,
423.752,3559.8475,
420.842,3454.7942,
417.931,3363.7031,
415.020,3287.8673,
412.110,3548.6307,
409.199,3742.5604,
406.289,3828.0154,
403.378,3778.3473,
400.468,3807.0751,
397.557,3814.7076,
394.646,3852.5745,
391.736,3958.5498,
388.825,3936.6771,
385.915,3934.5075,
383.004,3942.8187,
380.094,3954.4419,
377.183,3958.2043,
374.272,3976.619,
371.362,4006.2607,
368.451,4042.022,
365.541,4038.2694,
362.630,4049.2673,
359.719,4077.6,
356.809,4120.8875,
353.898,4114.8971,
350.988,4102.4003,
348.077,4087.4418,
345.167,4073.0608,
342.256,4069.3255,
339.345,4068.25,
336.435,4088.5142,
333.524,4140.4514,
330.614,4115.1161,
327.703,4087.2272,
324.793,4075.7259,
321.882,4097.4213,
318.971,4168.0483,
316.061,4193.2266,
313.150,4205.3357,
310.240,4240.9572,
307.329,4260.1159,
304.418,4283.2084,
301.508,4295.3577,
298.597,4269.4431,
295.687,4291.6307,
292.776,4344.5002,
289.866,4413.7711,
286.955,4468.4368,
284.044,4492.695,
281.134,4550.0171,
278.223,4632.6512,
275.313,4642.2303,
272.402,4609.9767,
269.492,4596.9736,
266.581,4624.2995,
263.670,4652.9715,
260.760,4727.0703,
257.849,4793.6657,
254.939,4812.0127,
252.028,4860.7476,
249.117,4883.8183,
246.207,4898.1523,
243.296,4932.558,
240.386,4883.3577,
237.475,4857.1709,
234.565,4859.4448,
231.654,4854.3321,
228.743,4829.0845,
225.833,4806.0668,
222.922,4792.6532,
220.012,4758.4111,
217.101,4751.1757,
214.191,4765.9595,
211.280,4801.6051,
208.369,4851.3469,
205.459,4839.116,
202.548,4787.6288,
199.638,4795.611,
196.727,4825.4846,
193.816,4835.1122,
190.906,4812.0942,
187.995,4893.185,
185.085,4911.7929,
182.174,4928.8696,
179.264,5030.7796,
176.353,5039.0461,
173.442,5066.2546,
170.532,5110.1934,
167.621,5049.6315,
164.711,4906.0626,
161.800,4733.2496,
158.890,4563.3938,
155.979,4301.9066,
153.068,3930.5741,
150.158,3485.2367,
147.247,3079.5937,
144.337,2554.2913,
141.426,2002.8321,
138.516,1464.4468,
135.605,1073.1293,
132.694,740.90959,
129.784,472.63748,
126.873,305.2971,
123.963,219.46462,
121.052,162.40278,
118.141,117.42695,
115.231,89.537756,
112.320,74.437277,
109.410,66.931961,
106.499,54.825322,
103.589,42.725674,
100.678,33.62027,
97.767,29.354644,
94.857,36.17989,
91.946,33.203337,
89.036,24.588694,
86.125,26.71631,
83.215,20.348035,
80.304,15.207731,
77.393,18.04041,
74.483,24.146215,
71.572,24.713535,
68.662,19.97293,
65.751,17.147126,
62.840,14.804894,
59.930,13.624572,
57.019,15.034736,
54.109,12.264196,
51.198,10.25,
48.288,10.244338,
45.377,9.5409595,
42.466,9.25,
39.556,9.5953557,
36.645,11.701926,
33.735,9.1345092,
30.824,5.1455651,
27.914,1.6396889,
25.003,6.2310998,
22.092,11.187427,
19.182,15.25,
16.271,15.25,
13.361,42.223311,
10.450,71.678045,
7.539,27.684177,
4.629,-49.323272,
1.718,-172.32931,
-1.192,-373.10694,
-4.103,-228.60254,
-7.013,-82.571338,
-9.924,0.25,
