,PLAA54~1,
Wavenumbers [1/cm],Intensity,
214.191,4107.8329,
211.280,4149.2983,
208.369,4122.0984,
205.459,4118.554,
202.548,4127.9794,
199.638,4085.1661,
196.727,4151.8593,
193.816,4210.0842,
190.906,4218.0003,
187.995,4264.3378,
185.085,4283.2121,
182.174,4286.1791,
179.264,4285.4564,
176.353,4338.5596,
173.442,4402.4554,
170.532,4455.4864,
167.621,4396.3664,
164.711,4254.7643,
161.800,4078.9508,
158.890,3896.14,
155.979,3652.5188,
153.068,3366.3844,
150.158,3041.3241,
147.247,2676.6044,
144.337,2215.065,
141.426,1736.6417,
138.516,1275.6806,
135.605,944.72149,
132.694,641.27274,
129.784,385.87034,
126.873,255.00158,
123.963,181.71125,
121.052,133.62698,
118.141,101.5014,
115.231,76.505038,
112.320,60.020461,
109.410,50.693224,
106.499,47.132448,
103.589,42.453219,
100.678,37.202026,
97.767,31.514526,
94.857,34.839945,
91.946,31.134559,
89.036,23.262102,
86.125,22.552897,
83.215,19.720398,
80.304,19.290461,
77.393,24.955821,
74.483,18.168515,
71.572,15.462056,
68.662,17.444267,
65.751,18.150719,
62.840,18.856702,
59.930,18.063997,
57.019,13.128423,
54.109,11.180678,
51.198,10.375,
48.288,10.324038,
45.377,3.9936354,
42.466,7.5582901,
39.556,15.338933,
36.645,9.0192209,
33.735,11.528988,
30.824,12.282582,
27.914,2.4661289,
25.003,6.3560998,
22.092,10.989523,
19.182,14.947072,
16.271,32.434325,
13.361,126.19534,
10.450,276.86472,
7.539,459.82334,
4.629,609.09102,
1.718,577.7953,
-1.192,165.08573,
-4.103,68.622797,
-7.013,28.82215,
-9.924,2.375,
