,PLA8D8~1,
Raman shift [1/cm],Intensity,
129.784,472.30559,
126.873,307.1106,
123.963,210.90229,
121.052,143.38647,
118.141,92.699423,
115.231,88.236578,
112.320,72.520014,
109.410,53.363645,
106.499,52.65149,
103.589,49.138473,
100.678,42.968918,
97.767,33.726729,
94.857,35.578967,
91.946,37.306222,
89.036,36.35494,
86.125,22.88004,
83.215,21.623681,
80.304,22.302837,
77.393,18.761987,
74.483,17.844865,
71.572,17.5,
68.662,17.430733,
65.751,16.724281,
62.840,18.90851,
59.930,21.125428,
57.019,19.715264,
54.109,26.66593,
51.198,26.372642,
48.288,14.471688,
45.377,10.954797,
42.466,14.034413,
39.556,19.69417,
36.645,14.778838,
33.735,20.769479,
30.824,27.279113,
27.914,26.577938,
25.003,27.745275,
22.092,32.374855,
19.182,41.369549,
16.271,67.950174,
13.361,280.37837,
10.450,738.14521,
7.539,1787.7132,
4.629,2704.8736,
1.718,3161.6077,
-1.192,2682.6694,
-4.103,1618.2377,
-7.013,676.81439,
-9.924,4.5,
