,PLF53F~1,
Raman shift [1/cm],Intensity,
1238.714,3741.516,
1235.804,3689.1942,
1232.893,3672.1248,
1229.982,3669.2897,
1227.072,3559.7469,
1224.161,3504.9318,
1221.251,3421.5491,
1218.340,3343.5272,
1215.430,3292.4281,
1212.519,3246.3817,
1209.608,3213,
1206.698,3225.5109,
1203.787,3263.402,
1200.877,3272.6716,
1197.966,3299.6464,
1195.055,3396.5638,
1192.145,3499.4045,
1189.234,3587.0401,
1186.324,3639.7293,
1183.413,3693.2132,
1180.503,3707.9725,
1177.592,3649.3233,
1174.681,3652.4384,
1171.771,3618.651,
1168.860,3516.8388,
1165.950,3440.8843,
1163.039,3404.0479,
1160.129,3406.2072,
1157.218,3377.9448,
1154.307,3331.2085,
1151.397,3312.0044,
1148.486,3297.9971,
1145.576,3312.5715,
1142.665,3256.633,
1139.754,3267.4589,
1136.844,3212.8749,
1133.933,3181.5484,
1131.023,3172.7511,
1128.112,3177.6415,
1125.202,3192.8261,
1122.291,3186,
1119.380,3186.5024,
1116.470,3237.689,
1113.559,3267.1975,
1110.649,3261.5579,
1107.738,3263.5731,
1104.828,3239.3764,
1101.917,3210.977,
1099.006,3256.5359,
1096.096,3288.5598,
1093.185,3232.3676,
1090.275,3256.3245,
1087.364,3220.4604,
1084.453,3220.6862,
1081.543,3250.8995,
1078.632,3247.4356,
1075.722,3214.1732,
1072.811,3284.1862,
1069.901,3286.8059,
1066.990,3274.875,
1064.079,3348.8981,
1061.169,3380.5816,
1058.258,3375.7295,
1055.348,3394.2831,
1052.437,3436.1125,
1049.527,3404.0881,
1046.616,3484.0204,
1043.705,3476.8139,
1040.795,3493.0707,
1037.884,3483.759,
1034.974,3473.0554,
1032.063,3490.2385,
1029.153,3494.2197,
1026.242,3521.0334,
1023.331,3561.9974,
1020.421,3546.9957,
1017.510,3569.496,
1014.600,3605.1503,
1011.689,3625.2715,
1008.778,3655.3679,
1005.868,3739.9344,
1002.957,3844.0372,
1000.047,4007.7841,
997.136,4104.7001,
994.226,4129.9847,
991.315,4093.0322,
988.404,4008.4887,
985.494,3947.3697,
982.583,3874.5624,
979.673,3852.2937,
976.762,3827.4514,
973.852,3823.1662,
970.941,3827.9977,
968.030,3804.6416,
965.120,3780.0322,
962.209,3787.7051,
959.299,3808.831,
956.388,3816.44,
953.477,3802.4361,
950.567,3792.6727,
947.656,3826.4618,
944.746,3875.7361,
941.835,3878,
938.925,3893.7932,
936.014,3897.4476,
933.103,3873.2267,
930.193,3836.6005,
927.282,3830.4171,
924.372,3745.8565,
921.461,3757.092,
918.551,3709.8113,
915.640,3655.127,
912.729,3638.2203,
909.819,3649.8913,
906.908,3671.7944,
903.998,3680.9536,
901.087,3692.5476,
898.176,3696.0912,
895.266,3714.6309,
892.355,3768.1095,
889.445,3816.787,
886.534,3821.1744,
883.624,3867.7526,
880.713,3890.5104,
877.802,3896.9057,
874.892,3903.22,
871.981,3881.4871,
869.071,3859.7663,
866.160,3824.9518,
863.250,3852.412,
860.339,3897.8754,
857.428,3897.6518,
854.518,3836.3501,
851.607,3813.8842,
848.697,3769.4188,
845.786,3765.0121,
842.875,3810.508,
839.965,3860.5822,
837.054,3813.7629,
834.144,3881.7206,
831.233,3871.0017,
828.323,3835.7551,
825.412,3810.7121,
822.501,3808,
819.591,3808,
816.680,3755.1153,
813.770,3676.8437,
810.859,3651.5372,
807.949,3669.6537,
805.038,3672.9049,
802.127,3663.8505,
799.217,3654.8007,
