,PLDF70~1,
Raman shift [1/cm],Intensity,
1328.942,3102.0425,
1326.032,3139.7905,
1323.121,3144.3931,
1320.210,3171.8437,
1317.300,3266.1466,
1314.389,3392.7931,
1311.479,3505.7484,
1308.568,3590.3776,
1305.657,3660.0373,
1302.747,3732.3889,
1299.836,3785.6687,
1296.926,3873.5924,
1294.015,3953.5736,
1291.105,4047.5708,
1288.194,4099.8122,
1285.283,4173.5993,
1282.373,4260.8904,
1279.462,4307.8552,
1276.552,4359.1508,
1273.641,4408.6342,
1270.731,4405.4645,
1267.820,4384.9035,
1264.909,4353.2822,
1261.999,4395.4477,
1259.088,4274.1356,
1256.178,4263.4492,
1253.267,4141.6581,
1250.356,4073.7213,
1247.446,4009.0032,
1244.535,3947.6117,
1241.625,3860.7233,
1238.714,3732.9548,
1235.804,3632.6761,
1232.893,3574.5114,
1229.982,3518.6741,
1227.072,3394.6463,
1224.161,3329.5612,
1221.251,3263.7813,
1218.340,3163.8985,
1215.430,3125.3804,
1212.519,3099.5401,
1209.608,3067.1275,
1206.698,3071.5558,
1203.787,3072.7795,
1200.877,3135.7197,
1197.966,3197.7617,
1195.055,3306.6778,
1192.145,3354.9287,
1189.234,3459.5987,
1186.324,3587.7915,
1183.413,3660.7075,
1180.503,3664.1181,
1177.592,3630.5211,
1174.681,3565.3134,
1171.771,3532.4532,
1168.860,3470.8301,
1165.950,3409.241,
1163.039,3316.9555,
1160.129,3324.1649,
1157.218,3399.5064,
1154.307,3467.3132,
1151.397,3510.1696,
1148.486,3557.316,
1145.576,3609.256,
1142.665,3571.9637,
1139.754,3539.5844,
1136.844,3543.3795,
1133.933,3506.2331,
1131.023,3434.3864,
1128.112,3365.8066,
1125.202,3339.9523,
1122.291,3370.9814,
1119.380,3323.5766,
1116.470,3395.0614,
1113.559,3380.6775,
1110.649,3360.7781,
1107.738,3309.9379,
1104.828,3261.4725,
1101.917,3237.703,
1099.006,3212.8957,
1096.096,3196.8324,
1093.185,3163.4683,
1090.275,3176.2511,
1087.364,3203.2032,
1084.453,3215.5624,
1081.543,3229.5834,
1078.632,3251.5161,
1075.722,3262.7466,
1072.811,3263.3976,
1069.901,3341.1179,
1066.990,3309.6918,
1064.079,3362.8018,
1061.169,3357.08,
1058.258,3297.5371,
1055.348,3286.9165,
1052.437,3350.9199,
1049.527,3286.1841,
1046.616,3320.0684,
1043.705,3256.0477,
1040.795,3251.8376,
1037.884,3260.3693,
1034.974,3228.2191,
1032.063,3192.9974,
1029.153,3252.0175,
1026.242,3261.532,
1023.331,3274.3742,
1020.421,3335.4315,
1017.510,3377.6833,
1014.600,3434.0139,
1011.689,3498.8615,
1008.778,3527.8031,
1005.868,3609.2843,
1002.957,3654.8831,
1000.047,3748.507,
997.136,3809.654,
994.226,3810.6907,
991.315,3741.5112,
988.404,3633.0111,
985.494,3606.7242,
982.583,3555.3308,
979.673,3496.6597,
976.762,3513.1011,
973.852,3521.5206,
970.941,3492.28,
968.030,3473.5282,
965.120,3483.0504,
962.209,3524.825,
959.299,3536.8327,
956.388,3563.5134,
953.477,3591.5066,
950.567,3602.8293,
947.656,3603.7744,
944.746,3633.5088,
941.835,3623.5376,
938.925,3640.6165,
936.014,3597.7633,
933.103,3556.1147,
930.193,3562.2903,
927.282,3510.7293,
924.372,3489.5891,
921.461,3418.3898,
918.551,3357.8571,
915.640,3327.6256,
912.729,3299.3331,
909.819,3243.324,
906.908,3284.6029,
903.998,3300.3962,
901.087,3289.8719,
898.176,3330.5489,
895.266,3392.1274,
892.355,3419.9268,
889.445,3473.6399,
886.534,3525.6371,
883.624,3500.2149,
880.713,3503.7996,
877.802,3521.0959,
874.892,3509.2565,
871.981,3479.9934,
869.071,3485.0058,
866.160,3467.936,
863.250,3483.4641,
860.339,3518.478,
857.428,3540.388,
854.518,3529.4176,
851.607,3513.6083,
848.697,3492.3039,
845.786,3463.6353,
842.875,3457.1092,
839.965,3500.1717,
837.054,3593.0704,
834.144,3610.4742,
831.233,3592.5432,
828.323,3606.109,
825.412,3622.504,
822.501,3597.577,
819.591,3557.0834,
816.680,3506.9967,
813.770,3514.2966,
810.859,3528.1312,
807.949,3512.6847,
805.038,3469.3551,
802.127,3506.3958,
799.217,3449.4983,
796.306,3435.1183,
793.396,3421.1878,
790.485,3388.7163,
787.574,3377.5289,
784.664,3394.7512,
781.753,3405.9268,
778.843,3424.0874,
775.932,3429.6159,
773.022,3416.99,
770.111,3469.3151,
767.200,3469.8298,
764.290,3483.8998,
761.379,3483.8467,
758.469,3456.2024,
755.558,3414.3676,
752.648,3363.8622,
