,PL1EFF~1,
Raman shift [1/cm],Intensity,
997.136,4456.0784,
994.226,4521.9728,
991.315,4533.2475,
988.404,4495.8488,
985.494,4385.3843,
982.583,4391.3802,
979.673,4357.131,
976.762,4353.6436,
973.852,4350.0838,
970.941,4334.879,
968.030,4328.9494,
965.120,4327.1175,
962.209,4295.5735,
959.299,4281.751,
956.388,4305.6882,
953.477,4327.661,
950.567,4336.6156,
947.656,4355.0137,
944.746,4315.0846,
941.835,4370.7467,
938.925,4371.747,
936.014,4386.4947,
933.103,4380.7679,
930.193,4328.0551,
927.282,4307.4921,
924.372,4238.1523,
921.461,4157.8192,
918.551,4100.8796,
915.640,4056.5779,
912.729,4025.3715,
909.819,4015.357,
906.908,3978.2903,
903.998,4017.6089,
901.087,4048.6182,
898.176,4065.4991,
895.266,4089.9765,
892.355,4138.103,
889.445,4180.0663,
886.534,4229.5074,
883.624,4280.9656,
880.713,4318.0917,
877.802,4337.7239,
874.892,4335.6092,
871.981,4296.6582,
869.071,4271.5958,
866.160,4307.9576,
863.250,4318.387,
860.339,4302.6586,
857.428,4279.0237,
854.518,4243.7686,
851.607,4227.1272,
848.697,4166.4734,
845.786,4136.6172,
842.875,4139.5419,
839.965,4146.2207,
837.054,4122.9244,
834.144,4093.918,
831.233,4133.5801,
828.323,4126.5757,
825.412,4068.5612,
822.501,4005.9307,
819.591,3981.9652,
816.680,3947.5961,
813.770,3919.2019,
810.859,3873.4069,
807.949,3842.7232,
805.038,3867.1637,
802.127,3841.6468,
799.217,3798.9989,
796.306,3783.5473,
793.396,3777.9675,
790.485,3773.5664,
787.574,3783.2775,
784.664,3810.3412,
781.753,3792.4365,
778.843,3811.6351,
775.932,3838.6204,
773.022,3826.0944,
770.111,3812.1956,
767.200,3828.7602,
764.290,3836.5615,
761.379,3841.0071,
758.469,3834.1589,
755.558,3791.2289,
752.648,3757.0155,
749.737,3727.4024,
746.826,3710.1216,
743.916,3668.23,
741.005,3556.5422,
738.095,3390.9193,
735.184,3213.2218,
732.274,3147.6205,
729.363,3253.8524,
726.452,3490.6152,
723.542,3614.4523,
720.631,3680.1195,
717.721,3730.3294,
714.810,3743.9717,
711.899,3720.4777,
708.989,3691.4284,
706.078,3721.6995,
703.168,3695.8528,
700.257,3666.8237,
697.347,3658.8584,
694.436,3667.1371,
691.525,3626.143,
688.615,3615.3633,
685.704,3619.862,
682.794,3625.1436,
679.883,3619.1511,
676.973,3639.1854,
674.062,3654.0974,
671.151,3646.2234,
668.241,3624.1998,
665.330,3611.8929,
662.420,3625.4713,
659.509,3616.8212,
656.598,3623.2325,
653.688,3634.2689,
650.777,3615.0601,
647.867,3638.9499,
644.956,3622.5797,
642.046,3595.9829,
639.135,3594.6476,
636.224,3660.3216,
633.314,3674.6125,
630.403,3685.9357,
627.493,3688.1774,
624.582,3683.0734,
621.672,3682.2814,
618.761,3698.2087,
615.850,3724.1875,
612.940,3754.2283,
610.029,3797.9262,
607.119,3910.0537,
604.208,3824.6882,
601.297,3803.1966,
598.387,3814.9441,
595.476,3804.7467,
592.566,3862.9897,
589.655,3842.1513,
586.745,3797.042,
583.834,3753.2233,
580.923,3728.0225,
578.013,3690.3553,
575.102,3718.1068,
572.192,3751.9666,
569.281,3766.0462,
566.371,3787.177,
563.460,3803.3594,
560.549,3833.6139,
557.639,3864.3527,
554.728,3878.3978,
551.818,3880.7388,
548.907,3876.3747,
545.996,3882.9697,
543.086,3907.6447,
540.175,3951.2489,
537.265,3995.5339,
534.354,4008.2399,
531.444,4006.086,
528.533,4010.0158,
525.622,4034.8461,
522.712,4076.0484,
519.801,4128.2729,
516.891,4188.5529,
513.980,4254.3681,
511.070,4314.4847,
508.159,4371.6348,
505.248,4429.7797,
502.338,4493.577,
499.427,4573.0757,
496.517,4636.1085,
493.606,4683.0556,
490.695,4714.1757,
487.785,4728.032,
484.874,4736.066,
481.964,4738.8347,
479.053,4730.1602,
476.143,4696.3699,
473.232,4690.653,
470.321,4661.0286,
467.411,4630.237,
464.500,4628.0645,
461.590,4660.2256,
458.679,4666.4985,
455.769,4677.1676,
452.858,4700.4779,
449.947,4654.642,
447.037,4698.6449,
444.126,4744.3409,
441.216,4766.2926,
438.305,4783.8171,
435.395,4813.7867,
432.484,4803.6616,
429.573,4783.8052,
426.663,4846.1367,
423.752,4831.0248,
420.842,4826.8169,
417.931,4851.2113,
415.020,4917.9468,
412.110,4964.1468,
409.199,5035.5067,
406.289,5086.8545,
403.378,5067.1527,
400.468,5038.4249,
397.557,5062.6697,
394.646,5102.3304,
391.736,5122.6323,
388.825,5072.0988,
385.915,5014.1423,
383.004,5004.2332,
380.094,5078.7415,
377.183,5166.7813,
374.272,5255.2981,
371.362,5327.4983,
368.451,5375.262,
365.541,5441.3092,
362.630,5462.5274,
359.719,5492.775,
356.809,5555.1237,
353.898,5503.4566,
350.988,5513.1194,
348.077,5530.9267,
345.167,5523.9255,
342.256,5497.7782,
339.345,5484.4042,
336.435,5501.4574,
333.524,5557.5824,
330.614,5504.6763,
327.703,5525.2152,
324.793,5576.2331,
321.882,5622.2644,
318.971,5628.212,
316.061,5654.1774,
313.150,5703.038,
310.240,5779.476,
307.329,5857.2869,
304.418,5900.9286,
301.508,5901.4961,
298.597,5842.2628,
295.687,5929.3547,
292.776,6047.0004,
289.866,6200.2267,
286.955,6437.3575,
284.044,6659.7348,
281.134,6852.5648,
278.223,7023.243,
275.313,7221.4571,
272.402,7431.131,
269.492,7578.8656,
266.581,7647.9688,
263.670,7811.914,
260.760,7949.6223,
257.849,8058.9392,
254.939,8135.263,
252.028,8196.3291,
249.117,8181.7901,
246.207,8145.0158,
243.296,8175.0294,
240.386,8125.3577,
237.475,8050.3792,
234.565,7958.225,
231.654,7850.1282,
228.743,7753.6029,
225.833,7658.089,
222.922,7560.6148,
220.012,7482.6594,
217.101,7409.1599,
214.191,7333.0228,
211.280,7245.7272,
208.369,7225.1209,
205.459,7185.9107,
202.548,7145.8991,
199.638,7195.9688,
196.727,7169.3722,
193.816,7150.9797,
190.906,7172.9515,
187.995,7221.4611,
185.085,7239.1957,
182.174,7250.2401,
179.264,7287.1011,
176.353,7293.8131,
173.442,7315.9158,
170.532,7345.1094,
167.621,7283.8265,
164.711,7216.7955,
161.800,7076.6306,
158.890,6799.5355,
155.979,6417.1903,
153.068,5932.8403,
150.158,5351.1106,
147.247,4662.5944,
144.337,3848.4474,
141.426,3025.2051,
138.516,2245.2275,
135.605,1633.0831,
132.694,1126.5704,
129.784,726.63437,
126.873,472.04815,
123.963,318.38645,
121.052,223.68607,
118.141,179.42414,
115.231,140.16863,
112.320,106.45729,
109.410,78.977474,
106.499,61.885748,
103.589,63.29229,
100.678,61.817566,
97.767,47.598814,
94.857,50.714945,
91.946,45.397115,
89.036,35.588694,
86.125,37.71631,
83.215,36.657239,
80.304,35.010567,
77.393,34.302397,
74.483,39.49108,
71.572,37.17707,
68.662,27.626593,
65.751,21.268533,
62.840,24.06702,
59.930,28.500855,
57.019,25.680527,
54.109,25.847161,
51.198,22.02747,
48.288,12.278312,
45.377,15.795203,
42.466,16.837781,
39.556,16.710474,
36.645,19.519235,
33.735,18.173006,
30.824,14.924678,
27.914,10.717627,
25.003,18.966925,
22.092,23.604191,
19.182,22.41018,
16.271,27.306611,
13.361,103.00515,
10.450,243.91262,
7.539,474.35669,
4.629,485.19913,
1.718,315.87755,
-1.192,-86.374843,
-4.103,-119.51992,
-7.013,-75.219606,
-9.924,-0.75,
