,PL6DEB~1,
Raman shift [1/cm],Intensity,
1427.902,107.3157,
1424.991,120.58437,
1422.081,96.228118,
1419.170,35.243896,
1416.259,80.274224,
1413.349,65.056081,
1410.438,37.805729,
1407.528,64.76205,
1404.617,74.01882,
1401.707,64.350298,
1398.796,65.304187,
1395.885,60.732214,
1392.975,45.104004,
1390.064,46.829277,
1387.154,71.03759,
1384.243,70.998144,
1381.332,23.995988,
1378.422,32.241525,
1375.511,36.92543,
1372.601,123.62761,
1369.690,53.849979,
1366.780,101.98671,
1363.869,125.26477,
1360.958,164.97211,
1358.048,204.76591,
1355.137,215.8459,
1352.227,233.13084,
1349.316,253.50054,
1346.406,251.19312,
1343.495,272.94778,
1340.584,316.39297,
1337.674,312.53763,
1334.763,342.81156,
1331.853,364.13788,
1328.942,344.54233,
1326.032,355.86555,
1323.121,401.97594,
1320.210,416.33408,
1317.300,447.87253,
1314.389,474.62509,
1311.479,502.59206,
1308.568,530.84485,
1305.657,531.21436,
1302.747,557.56864,
1299.836,619.49141,
1296.926,625.3501,
1294.015,675.91289,
1291.105,698.25246,
1288.194,712.98115,
1285.283,731.75207,
1282.373,768.37489,
1279.462,810.70541,
1276.552,838.89767,
1273.641,868.49875,
1270.731,895.23731,
1267.820,872.56009,
1264.909,847.51644,
1261.999,844.76562,
1259.088,865.7444,
1256.178,886.6985,
1253.267,843.96827,
1250.356,827.96824,
1247.446,800.59728,
1244.535,772.58485,
1241.625,741.60376,
1238.714,707.50911,
1235.804,686.92729,
1232.893,631.00308,
1229.982,616.54004,
1227.072,602.96036,
1224.161,612.08605,
1221.251,609.53294,
1218.340,584.03096,
1215.430,535.76574,
1212.519,507,
1209.608,526.13628,
1206.698,564.31923,
1203.787,577.58292,
1200.877,597.05572,
1197.966,597.95488,
1195.055,617.62472,
1192.145,646.54568,
1189.234,656.29758,
1186.324,676.09274,
1183.413,704.80712,
1180.503,706.83527,
1177.592,675.97973,
1174.681,662.19864,
1171.771,636.82422,
1168.860,672.54779,
1165.950,671.16226,
1163.039,663.71437,
1160.129,661,
1157.218,663.40368,
1154.307,654.49822,
1151.397,623.79081,
1148.486,588.40344,
1145.576,570.08157,
1142.665,618.02887,
1139.754,605.72743,
1136.844,609.70333,
1133.933,612.41349,
1131.023,610.11162,
1128.112,609.07127,
1125.202,612.69082,
1122.291,616.9973,
1119.380,609.98268,
1116.470,608.21762,
1113.559,621.91848,
1110.649,635.16784,
1107.738,630.89109,
1104.828,626.7449,
1101.917,631.11239,
1099.006,629,
1096.096,628.67748,
1093.185,623.40946,
1090.275,640.80395,
1087.364,626.47468,
1084.453,633.749,
1081.543,643.37067,
1078.632,641.56697,
1075.722,650.45376,
1072.811,672.01433,
1069.901,644.06998,
1066.990,650.08331,
1064.079,675.81799,
1061.169,685.3431,
1058.258,678.91817,
1055.348,675.23354,
1052.437,680.37619,
1049.527,667.5035,
1046.616,680.53594,
1043.705,713.60137,
1040.795,710.86841,
1037.884,713.10328,
1034.974,732.42783,
1032.063,741.17723,
1029.153,715.38883,
1026.242,735.28283,
1023.331,738.49984,
1020.421,747.36522,
1017.510,749.31917,
1014.600,746.73121,
1011.689,749.56112,
1008.778,766.57122,
1005.868,799.16217,
1002.957,817.22961,
1000.047,841.84001,
997.136,877.60431,
994.226,899.23073,
991.315,898.95545,
988.404,883.56922,
985.494,839.82738,
982.583,832.11837,
979.673,855.14434,
976.762,861.06449,
973.852,871.37629,
970.941,883.44343,
968.030,872.29476,
965.120,857.08234,
962.209,876.69081,
959.299,886.37424,
956.388,899.63932,
953.477,896.90226,
950.567,874.98726,
947.656,861.00809,
944.746,883.9461,
941.835,889.85888,
938.925,878.49705,
936.014,880.09322,
933.103,875.6417,
930.193,852.80024,
927.282,850.53348,
924.372,823.47407,
921.461,826.6276,
918.551,813.89573,
915.640,794.92607,
912.729,789.36713,
909.819,802.10952,
906.908,787.78829,
903.998,782.22781,
901.087,797.54916,
898.176,815.11232,
895.266,816.06503,
892.355,809.20889,
889.445,863.76125,
886.534,846.46769,
883.624,855.78381,
880.713,865.57249,
877.802,871.08435,
874.892,878.30924,
871.981,892.30952,
869.071,863.07007,
866.160,890.4281,
863.250,881.41087,
860.339,868.94936,
857.428,879.64335,
854.518,856.25377,
851.607,830.45963,
848.697,839.06853,
845.786,832.54481,
842.875,838.82697,
839.965,864.4561,
837.054,829.85114,
834.144,816.59111,
831.233,827.99899,
828.323,821.64656,
825.412,806.39019,
822.501,805.08516,
819.591,816.65475,
816.680,783.3461,
813.770,790.66257,
810.859,789.62146,
807.949,771.76339,
805.038,761.28541,
802.127,788.44861,
799.217,776.83757,
796.306,761.78371,
793.396,764.12224,
790.485,774.52491,
787.574,754.15569,
784.664,758.25625,
781.753,749.60622,
778.843,757.25206,
775.932,770.30864,
773.022,774.55033,
770.111,797.44252,
767.200,777.68325,
764.290,773.88939,
