,PLEB9E~1,
Wavenumbers [1/cm],Intensity,
1253.267,1923.7355,
1250.356,1895.1004,
1247.446,1855.1433,
1244.535,1806.2322,
1241.625,1759.4112,
1238.714,1697.2411,
1235.804,1629.4029,
1232.893,1635.379,
1229.982,1615.0682,
1227.072,1558.0335,
1224.161,1506.0913,
1221.251,1490.2994,
1218.340,1449.7791,
1215.430,1422.9441,
1212.519,1419.811,
1209.608,1402.155,
1206.698,1378.2556,
1203.787,1408.0804,
1200.877,1377.7273,
1197.966,1405.6013,
1195.055,1505.1236,
1192.145,1526.5081,
1189.234,1559.7908,
1186.324,1594.4562,
1183.413,1584.7106,
1180.503,1554,
1177.592,1555.1616,
1174.681,1556.9726,
1171.771,1543.0618,
1168.860,1545.7411,
1165.950,1481.4968,
1163.039,1491.1425,
1160.129,1510.8478,
1157.218,1499.2128,
1154.307,1487.7915,
1151.397,1496.5685,
1148.486,1491.343,
1145.576,1531.805,
1142.665,1504.2797,
1139.754,1478.4048,
1136.844,1495.4097,
1133.933,1481.5398,
1131.023,1476.8024,
1128.112,1503.9266,
1125.202,1522.4783,
1122.291,1505.7601,
1119.380,1531.9047,
1116.470,1522.1969,
1113.559,1536.465,
1110.649,1529.2128,
1107.738,1507.9971,
1104.828,1498.3288,
1101.917,1492.3487,
1099.006,1468.9278,
1096.096,1478.1613,
1093.185,1480.7953,
1090.275,1488.2834,
1087.364,1488.6278,
1084.453,1499.8117,
1081.543,1513.8204,
1078.632,1523.4473,
1075.722,1529.6836,
1072.811,1526.8544,
1069.901,1567.0244,
1066.990,1570.8083,
1064.079,1579.8467,
1061.169,1582.8954,
1058.258,1593.0106,
1055.348,1614.1731,
1052.437,1623.7524,
1049.527,1596.5636,
1046.616,1585.2689,
1043.705,1606.3522,
1040.795,1604.6994,
1037.884,1603.5402,
1034.974,1598.0619,
1032.063,1590.392,
1029.153,1614.1039,
1026.242,1614.9688,
1023.331,1642.4982,
1020.421,1664.7304,
1017.510,1672,
1014.600,1698.6446,
1011.689,1741.8417,
1008.778,1762.2254,
1005.868,1780.7838,
1002.957,1756.6939,
1000.047,1857.832,
997.136,1887.0155,
994.226,1881.7846,
991.315,1881.2599,
988.404,1868.5148,
985.494,1834.6356,
982.583,1818.361,
979.673,1819.6582,
976.762,1811.0193,
973.852,1802.674,
970.941,1801.8891,
968.030,1808.2082,
965.120,1832.2076,
962.209,1881.6551,
959.299,1876.5433,
956.388,1862.6005,
953.477,1845.7243,
950.567,1848.7768,
947.656,1892.9838,
944.746,1847.1078,
941.835,1862.0061,
938.925,1820.5945,
936.014,1819.7622,
933.103,1831.7603,
