,PLC9DE~1,
Raman shift [1/cm],Intensity,
799.217,6312.4707,
796.306,6260.4558,
793.396,6216.2985,
790.485,6189.9549,
787.574,6202.9391,
784.664,6191.4575,
781.753,6124.9605,
778.843,6137.4824,
775.932,6195.7205,
773.022,6230.7293,
770.111,6278.1488,
767.200,6356.7449,
764.290,6371.129,
761.379,6353.3467,
758.469,6338.6769,
755.558,6344.19,
752.648,6237.4769,
749.737,6135.4291,
746.826,6049.4827,
743.916,5934.7571,
741.005,5717.5967,
738.095,5294.6089,
735.184,4816.7693,
732.274,4700.5424,
729.363,5011.971,
726.452,5583.2913,
723.542,5876.2917,
720.631,5910.7239,
717.721,6006.3118,
714.810,6066.5228,
711.899,6045.2166,
708.989,6001.6426,
706.078,6054.261,
703.168,6015.7612,
700.257,5962.9841,
697.347,5930.8103,
694.436,5913.6331,
691.525,5886.3037,
688.615,5913.0784,
685.704,5916.4023,
682.794,5904.2685,
679.883,5937.3398,
676.973,6025.4905,
674.062,5991.0523,
671.151,6012.2213,
668.241,6073.0865,
665.330,6062.7028,
662.420,6132.9912,
659.509,6135.9462,
656.598,6171.7845,
653.688,6214.4926,
650.777,6171.78,
647.867,6183.725,
644.956,6180.8026,
642.046,6208.0553,
639.135,6236.912,
636.224,6182.745,
633.314,6256.5813,
630.403,6254.6826,
627.493,6241.1431,
624.582,6234.2527,
621.672,6197.821,
618.761,6213.0937,
615.850,6202.3964,
612.940,6237.1899,
610.029,6330.9533,
607.119,6340.4288,
604.208,6315.8145,
601.297,6331.2979,
598.387,6380.8788,
595.476,6434.844,
592.566,6386.8328,
589.655,6330.4311,
586.745,6295.2617,
583.834,6286.4492,
580.923,6297.3276,
578.013,6289.4803,
575.102,6445.6854,
572.192,6598.0316,
569.281,6664.3118,
566.371,6686.2253,
563.460,6720.8265,
560.549,6747.0442,
557.639,6771.1175,
554.728,6803.4298,
551.818,6851.8094,
548.907,6894.6739,
545.996,6930.9266,
543.086,6954.5362,
540.175,6950.643,
537.265,6925.7495,
534.354,6926.9105,
531.444,6945.1774,
528.533,6962.7263,
525.622,6925.4808,
522.712,6985.9381,
519.801,7044.1227,
516.891,7068.2531,
513.980,7077.5446,
511.070,7135.4271,
508.159,7160.3301,
505.248,7173.142,
502.338,7209.3239,
499.427,7241.7408,
496.517,7270.173,
493.606,7312.9673,
490.695,7369.0868,
487.785,7381.4034,
484.874,7303.8895,
481.964,7286.9528,
479.053,7306.7246,
476.143,7233.0002,
473.232,7303.193,
470.321,7305.6133,
467.411,7296.3695,
464.500,7350.9787,
461.590,7295.8454,
458.679,7346.4104,
455.769,7411.4022,
452.858,7439.1927,
449.947,7475.8614,
447.037,7504.6116,
444.126,7517.6356,
441.216,7511.2158,
438.305,7481.5004,
435.395,7486.5539,
432.484,7526.7989,
429.573,7579.215,
426.663,7591.3773,
423.752,7630.733,
420.842,7668.8392,
417.931,7732.082,
415.020,7864.7947,
412.110,7891.3234,
409.199,7986.9055,
406.289,8065.5841,
403.378,8026.3545,
400.468,8020.3066,
397.557,7954.6205,
394.646,7866.0937,
391.736,7782.6627,
388.825,7572.9864,
385.915,7453.8981,
383.004,7435.6414,
380.094,7523.8609,
377.183,7670.5938,
374.272,7850.3268,
371.362,8012.7014,
368.451,8121.4662,
365.541,8122.9673,
362.630,8119.0051,
359.719,8100.5766,
356.809,8071.6277,
353.898,8174.9618,
350.988,8129.5968,
348.077,8069.4079,
345.167,8074.602,
342.256,8079.0845,
339.345,8108.0095,
336.435,8147.365,
333.524,8190.6263,
330.614,8325.4995,
327.703,8412.0413,
324.793,8466.2334,
321.882,8500.64,
318.971,8609.9261,
316.061,8725.9936,
313.150,8855.4892,
310.240,9006.8808,
307.329,9041.6751,
304.418,9102.162,
301.508,9130.6395,
298.597,9018.8366,
295.687,9001.2481,
292.776,9154.0425,
289.866,9469.2804,
286.955,9924.3353,
284.044,10319.54,
281.134,10733.918,
278.223,11154.302,
275.313,11440.938,
272.402,11704.691,
269.492,11987.622,
266.581,12297.456,
263.670,12522.421,
260.760,12757.15,
257.849,12995.009,
254.939,13231.319,
252.028,13328.475,
249.117,13367.116,
246.207,13364.314,
243.296,13340.889,
240.386,13280.259,
237.475,13222.098,
234.565,13142.484,
231.654,12914.605,
228.743,12780.07,
225.833,12676.129,
222.922,12579.517,
220.012,12475.333,
217.101,12370.221,
214.191,12267.088,
211.280,12169.608,
208.369,12147.573,
205.459,12064.917,
202.548,11945.108,
199.638,11908.825,
196.727,11927.881,
193.816,11940.15,
190.906,11924.721,
187.995,11963.094,
185.085,12048.722,
182.174,12142.695,
179.264,12191.843,
176.353,12212.754,
173.442,12224.275,
170.532,12231.811,
167.621,12252.719,
164.711,12031.33,
161.800,11682.848,
158.890,11262.528,
155.979,10579.574,
153.068,9750.8971,
150.158,8773.2666,
147.247,7573.5684,
144.337,6263.0319,
141.426,4938.4328,
138.516,3642.2934,
135.605,2633.4239,
132.694,1811.4266,
129.784,1177.6484,
126.873,799.34472,
123.963,552.7921,
121.052,379.6153,
118.141,266.81879,
115.231,213.08222,
112.320,172.73502,
109.410,142.46621,
106.499,116.82862,
103.589,109.69424,
100.678,104.30067,
97.767,93.636611,
94.857,82.287175,
91.946,76.568778,
89.036,73.907327,
86.125,64.687659,
83.215,60.782239,
80.304,57.459539,
77.393,51.794179,
74.483,52.68527,
71.572,51.925592,
68.662,48.682325,
65.751,41.617814,
62.840,42.265212,
59.930,44.625855,
57.019,41.805527,
54.109,38.986357,
51.198,35.866954,
48.288,32.358013,
45.377,30.247878,
42.466,29.787219,
39.556,30.144763,
36.645,28.740382,
33.735,32.009739,
30.824,34.712339,
27.914,32.608813,
25.003,28.016538,
22.092,26.666618,
19.182,29.626711,
16.271,37.321103,
13.361,86.313919,
10.450,184.10984,
7.539,385.92298,
4.629,576.23377,
1.718,660.68723,
-1.192,514.98403,
-4.103,325.61987,
-7.013,150.01019,
-9.924,0.375,
