,PLFBFD~1,
Wavenumbers [1/cm],Intensity,
1227.072,1701.0457,
1224.161,1664.6643,
1221.251,1667.8036,
1218.340,1663.9991,
1215.430,1632.5982,
1212.519,1592.9201,
1209.608,1566.8094,
1206.698,1562.7422,
1203.787,1575.5421,
1200.877,1553.3947,
1197.966,1509.3359,
1195.055,1635.1123,
1192.145,1746.5349,
1189.234,1752.7685,
1186.324,1764.1273,
1183.413,1783.2418,
1180.503,1778.7524,
1177.592,1767.9431,
1174.681,1743.988,
1171.771,1674.908,
1168.860,1708.8454,
1165.950,1708.0936,
1163.039,1699.4426,
1160.129,1685.5076,
1157.218,1651.2038,
1154.307,1621.754,
1151.397,1631.2915,
1148.486,1660.2749,
1145.576,1660.7781,
1142.665,1652.7869,
1139.754,1653.7523,
1136.844,1629.6144,
1133.933,1621.471,
1131.023,1637.76,
1128.112,1656.9817,
1125.202,1663.3327,
1122.291,1666.4983,
1119.380,1662.5581,
1116.470,1706.6845,
1113.559,1743.055,
1110.649,1708.2503,
1107.738,1693.1623,
1104.828,1693.0513,
1101.917,1676.9117,
1099.006,1665.6301,
1096.096,1682.125,
1093.185,1682.125,
1090.275,1660.2747,
1087.364,1683.256,
1084.453,1698.9373,
1081.543,1699.3721,
1078.632,1697.4384,
1075.722,1699.4414,
1072.811,1704.6286,
1069.901,1697.6425,
1066.990,1723.7999,
1064.079,1781.8441,
1061.169,1788.4514,
1058.258,1774.5485,
1055.348,1788.6471,
1052.437,1814.7295,
1049.527,1782.3264,
1046.616,1787.5394,
1043.705,1798.1449,
1040.795,1777.5003,
1037.884,1786.3775,
1034.974,1803.2835,
1032.063,1792.2636,
1029.153,1784.3713,
1026.242,1794.7508,
1023.331,1816.7903,
1020.421,1838.5525,
1017.510,1847.2456,
1014.600,1878.576,
1011.689,1906.1566,
1008.778,1870.2453,
1005.868,1865.3953,
1002.957,1895.5077,
1000.047,1975.837,
997.136,2055.8097,
994.226,2060.4486,
991.315,2035.1299,
988.404,2053.8303,
985.494,1985.3168,
982.583,1993.8824,
979.673,1999.5149,
976.762,1990.5572,
973.852,1985.3351,
970.941,1993.4599,
968.030,2008.2291,
965.120,2020.0534,
962.209,2003.0026,
959.299,2041.2035,
956.388,2050.2855,
953.477,2045.3581,
950.567,2047.9093,
947.656,2053.5787,
944.746,2079.915,
941.835,2035.7755,
938.925,2044.2085,
936.014,2035.9153,
933.103,2022.009,
930.193,2030.3235,
927.282,2033.0627,
924.372,1995.0104,
921.461,1962.1418,
918.551,1950.9631,
915.640,1939.9264,
912.729,1924.7832,
909.819,1917.0104,
906.908,1885.8407,
903.998,1882.5343,
901.087,1894.8551,
898.176,1904.511,
895.266,1916.9644,
892.355,1938.5962,
889.445,1941.114,
886.534,1965.3363,
883.624,1984.2545,
880.713,2011.0289,
877.802,1996.0806,
874.892,1903.2611,
871.981,1773.744,
869.071,1715.2651,
866.160,1729.2736,
863.250,1827.6669,
860.339,1934.331,
857.428,1982.7424,
854.518,1977.8272,
851.607,1863.8337,
848.697,1811.1098,
845.786,1781.5939,
842.875,1835.2383,
839.965,1960.6639,
837.054,1963.4878,
834.144,1995.8092,
831.233,1996.1254,
828.323,2015.8753,
825.412,2023.3488,
822.501,1994.8911,
819.591,2021.3359,
816.680,2019.7211,
813.770,1985.2939,
810.859,1952.9415,
807.949,1932.3372,
805.038,1919.5144,
802.127,1939.2694,
799.217,1915.7817,
796.306,1910.5304,
793.396,1896.3844,
790.485,1870.5462,
787.574,1873.931,
784.664,1921.4975,
781.753,1929.454,
778.843,1933.0457,
775.932,1934.9645,
773.022,1937.0989,
770.111,1982.0657,
767.200,1928.7879,
764.290,1916.3259,
761.379,1923.2759,
758.469,1930.6362,
755.558,1938.958,
752.648,1899.857,
749.737,1916.2782,
746.826,1935.1859,
743.916,1930.1183,
741.005,1897.1992,
738.095,1880.1498,
735.184,1813.7696,
732.274,1742.8978,
729.363,1741.8002,
726.452,1829.188,
723.542,1879.3704,
720.631,1882.125,
717.721,1879.8336,
714.810,1907.0566,
711.899,1946.9765,
708.989,1916.3133,
706.078,1928.9458,
703.168,1929.0889,
700.257,1928.7753,
697.347,1925.2561,
694.436,1903.2958,
691.525,1872.7512,
688.615,1884.3634,
685.704,1889.0813,
682.794,1893.9972,
679.883,1936.3413,
676.973,1941.1495,
674.062,1935.1061,
671.151,1941.2066,
668.241,1958.89,
665.330,1971.4022,
662.420,1913.8936,
659.509,1935.7763,
656.598,1952.0958,
653.688,1945.8246,
650.777,1938.8271,
647.867,1959.5316,
644.956,1893.5419,
642.046,1853.4418,
639.135,1861.0595,
636.224,1872.2086,
633.314,1888.8813,
630.403,1939.2394,
627.493,1980.3428,
624.582,1999.1861,
621.672,2017.402,
618.761,1944.4109,
615.850,1926.0839,
612.940,1954.0324,
610.029,1994.4695,
607.119,1960.5154,
604.208,1970.6153,
601.297,1985.0983,
598.387,1997.8512,
595.476,2007.0507,
592.566,2006.2637,
589.655,1988.632,
586.745,1977.8231,
583.834,1984.6888,
580.923,2015.0634,
578.013,2004.8619,
575.102,2007.8609,
572.192,2012.8396,
569.281,2020.452,
566.371,2055.6701,
563.460,2033.7281,
560.549,2018.2522,
557.639,2021.4505,
554.728,2044.2235,
551.818,2045.7842,
548.907,2031.4991,
545.996,2026.4017,
543.086,2030.4408,
540.175,2017.9825,
537.265,2013.5036,
534.354,2014.1318,
531.444,2024.7634,
528.533,2048.2286,
525.622,2063.7476,
522.712,2076.8331,
519.801,2077.3968,
516.891,2075.7937,
513.980,2113.7342,
511.070,2128.3946,
508.159,2162.2566,
505.248,2181.1062,
502.338,2144.2035,
499.427,2215.212,
496.517,2233.5593,
493.606,2245.9117,
490.695,2269.4132,
487.785,2257.0966,
484.874,2255.125,
481.964,2253.4639,
479.053,2245.2415,
476.143,2220.6667,
473.232,2241.4265,
470.321,2258.3968,
467.411,2247.3707,
464.500,2189.125,
461.590,2189.125,
458.679,2221.5924,
455.769,2274.5904,
452.858,2329.3413,
449.947,2302.6037,
447.037,2279.5289,
444.126,2288.828,
441.216,2324.5219,
438.305,2326.8077,
435.395,2317.2905,
432.484,2310.8747,
429.573,2302.7349,
426.663,2275.3699,
423.752,2111.3238,
420.842,1930.607,
417.931,1804.2963,
415.020,1822.4968,
412.110,2068.947,
409.199,2229.5406,
406.289,2285.9064,
403.378,2233.2326,
400.468,2264.9843,
397.557,2281.8089,
394.646,2307.7872,
391.736,2362.6944,
388.825,2411.7195,
385.915,2411.2236,
383.004,2398.6961,
380.094,2401.8525,
377.183,2435.7139,
374.272,2455.9806,
371.362,2460.7101,
368.451,2451.7207,
365.541,2477.9895,
362.630,2502.0585,
359.719,2512.8694,
356.809,2505.4422,
353.898,2510.6838,
350.988,2498.5628,
348.077,2498.4509,
345.167,2526.3142,
342.256,2530.0495,
339.345,2505.6162,
336.435,2486.7337,
333.524,2497.2054,
330.614,2531.4826,
327.703,2519.0218,
324.793,2494.5471,
321.882,2487.235,
