,PLE9A8~1,
Wavenumbers [1/cm],Intensity,
781.753,1875.171,
778.843,1880.8909,
775.932,1892.0555,
773.022,1909.3183,
770.111,1940.3863,
767.200,1901.3891,
764.290,1915.0824,
761.379,1916.776,
758.469,1894.3131,
755.558,1911.4059,
752.648,1874.7488,
749.737,1884.4725,
746.826,1881.8445,
743.916,1868.2208,
741.005,1868.8756,
738.095,1881.0537,
735.184,1845.3169,
732.274,1775.2808,
729.363,1739.6217,
726.452,1784.0181,
723.542,1875.4795,
720.631,1869.0319,
717.721,1866.6457,
714.810,1873.5909,
711.899,1881.6188,
708.989,1873.5496,
706.078,1893.5326,
703.168,1886.9628,
700.257,1879.0874,
697.347,1873.7179,
694.436,1855.9763,
691.525,1836.6849,
688.615,1851.9962,
685.704,1850.9809,
682.794,1842.4574,
679.883,1868.9686,
676.973,1879.3864,
674.062,1915.3183,
671.151,1929.6784,
668.241,1911.5876,
665.330,1873.4622,
662.420,1872.6635,
659.509,1878.8493,
656.598,1921.4475,
653.688,1955.9369,
650.777,1900.284,
647.867,1893.9134,
644.956,1891.8808,
642.046,1898.1336,
639.135,1906.8712,
636.224,1904.5199,
633.314,1908.4896,
630.403,1956.7969,
627.493,1959.1581,
624.582,1917.7394,
621.672,1950.2112,
618.761,1937.8211,
615.850,1929.6431,
612.940,1942.8937,
610.029,1975.8152,
607.119,1983.7115,
604.208,1923.4389,
601.297,1915.4496,
598.387,1945.6851,
595.476,1975.1574,
592.566,1939.7394,
589.655,1963.9508,
586.745,1951.8581,
583.834,1927.2359,
580.923,1972.41,
578.013,1957.5,
575.102,1958.6623,
572.192,1966.4301,
569.281,1978.1398,
566.371,2003.9664,
563.460,2004.3836,
560.549,1984.9834,
557.639,1953.9518,
554.728,1926.491,
551.818,1989.6966,
548.907,1976.0764,
545.996,1978.3283,
543.086,2009.1645,
540.175,2007.6072,
537.265,1995.9115,
534.354,1977.9544,
531.444,1966.7293,
528.533,1972.8863,
525.622,1978.3179,
522.712,2012.2647,
519.801,2018.9886,
516.891,2002.0732,
513.980,2034.5936,
511.070,2025.5261,
508.159,2063.481,
505.248,2111.2511,
502.338,2113.7033,
499.427,2120.6498,
496.517,2128.7222,
493.606,2166.1397,
490.695,2218.7317,
487.785,2134.0547,
484.874,2192.2309,
481.964,2221.118,
479.053,2202.2713,
476.143,2184.6081,
473.232,2204.3627,
470.321,2186.7115,
467.411,2152.662,
464.500,2133.4891,
461.590,2172.5418,
458.679,2211.565,
455.769,2229.459,
452.858,2220.4884,
449.947,2239.5867,
447.037,2230.1513,
444.126,2216.6939,
441.216,2213.3947,
438.305,2241.5861,
435.395,2235.6655,
432.484,2242.5858,
429.573,2258.2575,
426.663,2252.9365,
423.752,2241.3413,
420.842,2233.7599,
417.931,2241.2734,
415.020,2279.1913,
412.110,2333.1761,
409.199,2327.0722,
406.289,2305.9115,
403.378,2322.7049,
400.468,2383.1845,
397.557,2367.5378,
394.646,2352.0075,
391.736,2399.4034,
388.825,2396.3865,
385.915,2384.8561,
383.004,2381.2109,
380.094,2395.6536,
377.183,2398.6635,
374.272,2408.7273,
371.362,2426.5071,
368.451,2450.4088,
365.541,2448.9077,
362.630,2459.4248,
359.719,2463.7645,
356.809,2452.5,
353.898,2452.5,
350.988,2472.0295,
348.077,2471.9467,
345.167,2433.0893,
342.256,2464.4662,
339.345,2462.8713,
336.435,2464.3261,
333.524,2491.537,
330.614,2460.9856,
327.703,2468.4424,
324.793,2478.0552,
321.882,2459.5559,
318.971,2482.6026,
316.061,2510.0326,
313.150,2530.731,
310.240,2531.4731,
307.329,2537.2171,
304.418,2559.106,
301.508,2576.9861,
298.597,2556.2545,
295.687,2568.0448,
292.776,2567.4166,
289.866,2577.2727,
286.955,2671.0908,
284.044,2653.5075,
281.134,2645.4978,
278.223,2666.2723,
275.313,2692.0623,
272.402,2698.6618,
269.492,2718.5112,
266.581,2760.1306,
263.670,2768.9528,
260.760,2803.3654,
257.849,2833.2699,
254.939,2835.4715,
252.028,2817.4039,
249.117,2814.6114,
246.207,2815.5224,
243.296,2800.1496,
240.386,2818.0898,
237.475,2815.8218,
234.565,2790.2084,
231.654,2756.6108,
228.743,2728.7867,
225.833,2704.9629,
222.922,2686.0436,
220.012,2697.7005,
217.101,2708.8607,
214.191,2707.1019,
211.280,2675.821,
208.369,2683.5922,
205.459,2672.1307,
202.548,2640.8565,
199.638,2602.3971,
196.727,2646.9356,
193.816,2671.3519,
190.906,2639.3888,
187.995,2664.7297,
185.085,2667.8257,
182.174,2668.3559,
179.264,2693.6527,
176.353,2717.6457,
173.442,2730.9502,
170.532,2735.6842,
167.621,2754.4295,
164.711,2660.1677,
161.800,2547.3981,
158.890,2479.7437,
155.979,2346.4047,
153.068,2160.1711,
150.158,1932.947,
147.247,1694.5869,
144.337,1379.9672,
141.426,1070.253,
138.516,803.5695,
135.605,570.41872,
132.694,388.61788,
129.784,252.93941,
126.873,162.83305,
123.963,115.47742,
121.052,86.417769,
118.141,68.570219,
115.231,49.3146,
112.320,37.263641,
109.410,31.090934,
106.499,28.954469,
103.589,24.017964,
100.678,21.586487,
97.767,24.430237,
94.857,24.5,
91.946,22.484446,
89.036,18.032327,
86.125,8.8126587,
83.215,7.0309204,
80.304,7.7394327,
77.393,8.4476026,
74.483,9.8102699,
71.572,10.137648,
68.662,9.638535,
65.751,11.051437,
62.840,7.6463841,
59.930,4.8110034,
57.019,9.7465773,
54.109,11.694322,
51.198,13.404828,
48.288,15.460363,
45.377,10.536716,
42.466,11.797755,
39.556,16.154644,
36.645,14.048074,
33.735,16.615491,
30.824,17.953791,
27.914,13.045564,
25.003,16.858462,
22.092,27.249709,
19.182,44.827206,
16.271,85.397634,
13.361,331.61606,
10.450,834.27489,
7.539,1919.457,
4.629,2902.6693,
1.718,3303.3472,
-1.192,2468.168,
-4.103,1492.5326,
-7.013,648.15115,
-9.924,-0.5,
