,PLE689~1,
Raman shift [1/cm],Intensity,
1250.356,7571.9047,
1247.446,7393.5043,
1244.535,7167.795,
1241.625,6949.6364,
1238.714,6741.3596,
1235.804,6526.0184,
1232.893,6379.6543,
1229.982,6242.8227,
1227.072,6130.564,
1224.161,6095.7289,
1221.251,5988.6272,
1218.340,5855.1576,
1215.430,5750.4252,
1212.519,5653.8411,
1209.608,5616.6838,
1206.698,5661.9652,
1203.787,5641.9617,
1200.877,5660.6986,
1197.966,5758.7069,
1195.055,5841.2706,
1192.145,6004.8937,
1189.234,6077.3327,
1186.324,6215.0916,
1183.413,6314.7671,
1180.503,6339.3153,
1177.592,6367.3314,
1174.681,6254.1627,
1171.771,6206.9875,
1168.860,6092.6721,
1165.950,5981.6451,
1163.039,5868.2294,
1160.129,5834.9337,
1157.218,5817.4726,
1154.307,5774.2186,
1151.397,5708.3435,
1148.486,5615.8786,
1145.576,5592.3121,
1142.665,5539.0374,
1139.754,5458.1439,
1136.844,5393.7047,
1133.933,5366.5869,
1131.023,5333.7713,
1128.112,5297.2686,
1125.202,5291.2482,
1122.291,5296.4835,
1119.380,5254.0321,
1116.470,5295.5109,
1113.559,5374.8569,
1110.649,5378.9442,
1107.738,5366.4101,
1104.828,5365.7055,
1101.917,5352.648,
1099.006,5321.1094,
1096.096,5348.7761,
1093.185,5302.2419,
1090.275,5309.1455,
1087.364,5288.2968,
1084.453,5292.8115,
1081.543,5307.2543,
1078.632,5292.7615,
1075.722,5261.5235,
1072.811,5297.6107,
1069.901,5325.555,
1066.990,5370.4666,
1064.079,5398.9989,
1061.169,5447.943,
1058.258,5495.447,
1055.348,5537.3779,
1052.437,5591.7568,
1049.527,5605.0418,
1046.616,5667.5975,
1043.705,5704.6848,
1040.795,5723.2026,
1037.884,5739.7512,
1034.974,5769.2461,
1032.063,5809.4478,
1029.153,5832.1203,
1026.242,5786.2776,
1023.331,5829.6221,
1020.421,5851.8699,
1017.510,5924.2978,
1014.600,5978.3167,
1011.689,6014.2633,
1008.778,6118.8573,
1005.868,6238.6791,
1002.957,6467.5333,
1000.047,6691.1771,
997.136,6875.5662,
994.226,7008.7165,
991.315,7055.1399,
988.404,6989.7102,
985.494,6880.0906,
982.583,6811.5661,
979.673,6747.4832,
976.762,6753.4575,
973.852,6745.1044,
970.941,6717.849,
968.030,6727.2145,
965.120,6696.7825,
962.209,6734.2944,
959.299,6739.2085,
956.388,6725.7458,
953.477,6705.3493,
950.567,6692.1935,
947.656,6701.7499,
944.746,6740.8295,
941.835,6748.2937,
938.925,6771.9987,
936.014,6778.5667,
933.103,6746.7898,
930.193,6698.0245,
927.282,6692.0633,
924.372,6552.5382,
921.461,6488.9682,
918.551,6427.3122,
915.640,6347.8812,
912.729,6250.8121,
909.819,6160.0707,
906.908,6171.0222,
903.998,6208.2118,
901.087,6255.8154,
898.176,6307.2111,
895.266,6348.1948,
892.355,6396.1522,
889.445,6553.9345,
