,PL662E~1,
Raman shift [1/cm],Intensity,
1483.203,1445.2309,
1480.292,1394.8012,
1477.382,1346.5123,
1474.471,1389.6818,
1471.560,1345.9954,
1468.650,1323.5,
1465.739,1279.3062,
1462.829,1299.2613,
1459.918,1337.2349,
1457.008,1305.9303,
1454.097,1289.835,
1451.186,1323.4807,
1448.276,1324.2171,
1445.365,1317.5742,
1442.455,1347.9468,
1439.544,1323.2447,
1436.633,1279.4136,
1433.723,1316.889,
1430.812,1280.9536,
1427.902,1236.6804,
1424.991,1244.2625,
1422.081,1194.9562,
1419.170,1199.1406,
1416.259,1220.7516,
1413.349,1232.2972,
1410.438,1188.3145,
1407.528,1219.3556,
1404.617,1212.8594,
1401.707,1204.9282,
1398.796,1224.6923,
1395.885,1231.7402,
1392.975,1234.2084,
1390.064,1231.674,
1387.154,1214.3219,
1384.243,1179.2226,
1381.332,1148.3532,
1378.422,1219.7415,
1375.511,1224.4254,
1372.601,1298.2256,
1369.690,1390.2222,
1366.780,1397.3717,
1363.869,1453.6182,
1360.958,1505.2097,
1358.048,1535.3328,
1355.137,1552.8596,
1352.227,1569.5654,
1349.316,1592.3872,
1346.406,1640.7926,
1343.495,1718.96,
1340.584,1758.8568,
1337.674,1783.3928,
1334.763,1783.3468,
1331.853,1805.6004,
1328.942,1821.6209,
1326.032,1866.7279,
1323.121,1906.8795,
1320.210,1936.1458,
1317.300,1959.6656,
1314.389,1980.8058,
1311.479,2039.121,
1308.568,2111.9941,
1305.657,2128.0047,
1302.747,2137.73,
1299.836,2227.6426,
1296.926,2276.542,
1294.015,2385.0222,
1291.105,2401.8276,
1288.194,2492.9592,
1285.283,2585.6683,
1282.373,2640.078,
1279.462,2693.3816,
1276.552,2735.1851,
1273.641,2761.1658,
1270.731,2798.2015,
1267.820,2833.5,
1264.909,2827.3345,
1261.999,2782.8995,
1259.088,2793.8449,
1256.178,2772.2321,
1253.267,2675.6693,
1250.356,2621.7644,
1247.446,2542.0264,
1244.535,2473.192,
1241.625,2409.5149,
1238.714,2335.6682,
1235.804,2290.7137,
1232.893,2218.2581,
1229.982,2179.2309,
1227.072,2112.2378,
1224.161,2062.9533,
1221.251,2061.9451,
1218.340,2035.9963,
1215.430,2016.6463,
1212.519,1980.9013,
1209.608,1946.1069,
1206.698,1963.4364,
1203.787,1989.9673,
1200.877,1992.3328,
1197.966,1989.6354,
1195.055,2065.4391,
1192.145,2121.3266,
1189.234,2167.9396,
1186.324,2225.322,
1183.413,2263.3579,
1180.503,2278.6059,
1177.592,2274.8935,
1174.681,2206.161,
1171.771,2223.3049,
1168.860,2171.5057,
1165.950,2151.9868,
1163.039,2115.6751,
1160.129,2120.9652,
1157.218,2117.1935,
1154.307,2093.6767,
1151.397,2076.6369,
1148.486,2053.2983,
1145.576,2062.1508,
1142.665,2031.0739,
1139.754,2052.9089,
1136.844,2017.8824,
1133.933,1999.327,
1131.023,1998.9721,
1128.112,1994.1436,
1125.202,1980.8768,
1122.291,1971.8814,
1119.380,1988.4913,
1116.470,1987.6088,
1113.559,1992.1395,
1110.649,2019.6938,
1107.738,2041.5373,
1104.828,2038.5136,
1101.917,2023.0206,
1099.006,2017.397,
1096.096,2007.8225,
1093.185,2013.0905,
1090.275,2024.8298,
1087.364,2031.6167,
1084.453,2020.5633,
1081.543,2010.9382,
1078.632,2002.0982,
1075.722,1986.9538,
1072.811,2011.0585,
1069.901,2018.9178,
1066.990,2054.2583,
1064.079,2057.0559,
1061.169,2081.5628,
1058.258,2125.9447,
1055.348,2147.9752,
1052.437,2123.7283,
1049.527,2105.8091,
1046.616,2139.6934,
1043.705,2124.2309,
1040.795,2148.5097,
1037.884,2202.4188,
1034.974,2225.4652,
1032.063,2209.4613,
1029.153,2227.773,
1026.242,2221.7183,
1023.331,2214.0005,
1020.421,2231.3217,
1017.510,2264.1521,
1014.600,2289.421,
1011.689,2312.8938,
1008.778,2354.139,
1005.868,2370.0483,
1002.957,2431.1334,
1000.047,2546.06,
997.136,2580.2141,
994.226,2595.2382,
991.315,2618.5,
988.404,2607.7994,
985.494,2552.7493,
982.583,2563.8846,
979.673,2511.3582,
976.762,2530.8358,
973.852,2549.6598,
970.941,2538.5,
968.030,2536.9971,
965.120,2528.7685,
962.209,2592.7092,
959.299,2560.2968,
956.388,2542.5,
953.477,2550.3095,
950.567,2566.7285,
947.656,2579.8288,
944.746,2567.0855,
941.835,2588.365,
938.925,2603.3708,
936.014,2598.8893,
933.103,2584.5567,
930.193,2563.9141,
927.282,2516.4459,
924.372,2496.997,
921.461,2432.6424,
918.551,2426.7661,
915.640,2431.7009,
912.729,2412.3025,
909.819,2381.2751,
906.908,2356.8447,
903.998,2388.9053,
901.087,2372.6763,
898.176,2407.1739,
895.266,2468.435,
892.355,2492.0965,
889.445,2527.3457,
886.534,2550.0415,
883.624,2555.1728,
880.713,2568.7693,
877.802,2585.3213,
874.892,2590.8454,
871.981,2582.3952,
869.071,2535.6121,
866.160,2548.1988,
863.250,2562.742,
860.339,2555.3289,
857.428,2527.952,
854.518,2503.826,
851.607,2480.528,
848.697,2466.1827,
845.786,2464.6138,
842.875,2470.9955,
839.965,2474.4465,
837.054,2460.6023,
834.144,2469.7186,
831.233,2432.1695,
828.323,2428.8209,
825.412,2418.4551,
822.501,2364.9256,
819.591,2383.9328,
816.680,2385.3013,
813.770,2360.4399,
810.859,2329.2553,
807.949,2311.4293,
805.038,2315.7035,
802.127,2309.1185,
799.217,2306.2638,
796.306,2290.1756,
793.396,2270.7137,
790.485,2270.5031,
787.574,2315.1886,
784.664,2306.9875,
781.753,2295.4352,
778.843,2310.1033,
775.932,2315.0682,
773.022,2281.5144,
770.111,2288.055,
767.200,2291.5452,
764.290,2304.6354,
761.379,2318.2264,
758.469,2323.6166,
755.558,2315.2114,
752.648,2272.0374,
749.737,2277.8614,
746.826,2240.2766,
743.916,2165.0451,
741.005,2096.8885,
738.095,2029.5027,
735.184,1851.3158,
732.274,1809.7949,
729.363,1905.1171,
726.452,2064.9184,
723.542,2166.9019,
720.631,2194.6716,
717.721,2224.4138,
714.810,2260.534,
711.899,2282.094,
708.989,2241.7478,
706.078,2251.9169,
703.168,2239.9267,
700.257,2231.7377,
697.347,2236.5432,
694.436,2246.5835,
691.525,2212.8237,
688.615,2211.7891,
685.704,2209.4563,
682.794,2199.8617,
679.883,2195.4011,
676.973,2215.4354,
674.062,2225.8808,
671.151,2217.6651,
668.241,2201.0705,
665.330,2197.1807,
662.420,2211.5579,
659.509,2234.1829,
656.598,2232.0848,
653.688,2210.5893,
650.777,2198.4721,
647.867,2227.1399,
644.956,2218.0212,
642.046,2208.0854,
639.135,2207.9192,
636.224,2209.5477,
633.314,2219.075,
630.403,2241.01,
627.493,2248.7389,
624.582,2242.6783,
621.672,2256.9342,
618.761,2279.5382,
615.850,2292.0099,
612.940,2303.3307,
610.029,2319.7881,
607.119,2339.5288,
604.208,2329.4298,
601.297,2313.5326,
598.387,2299.0604,
595.476,2291.9856,
592.566,2307.7269,
589.655,2309.8521,
586.745,2287.8016,
583.834,2256.2062,
580.923,2244.5,
578.013,2244.5,
575.102,2249.6623,
572.192,2244.2106,
569.281,2231.2962,
566.371,2252.427,
563.460,2285.5406,
560.549,2303.3728,
557.639,2310.6485,
554.728,2316.9927,
551.818,2324.7959,
548.907,2293.5917,
545.996,2303.6032,
543.086,2355.8553,
540.175,2371.4282,
537.265,2396.4012,
534.354,2392.456,
531.444,2385.9091,
528.533,2402.6104,
525.622,2404.1623,
522.712,2399.0392,
519.801,2414.594,
516.891,2458.0204,
513.980,2519.9641,
511.070,2547.3348,
508.159,2580.3783,
505.248,2619.2685,
502.338,2658.4489,
499.427,2690.8658,
496.517,2731.1767,
493.606,2752.1351,
490.695,2747.8537,
487.785,2764.7891,
484.874,2768.7924,
481.964,2769.0847,
479.053,2757.1008,
476.143,2709.4871,
473.232,2698.5866,
470.321,2691.6074,
467.411,2679.3957,
464.500,2656.4503,
461.590,2693.9715,
458.679,2700.6479,
455.769,2697.5,
452.858,2700.2042,
449.947,2726.1779,
447.037,2744.8487,
444.126,2752.0212,
441.216,2755.5853,
438.305,2790.6341,
435.395,2807.9571,
432.484,2805.7482,
429.573,2807.1677,
426.663,2865.6985,
423.752,2853.0645,
420.842,2828.1459,
417.931,2825.1684,
415.020,2887.3538,
412.110,2896.8161,
409.199,2924.9278,
406.289,2955.9276,
403.378,2969.3053,
400.468,2911.8498,
397.557,2909.9528,
394.646,2917.689,
391.736,2894.5443,
388.825,2833.4515,
385.915,2833.5946,
383.004,2869.488,
380.094,2920.9972,
377.183,2950.3438,
374.272,2996.4946,
371.362,3034.9752,
368.451,3054.2385,
365.541,3115.7824,
362.630,3103.5493,
359.719,3109.3927,
356.809,3179.322,
353.898,3159.8532,
350.988,3151.7876,
348.077,3132.6563,
345.167,3091.3865,
342.256,3089.1453,
339.345,3102.3172,
336.435,3120.8846,
333.524,3136.584,
330.614,3107.5229,
327.703,3113.9022,
324.793,3131.8513,
321.882,3141.61,
318.971,3186.96,
316.061,3225.4508,
313.150,3243.7262,
310.240,3225.1733,
307.329,3298.1076,
304.418,3310.6297,
301.508,3281.2446,
298.597,3246.445,
295.687,3276.0075,
292.776,3306.9167,
289.866,3358.8596,
286.955,3502.9111,
284.044,3629.7599,
281.134,3745.562,
278.223,3856.7928,
275.313,3988.6899,
272.402,4083.3039,
269.492,4141.0056,
266.581,4168.8045,
263.670,4270.9946,
260.760,4318.7834,
257.849,4339.8627,
254.939,4352.3387,
252.028,4290.9732,
249.117,4298.1074,
246.207,4330.5224,
243.296,4315.1496,
240.386,4228.6111,
237.475,4180.8107,
234.565,4153.4932,
231.654,4007.4165,
228.743,3942.5533,
225.833,3876.9488,
222.922,3780.8308,
220.012,3702.1469,
217.101,3650.9828,
214.191,3608.9822,
211.280,3557.3324,
208.369,3519.8593,
205.459,3461.978,
202.548,3405.0153,
199.638,3436.9439,
196.727,3390.4881,
193.816,3379.1941,
190.906,3442.1287,
187.995,3403.0314,
185.085,3426.8556,
182.174,3462.2317,
179.264,3439.1032,
176.353,3471.7428,
173.442,3508.9028,
170.532,3533.9555,
167.621,3486.3711,
164.711,3414.1108,
161.800,3325.3557,
158.890,3222.4346,
155.979,3094.2519,
153.068,2895.834,
150.158,2637.5189,
147.247,2349.62,
144.337,1982.7019,
141.426,1581.4336,
138.516,1161.3353,
135.605,866.24361,
132.694,607.91243,
129.784,393.15912,
126.873,257.99958,
123.963,173.02392,
121.052,115.33554,
118.141,79.640439,
115.231,63.867452,
112.320,49.450917,
109.410,38.363645,
106.499,37.65149,
103.589,34.138473,
100.678,29.598648,
97.767,24.622085,
94.857,23.114022,
91.946,18.468891,
89.036,12.838694,
86.125,14.96631,
83.215,13.376319,
80.304,10.542269,
77.393,7.7095895,
74.483,11.43081,
71.572,12.775296,
68.662,11.292198,
65.751,9.1728443,
62.840,12.835318,
59.930,17.125428,
57.019,15.715264,
54.109,10.125552,
51.198,7.4048278,
48.288,9.4886751,
45.377,8.081919,
42.466,5.026684,
39.556,2.5360672,
36.645,8.8557791,
33.735,10.5,
30.824,9.6164521,
27.914,6.8117511,
25.003,8.3679124,
22.092,6.593859,
19.182,0.72882863,
16.271,7.72373,
13.361,6.7068782,
10.450,-10.879545,
7.539,-82.806028,
4.629,-245.03834,
1.718,-402.80606,
-1.192,-478.79481,
-4.103,-329.29059,
-7.013,-157.79094,
-9.924,-0.5,
