,PL070F~1,
Raman shift [1/cm],Intensity,
1224.161,2646.5479,
1221.251,2623.2568,
1218.340,2562.061,
1215.430,2508.452,
1212.519,2495.9164,
1209.608,2479.6731,
1206.698,2457.849,
1203.787,2522.723,
1200.877,2516.4066,
1197.966,2537.0872,
1195.055,2599.5589,
1192.145,2631.914,
1189.234,2725.4144,
1186.324,2803.7644,
1183.413,2812.46,
1180.503,2799.9054,
1177.592,2810.0642,
1174.681,2771.8887,
1171.771,2715.0838,
1168.860,2713.2976,
1165.950,2663.1351,
1163.039,2632.2681,
1160.129,2620.5859,
1157.218,2609.4718,
1154.307,2605.6904,
1151.397,2609.3901,
1148.486,2578.7388,
1145.576,2499.0909,
1142.665,2544.3745,
1139.754,2496.8664,
1136.844,2474.6205,
1133.933,2464.8464,
1131.023,2476.2321,
1128.112,2463.1293,
1125.202,2419.9945,
1122.291,2456.3811,
1119.380,2472.3069,
1116.470,2490.84,
1113.559,2506.2702,
1110.649,2531.7349,
1107.738,2529.1937,
1104.828,2512.5479,
1101.917,2510.8589,
1099.006,2526.1558,
1096.096,2543.1899,
1093.185,2511.5818,
1090.275,2522.8826,
1087.364,2507.5997,
1084.453,2500.8124,
1081.543,2496.4281,
1078.632,2495.0795,
1075.722,2508.8772,
1072.811,2511.7527,
1069.901,2506.5131,
1066.990,2566.7499,
1064.079,2602.9014,
1061.169,2608.7066,
1058.258,2635.1925,
1055.348,2665.5425,
1052.437,2654.392,
1049.527,2726.9907,
1046.616,2723.5154,
1043.705,2723.8958,
1040.795,2737.5336,
1037.884,2744.1135,
1034.974,2763.6082,
1032.063,2780.9564,
1029.153,2734.0185,
1026.242,2799.7552,
1023.331,2801.2917,
1020.421,2761.3902,
1017.510,2774.9402,
1014.600,2840.9951,
1011.689,2891.5684,
1008.778,2880.8428,
1005.868,2915.2988,
1002.957,3046.0726,
1000.047,3168.773,
997.136,3227.6814,
994.226,3280.0475,
991.315,3301.2463,
988.404,3233.6942,
985.494,3189.3386,
982.583,3154.2198,
979.673,3120.5908,
976.762,3121.867,
973.852,3112.0026,
970.941,3089.125,
968.030,3088.9747,
965.120,3088.1465,
962.209,3093.2617,
959.299,3123.1632,
956.388,3116.6462,
953.477,3116.922,
950.567,3144.1377,
947.656,3156.8914,
944.746,3124.6083,
941.835,3171.7138,
938.925,3163.3835,
936.014,3128.3395,
933.103,3122.1328,
930.193,3138.3454,
927.282,3073.004,
924.372,3107.6738,
921.461,3051.0038,
918.551,3042.4865,
915.640,3002.4066,
912.729,2946.6643,
909.819,2972.4536,
906.908,2929.4899,
903.998,2931.8972,
901.087,2968.7693,
898.176,3004.3952,
895.266,3018.5858,
892.355,3026.318,
889.445,3096.8165,
886.534,3085.4368,
883.624,3129.5504,
880.713,3141.4075,
877.802,3132.5146,
874.892,3141.9273,
871.981,3172.6577,
869.071,3195.2138,
866.160,3174.9764,
863.250,3189.8109,
860.339,3192.7205,
857.428,3149.8118,
854.518,3123.4139,
851.607,3133.3987,
848.697,3118.6174,
845.786,3103.8595,
842.875,3107.2619,
839.965,3127.7416,
837.054,3135.5344,
834.144,3171.9995,
831.233,3157.1266,
828.323,3149.0924,
825.412,3141.1783,
822.501,3109.7844,
819.591,3063.506,
816.680,3068.5353,
813.770,3042.5589,
810.859,2984.6109,
807.949,2928.6128,
805.038,2914.7223,
802.127,2919.6611,
799.217,2955.9038,
796.306,2917.0435,
793.396,2876.5677,
790.485,2876.8625,
787.574,2888.0591,
784.664,2912.6625,
781.753,2909.7442,
778.843,2913.4762,
775.932,2918.9645,
773.022,2918.5629,
770.111,2947.1782,
767.200,2934.6601,
764.290,2915.6781,
761.379,2923.6368,
758.469,2941.2431,
755.558,2899.3227,
752.648,2872.4408,
749.737,2842.319,
746.826,2824.929,
743.916,2803.0923,
741.005,2740.5089,
738.095,2575.6979,
735.184,2417.4034,
732.274,2403.145,
729.363,2500.3103,
726.452,2643.9752,
723.542,2781.5721,
720.631,2864.8144,
717.721,2908.1746,
714.810,2907.8978,
711.899,2880.1151,
708.989,2867.2043,
706.078,2891.1641,
703.168,2864.3351,
700.257,2829.0976,
697.347,2815.6461,
694.436,2838.5576,
691.525,2817.6587,
688.615,2808.7226,
685.704,2809.5785,
682.794,2821.1462,
679.883,2844.5936,
676.973,2855.0114,
674.062,2824.5828,
671.151,2828.9182,
668.241,2867.4167,
665.330,2895.1586,
662.420,2853.6245,
659.509,2876.8716,
656.598,2893.394,
653.688,2885.604,
650.777,2867.7461,
647.867,2886.0616,
644.956,2855.4526,
642.046,2847.8067,
639.135,2865.0289,
636.224,2857.2444,
633.314,2881.0625,
630.403,2895.4019,
627.493,2891.9072,
624.582,2878.7141,
621.672,2885.8421,
618.761,2899.8039,
615.850,2937.1843,
612.940,2978.1279,
610.029,2998.4174,
607.119,2958.1462,
604.208,3019.4462,
601.297,3031.1695,
598.387,3007.526,
595.476,2988.2048,
592.566,3010.2427,
589.655,3048.4632,
586.745,3048.4644,
583.834,3010.95,
580.923,2964.0207,
578.013,2946.7566,
575.102,2910.0041,
572.192,2890.0551,
569.281,2900.0776,
566.371,2916.5127,
563.460,2977.3843,
560.549,3026.0017,
557.639,3034.4741,
554.728,2989.2728,
551.818,2991.6138,
548.907,3025.6427,
545.996,3042.8483,
543.086,3040.4868,
540.175,3060.7316,
537.265,3091.0962,
534.354,3073.0269,
531.444,3065.5817,
528.533,3119.0281,
525.622,3089.5421,
522.712,3134.0923,
519.801,3162.5424,
516.891,3164.2023,
513.980,3209.1115,
511.070,3224.3946,
508.159,3255.8687,
505.248,3303.1511,
502.338,3358.6613,
499.427,3411.1458,
496.517,3469.8118,
493.606,3485.2815,
490.695,3454.1161,
487.785,3497.2244,
484.874,3487.3232,
481.964,3476.4639,
479.053,3464.5644,
476.143,3424.6303,
473.232,3470.325,
470.321,3469.1754,
467.411,3447.6185,
464.500,3446.8038,
461.590,3473.6047,
458.679,3496.5332,
455.769,3499.6731,
452.858,3475.0687,
449.947,3436.1082,
447.037,3484.5537,
444.126,3518.9068,
441.216,3518.0353,
438.305,3534.7978,
435.395,3548.2708,
432.484,3564.9606,
429.573,3576.22,
426.663,3559.4969,
423.752,3551.8482,
420.842,3534.511,
417.931,3528.9758,
415.020,3570.6855,
412.110,3641.6282,
409.199,3668.103,
406.289,3680.686,
403.378,3715.9278,
400.468,3657.7162,
397.557,3663.8042,
394.646,3687.125,
391.736,3684.2035,
388.825,3592.9415,
385.915,3554.4167,
383.004,3560.6865,
380.094,3607.154,
377.183,3705.7284,
374.272,3760.8068,
371.362,3783.5363,
368.451,3784.9972,
365.541,3832.281,
362.630,3855.5036,
359.719,3851.6944,
356.809,3825.0248,
353.898,3872.9479,
350.988,3905.6545,
348.077,3929.0948,
345.167,3945.5195,
342.256,3933.5664,
339.345,3893.9876,
336.435,3871.2855,
333.524,3896.2759,
330.614,3932.7885,
327.703,3920.5084,
324.793,3902.2497,
321.882,3914.1737,
318.971,3934.2466,
316.061,3963.5874,
313.150,3986.894,
310.240,3986.1519,
307.329,4044.7252,
304.418,4056.2702,
301.508,4040.1558,
298.597,4032.7516,
295.687,3991.4906,
292.776,4000.0418,
289.866,4073.844,
286.955,4238.5798,
284.044,4346.2474,
281.134,4454.0008,
278.223,4560.4841,
275.313,4603.9585,
272.402,4725.2393,
269.492,4827.3541,
266.581,4871.8638,
263.670,4854.2195,
260.760,4946.8107,
257.849,5033.5587,
254.939,5026.2199,
252.028,5063.7649,
249.117,5072.6431,
246.207,5065.5568,
243.296,5063.3607,
240.386,5080.1028,
237.475,5085.2831,
234.565,5073.4883,
231.654,5037.6995,
228.743,4970.8621,
225.833,4939.3209,
222.922,4963.6597,
220.012,4889.347,
217.101,4848.9314,
214.191,4825.1311,
211.280,4801.8523,
208.369,4812.2356,
205.459,4797.7632,
202.548,4778.281,
199.638,4842.8638,
196.727,4916.6277,
193.816,4927.7115,
190.906,4851.3186,
187.995,4885.3477,
185.085,4912.2564,
182.174,4918.3514,
179.264,4878.5993,
176.353,4846.5715,
173.442,4872.4566,
170.532,4940.3366,
167.621,4899.241,
164.711,4821.3779,
161.800,4685.6753,
158.890,4464.7189,
155.979,4193.2498,
153.068,3830.961,
150.158,3398.8594,
147.247,2962.3444,
144.337,2425.7052,
141.426,1886.6488,
138.516,1389.8432,
135.605,988.38519,
132.694,675.94205,
129.784,444.13609,
126.873,295.38909,
123.963,203.66543,
121.052,138.42791,
118.141,91.310379,
115.231,79.045304,
112.320,67.770461,
109.410,59.670421,
106.499,62.519042,
103.589,50.799402,
100.678,39.223648,
97.767,34.247085,
94.857,32.739022,
91.946,32.125,
89.036,32.576592,
86.125,35.413413,
83.215,30.284876,
80.304,26.082731,
77.393,28.91541,
74.483,21.918515,
71.572,15.950887,
68.662,11.986465,
65.751,10.573563,
62.840,10.125,
59.930,11.248717,
57.019,15.479209,
54.109,17.916483,
51.198,15.807298,
48.288,8.1589747,
45.377,12.379243,
42.466,12.476123,
39.556,9.31917,
36.645,4.4038384,
33.735,4.1634969,
30.824,3.5787912,
27.914,-1.3294355,
25.003,5.5966497,
22.092,8.5104772,
19.182,4.5529284,
16.271,-12.934325,
13.361,-34.204571,
10.450,-106.87868,
7.539,-414.83576,
4.629,-728.77021,
1.718,-987.85879,
-1.192,-1118.2248,
-4.103,-758.11992,
-7.013,-357.99946,
-9.924,1.125,
