,PLD32A~1,
Wavenumbers [1/cm],Intensity,
449.947,3307.875,
447.037,3272.0761,
444.126,3263.6629,
441.216,3284.6418,
438.305,3260.26,
435.395,3284.4117,
432.484,3302.6258,
429.573,3301.4849,
426.663,3274.1199,
423.752,3408.5691,
420.842,3503.9532,
417.931,3503.3503,
415.020,3350.162,
412.110,3292.1989,
409.199,3282.1659,
406.289,3318.6868,
403.378,3400.9903,
400.468,3435.01,
397.557,3398.5732,
394.646,3360.0699,
391.736,3377.2855,
388.825,3390.1074,
385.915,3410.9052,
383.004,3411.5978,
380.094,3375.9134,
377.183,3376.6659,
374.272,3343.7654,
371.362,3328.5311,
368.451,3360.6986,
365.541,3390.7201,
362.630,3380.3028,
359.719,3358.0677,
356.809,3342.8265,
353.898,3358.5513,
350.988,3379.6921,
348.077,3372.3848,
345.167,3320.821,
342.256,3339.4977,
339.345,3372.5095,
336.435,3389.9352,
333.524,3371.6401,
330.614,3364.1886,
327.703,3379.3308,
324.793,3393.5549,
321.882,3386.9111,
318.971,3401.7799,
316.061,3419.5712,
313.150,3432.1821,
310.240,3429.9558,
307.329,3458.4605,
304.418,3486.7453,
301.508,3514.555,
298.597,3543.4313,
295.687,3578.3825,
292.776,3596.375,
289.866,3606.2583,
286.955,3636.5461,
284.044,3657.9525,
281.134,3675.2808,
278.223,3681.7315,
275.313,3639.7307,
272.402,3677.9282,
269.492,3743.2434,
266.581,3807.5118,
263.670,3760.4602,
260.760,3778.7404,
257.849,3817.3702,
254.939,3844.5239,
252.028,3791.3105,
249.117,3765.8499,
246.207,3757.4127,
243.296,3747.8962,
240.386,3756.6699,
237.475,3731.5242,
234.565,3684.6005,
231.654,3695.5563,
228.743,3658.75,
225.833,3599.6903,
222.922,3528.8026,
220.012,3484.3607,
217.101,3493.9201,
214.191,3512.3182,
211.280,3490.4943,
208.369,3472.7275,
205.459,3453.2967,
202.548,3437.6299,
199.638,3447.789,
196.727,3441.2318,
193.816,3418.6198,
190.906,3378.3609,
187.995,3306.6825,
185.085,3281.875,
182.174,3279.1326,
179.264,3269.0139,
176.353,3226.8651,
173.442,3191.9106,
170.532,3151.8054,
167.621,2988.1439,
164.711,2915.4943,
161.800,2822.044,
158.890,2623.3992,
155.979,2408.4614,
153.068,2148.3962,
150.158,1854.5274,
147.247,1564.4747,
144.337,1300.7978,
141.426,1032.6572,
138.516,745.18379,
135.605,535.15582,
132.694,365.95959,
129.784,238.0774,
126.873,167.27954,
123.963,114.7473,
121.052,77.093034,
118.141,54.962072,
115.231,44.927015,
112.320,40.451364,
109.410,39.193224,
106.499,35.632448,
103.589,30.953219,
100.678,24.343918,
97.767,15.101729,
94.857,14.182011,
91.946,18.30922,
89.036,23.971817,
86.125,18.298175,
83.215,17.936841,
80.304,15.762375,
77.393,6.5561659,
74.483,11.771215,
71.572,13.787944,
68.662,11.251593,
65.751,4.8935328,
62.840,10.10053,
59.930,17.125855,
57.019,14.305527,
54.109,11.486357,
51.198,9.2717814,
48.288,7.8410253,
45.377,3.6207569,
42.466,3.5238774,
39.556,5.5296443,
36.645,3.4230736,
33.735,1.8365031,
30.824,-0.67120882,
27.914,-5.5794355,
25.003,-3.6344501,
22.092,-1.1562863,
19.182,0.62328851,
16.271,-7.0711029,
13.361,-36.676853,
10.450,-144.99848,
7.539,-562.59106,
4.629,-1146.144,
1.718,-1639.6615,
-1.192,-1797.9133,
-4.103,-1313.7593,
-7.013,-687.44687,
-9.924,0.875,
