,PLBD77~1,
Raman shift [1/cm],Intensity,
807.949,1443.9446,
805.038,1466.1294,
802.127,1457.8981,
799.217,1460.1066,
796.306,1441.8276,
793.396,1430.2395,
790.485,1445.2329,
787.574,1481.2256,
784.664,1431.1988,
781.753,1464.397,
778.843,1455.23,
775.932,1444.495,
773.022,1491.393,
770.111,1499.5688,
767.200,1484.8988,
764.290,1487.0595,
761.379,1500.3962,
758.469,1498.0578,
755.558,1441.6113,
752.648,1457.9033,
749.737,1416.7353,
746.826,1383.8006,
743.916,1357.4884,
741.005,1305.5702,
738.095,1203.2737,
735.184,1087.4413,
732.274,1055.0653,
729.363,1126.6726,
726.452,1275.0749,
723.542,1402.1496,
720.631,1438.1775,
717.721,1459.1548,
714.810,1470.4091,
711.899,1471.8676,
708.989,1462.1845,
706.078,1469.3367,
703.168,1470.5178,
700.257,1457.3353,
697.347,1443.255,
694.436,1457.7758,
691.525,1444.915,
688.615,1468.5393,
685.704,1459.0868,
682.794,1428.4654,
679.883,1436.6657,
676.973,1448.6862,
674.062,1458.1439,
671.151,1454.2351,
668.241,1431.7361,
665.330,1394.0914,
662.420,1435.6255,
659.509,1449.2044,
656.598,1447.7975,
653.688,1437.2941,
650.777,1422.8532,
647.867,1473.8181,
644.956,1460.359,
642.046,1440.5644,
639.135,1430.9809,
636.224,1419.3279,
633.314,1459.8188,
630.403,1463.6217,
627.493,1465.2702,
624.582,1478.4799,
621.672,1493.5277,
618.761,1488.8054,
615.850,1502.5527,
612.940,1501.1221,
610.029,1474.388,
607.119,1475.9673,
604.208,1530.796,
601.297,1533.1843,
598.387,1500.5132,
595.476,1471.4277,
592.566,1495.8268,
589.655,1477.4488,
586.745,1466.4269,
583.834,1473.8342,
580.923,1493.7838,
578.013,1437.283,
575.102,1410.0796,
572.192,1426.8495,
569.281,1471.5784,
566.371,1462.9695,
563.460,1476.2344,
560.549,1482.6123,
557.639,1484.4678,
554.728,1491.2784,
551.818,1541.2186,
548.907,1541.765,
545.996,1543.2896,
543.086,1551.2599,
540.175,1528.6792,
537.265,1551.7505,
534.354,1547.5794,
531.444,1543.0421,
528.533,1564.5799,
525.622,1542.8534,
522.712,1579.3842,
519.801,1601.9243,
516.891,1591.0559,
513.980,1570.9242,
511.070,1578.2815,
508.159,1604.0931,
505.248,1636.8877,
502.338,1663.3735,
499.427,1671.8637,
496.517,1711.4583,
493.606,1739.452,
490.695,1736.9482,
487.785,1728.4805,
484.874,1725.1863,
481.964,1721.2181,
479.053,1715.838,
476.143,1710.4623,
473.232,1717.319,
470.321,1717.6921,
467.411,1710.3131,
464.500,1696.5129,
461.590,1711.8277,
458.679,1730.983,
455.769,1738.084,
452.858,1722.8301,
449.947,1681.5778,
447.037,1682.8332,
444.126,1716.1129,
441.216,1759.6115,
438.305,1745.1348,
435.395,1730.6679,
432.484,1731.6265,
429.573,1744.4325,
426.663,1754.3144,
423.752,1717.4644,
420.842,1688.7945,
417.931,1687.6995,
415.020,1735.4761,
412.110,1771.5108,
409.199,1797.3279,
406.289,1801.0398,
403.378,1769.9662,
400.468,1723.0945,
397.557,1745.6579,
394.646,1776.0074,
391.736,1760.9419,
388.825,1723.9846,
385.915,1691.3051,
383.004,1676.9792,
380.094,1692.7336,
377.183,1763.4663,
374.272,1784.2106,
371.362,1800.43,
368.451,1839.4046,
365.541,1876.9314,
362.630,1887.125,
359.719,1878.5419,
356.809,1859.8921,
353.898,1889.0952,
350.988,1883.5628,
348.077,1889.8399,
345.167,1931.4978,
342.256,1899.3739,
339.345,1887.4678,
336.435,1893.1752,
333.524,1913.162,
330.614,1882.6106,
327.703,1874.6652,
324.793,1878.7029,
321.882,1886.1034,
318.971,1877.1821,
316.061,1902.4472,
313.150,1924.9655,
310.240,1901.9599,
307.329,1919.7056,
304.418,1913.4464,
301.508,1891.6111,
298.597,1870.8795,
295.687,1809.5278,
292.776,1807.3751,
289.866,1872.1493,
286.955,2005.1199,
284.044,2067.7675,
281.134,2118.3046,
278.223,2163.1728,
275.313,2177.1731,
272.402,2237.0535,
269.492,2283.8284,
266.581,2295.2316,
263.670,2282.7336,
260.760,2302.1099,
257.849,2332.3636,
254.939,2358.7834,
252.028,2364.1919,
249.117,2371.1501,
246.207,2374.2838,
243.296,2363.3033,
240.386,2354.9421,
237.475,2331.5315,
234.565,2300.5851,
231.654,2303.5067,
228.743,2259.8217,
225.833,2236.5768,
222.922,2256.4603,
220.012,2220.7611,
217.101,2190.9685,
214.191,2169.7208,
211.280,2161.7187,
208.369,2149.6872,
205.459,2148.1175,
202.548,2146.228,
199.638,2100.5121,
196.727,2133.765,
193.816,2151.88,
190.906,2121.5567,
187.995,2133.8651,
185.085,2156.5664,
182.174,2177.9085,
179.264,2180.7996,
176.353,2159.3385,
173.442,2151.8383,
170.532,2160.629,
167.621,2164.9549,
164.711,2102.5313,
161.800,2020.5485,
158.890,1948.5758,
155.979,1829.4087,
153.068,1680.4702,
150.158,1503.9465,
147.247,1297.1763,
144.337,1071.0075,
141.426,837.1472,
138.516,599.8562,
135.605,434.29825,
132.694,301.43364,
129.784,199.30298,
126.873,133.51104,
123.963,89.964283,
121.052,62.025794,
118.141,49.175558,
115.231,39.177015,
112.320,33.430456,
109.410,31.397711,
106.499,32.822021,
103.589,26.962201,
100.678,20.223648,
97.767,15.247085,
94.857,15.125,
91.946,14.318778,
89.036,13.802387,
86.125,18.057619,
83.215,12.753956,
80.304,9.5193268,
77.393,16.601026,
74.483,10.57365,
71.572,8.2120563,
68.662,9.3630575,
65.751,1.5920956,
62.840,4.9054238,
59.930,9.8139966,
57.019,4.8784227,
54.109,5.3193217,
51.198,7.3314371,
48.288,10.10235,
45.377,7.288838,
42.466,4.888342,
39.556,3.0098814,
36.645,2.3076912,
33.735,4.7212423,
30.824,5.1370172,
27.914,-1.17356,
25.003,1.2381874,
22.092,2.8020954,
19.182,1.621577,
16.271,-13.767206,
13.361,-21.560832,
10.450,-77.960391,
7.539,-392.20231,
4.629,-690.21516,
1.718,-937.77658,
-1.192,-1084.1769,
-4.103,-749.21136,
-7.013,-362.17532,
-9.924,1.125,
