,PL2D4B~1,
Wavenumbers [1/cm],Intensity,
1541.414,1479.6617,
1538.504,1476.5583,
1535.593,1446.8795,
1532.683,1430.1624,
1529.772,1452.5809,
1526.861,1451.2044,
1523.951,1396.5274,
1521.040,1406.1285,
1518.130,1448.3476,
1515.219,1458.0808,
1512.309,1430.4955,
1509.398,1430.2814,
1506.487,1424.3622,
1503.577,1428.9391,
1500.666,1441.9707,
1497.756,1414.7294,
1494.845,1468.7182,
1491.934,1389.9244,
1489.024,1366.8246,
1486.113,1397.5253,
1483.203,1340.4928,
1480.292,1303.3021,
1477.382,1320.6309,
1474.471,1309.885,
1471.560,1293.3893,
1468.650,1253.4698,
1465.739,1242.1239,
1462.829,1284.3899,
1459.918,1323.7073,
1457.008,1334,
1454.097,1348.3269,
1451.186,1356.2669,
1448.276,1331.824,
1445.365,1283.3523,
1442.455,1234.8395,
1439.544,1254.9428,
1436.633,1233.4757,
1433.723,1224.1457,
1430.812,1176.5911,
1427.902,1183.1431,
1424.991,1147.1281,
1422.081,1113.8883,
1419.170,1177.5326,
1416.259,1170.1786,
1413.349,1201.4963,
1410.438,1178.7108,
1407.528,1103.4883,
1404.617,1099.9435,
1401.707,1085.494,
1398.796,1031.3427,
1395.885,1020.4686,
1392.975,1014.0822,
1390.064,972.06342,
1387.154,975.915,
1384.243,923.68793,
1381.332,878.77867,
1378.422,876.80678,
1375.511,873.05966,
1372.601,980.82373,
1369.690,1025.1461,
1366.780,1008.031,
1363.869,1079.0066,
1360.958,1148.9334,
1358.048,1155.7605,
1355.137,1179.6438,
1352.227,1202.6797,
1349.316,1243.7701,
1346.406,1315.6138,
1343.495,1306.7335,
1340.584,1339.0344,
1337.674,1419.2128,
1334.763,1396.0353,
1331.853,1396.9625,
1328.942,1432.5786,
1326.032,1454.128,
1323.121,1453.5542,
1320.210,1501.9441,
1317.300,1544.707,
1314.389,1605.8204,
1311.479,1642.8253,
1308.568,1641.0574,
1305.657,1651.6951,
1302.747,1655.4431,
1299.836,1749.1598,
1296.926,1787.2391,
1294.015,1813.8995,
1291.105,1899.532,
1288.194,1967.7108,
1285.283,1976.988,
1282.373,2001.578,
1279.462,2058.1757,
1276.552,2087.8189,
1273.641,2084.898,
1270.731,2078.591,
1267.820,2048.5214,
1264.909,2019.6373,
1261.999,2016.9334,
1259.088,2015.1092,
1256.178,2029.5598,
1253.267,1981.3651,
1250.356,1957.1957,
1247.446,1948.8929,
1244.535,1915.7724,
1241.625,1855.126,
1238.714,1829.3704,
1235.804,1854.4904,
1232.893,1806.2388,
1229.982,1854.3936,
1227.072,1777.442,
1224.161,1758.5519,
1221.251,1732.1757,
1218.340,1716.8741,
1215.430,1698.1355,
1212.519,1677.3976,
1209.608,1667.7088,
1206.698,1661.3402,
1203.787,1639.1558,
1200.877,1642.1731,
1197.966,1677.2403,
1195.055,1719.1027,
1192.145,1812.4045,
1189.234,1870.8444,
1186.324,1926.822,
1183.413,1965.2995,
1180.503,1986.1647,
1177.592,2000.9896,
1174.681,1950.3973,
1171.771,1897.5879,
1168.860,1879.7261,
1165.950,1873.1623,
1163.039,1869.2064,
1160.129,1853.2536,
1157.218,1881.4589,
1154.307,1935.2438,
1151.397,1970.0767,
1148.486,2013.8963,
1145.576,2032.4151,
1142.665,1949.8392,
1139.754,1957.6453,
1136.844,1956.7982,
1133.933,1927.4342,
1131.023,1890.5325,
1128.112,1878.4989,
1125.202,1895.1401,
1122.291,1905.376,
1119.380,1907.8874,
1116.470,1896.4145,
1113.559,1862.5235,
1110.649,1853.6548,
1107.738,1845.4269,
1104.828,1838.4161,
1101.917,1832.4908,
1099.006,1817.8763,
1096.096,1823.5051,
1093.185,1848.0892,
1090.275,1868.6132,
1087.364,1864.0804,
1084.453,1866.7496,
1081.543,1874.1911,
1078.632,1871.3589,
1075.722,1864.6418,
1072.811,1889.0621,
1069.901,1889.9353,
1066.990,1872.2167,
1064.079,1887.0544,
1061.169,1888.2678,
1058.258,1890.8932,
1055.348,1906.8215,
1052.437,1910.0964,
1049.527,1880.6042,
1046.616,1896.2431,
1043.705,1894.9169,
1040.795,1892.723,
1037.884,1920.3213,
1034.974,1937.9446,
1032.063,1913.131,
1029.153,1886.6498,
1026.242,1875.4054,
1023.331,1908.3312,
1020.421,1960.3116,
1017.510,1976.6383,
1014.600,1993.0319,
1011.689,2017.8597,
1008.778,2010.8949,
1005.868,1986.861,
1002.957,1971.3746,
1000.047,2045.44,
997.136,2140.3678,
994.226,2189.6769,
991.315,2173.2104,
988.404,2117.6237,
985.494,2063.6356,
982.583,2047.361,
979.673,2001.8328,
976.762,2020.639,
973.852,2028.6456,
970.941,2009.7783,
968.030,2011.8959,
965.120,2000.2255,
962.209,2053.9357,
959.299,2047.4185,
956.388,2065.0785,
953.477,2078.2456,
950.567,2083.3326,
947.656,2119.2174,
944.746,2105.6245,
941.835,2114.7178,
938.925,2126.8708,
936.014,2101.6504,
933.103,2078.3557,
930.193,2083.6078,
927.282,2055.3419,
924.372,2006.2967,
921.461,1990.4268,
918.551,1980.6097,
915.640,1985.3488,
912.729,2004.7089,
909.819,2018.5518,
906.908,1984.8548,
903.998,2033.1079,
901.087,2040.2714,
898.176,2041.772,
895.266,2054.3002,
892.355,2064.3458,
889.445,2034.1322,
886.534,2045.6882,
883.624,2053.3827,
880.713,2054.9793,
877.802,2014.7447,
874.892,1907.1722,
871.981,1752.1864,
869.071,1548.3456,
866.160,1536.4586,
863.250,1735.713,
860.339,1925.2567,
857.428,1966.6089,
854.518,1999.9188,
851.607,1893.4139,
848.697,1778.0178,
845.786,1703.381,
842.875,1752.9493,
839.965,1927.8164,
837.054,2064.428,
834.144,2102.5506,
831.233,2130.6652,
828.323,2120.7226,
825.412,2116.0981,
822.501,2153.2767,
819.591,2171.4575,
816.680,2102.2883,
813.770,2067.4579,
810.859,2025.8644,
807.949,2002.883,
805.038,2039.6106,
802.127,2019.8556,
799.217,2014.273,
796.306,1998.2431,
793.396,2000.2368,
790.485,2011.7345,
787.574,1978.5257,
784.664,2018.7112,
781.753,2044.1166,
778.843,2033.3967,
775.932,2029.975,
773.022,2066.732,
770.111,2058.5562,
767.200,2049.6256,
764.290,2037.754,
761.379,2027.0613,
758.469,2019.5351,
755.558,2014.5835,
752.648,2034.134,
