,PLCD35~1,
Wavenumbers [1/cm],Intensity,
1064.079,2347.6503,
1061.169,2358.7678,
1058.258,2352.0765,
1055.348,2352.3819,
1052.437,2357.6158,
1049.527,2374.4399,
1046.616,2398.7671,
1043.705,2383.0016,
1040.795,2396.0166,
1037.884,2392.8451,
1034.974,2392.9072,
1032.063,2411.9232,
1029.153,2400.1884,
1026.242,2397.5935,
1023.331,2406.6661,
1020.421,2439.1725,
1017.510,2456.4219,
1014.600,2477.2631,
1011.689,2503.4955,
1008.778,2503.8084,
1005.868,2476.9633,
1002.957,2528.5846,
1000.047,2575.084,
997.136,2656.4551,
994.226,2697.7001,
991.315,2665.8391,
988.404,2598.313,
985.494,2540.8644,
982.583,2557.139,
979.673,2535.3557,
976.762,2525.3258,
973.852,2519.1959,
970.941,2502.7194,
968.030,2486.8643,
965.120,2528.4069,
962.209,2506.2408,
959.299,2544.995,
956.388,2587.6984,
953.477,2586.5376,
950.567,2573.2311,
947.656,2619.8315,
944.746,2614.7342,
941.835,2616.1196,
938.925,2617.1581,
936.014,2606.8777,
933.103,2603.915,
930.193,2604.9153,
927.282,2549.963,
924.372,2466.2479,
921.461,2505.5752,
918.551,2509.5576,
915.640,2497.3753,
912.729,2497.9886,
909.819,2507.6112,
906.908,2508.4536,
903.998,2510.8861,
901.087,2498.1334,
898.176,2514.3598,
895.266,2543.3566,
892.355,2545.8876,
889.445,2526.5845,
886.534,2567.4087,
883.624,2570.1173,
880.713,2581.79,
877.802,2545.1282,
874.892,2418.5107,
871.981,2270.8972,
869.071,2033.64,
866.160,2100.8237,
863.250,2279.5023,
860.339,2434.0134,
857.428,2506.7697,
854.518,2535.2613,
851.607,2457.8789,
848.697,2379.1574,
845.786,2316.2862,
842.875,2326.7467,
839.965,2436.7291,
837.054,2588.6582,
834.144,2602.7469,
831.233,2662.8292,
828.323,2678.1466,
825.412,2670.6173,
822.501,2679.0318,
819.591,2654.2398,
816.680,2658.3077,
813.770,2627.5484,
810.859,2580.5231,
807.949,2552.2878,
805.038,2566.5044,
802.127,2558.2731,
799.217,2515.0127,
796.306,2509.5811,
793.396,2509.8816,
790.485,2506.028,
787.574,2530.718,
784.664,2536.4587,
781.753,2536.829,
778.843,2546.3016,
775.932,2566.685,
773.022,2586.8373,
770.111,2569.6681,
767.200,2590.5781,
764.290,2576.1185,
761.379,2571.9222,
758.469,2581.9664,
755.558,2555.1776,
752.648,2611.3852,
749.737,2585.9438,
746.826,2583.284,
743.916,2577.3698,
741.005,2509.9323,
