,PLF1F4~1,
Raman shift [1/cm],Intensity,
909.819,6196.0664,
906.908,6169.1088,
903.998,6211.37,
901.087,6272.909,
898.176,6298.7618,
895.266,6327.6823,
892.355,6406.0486,
889.445,6456.4046,
886.534,6537.6076,
883.624,6613.5071,
880.713,6662.0185,
877.802,6694.5207,
874.892,6711.9842,
871.981,6672.5597,
869.071,6627.4474,
866.160,6638.2539,
863.250,6640.3346,
860.339,6622.8118,
857.428,6597.6075,
854.518,6578.8196,
851.607,6516.4144,
848.697,6473.9854,
845.786,6478.3078,
842.875,6474.6521,
839.965,6447.8389,
837.054,6503.4948,
834.144,6491.8922,
831.233,6516.9564,
828.323,6500.4561,
825.412,6452.561,
822.501,6397.4118,
819.591,6290.8063,
816.680,6280.4134,
813.770,6200.9387,
810.859,6113.1109,
807.949,6048.0176,
805.038,6011.3175,
802.127,6025.3106,
799.217,5956.5582,
796.306,5986.5443,
793.396,5999.9835,
790.485,5953.6769,
787.574,5941.4729,
784.664,5911.1288,
781.753,5919.0447,
778.843,5930.0357,
775.932,5952.2173,
773.022,5992.259,
770.111,5996.3469,
767.200,5989.0119,
764.290,6002.8056,
761.379,5973.6628,
758.469,5919.8327,
755.558,5953.9929,
752.648,5932.8132,
749.737,5865.9572,
746.826,5822.3681,
743.916,5772.092,
741.005,5654.8342,
738.095,5497.3301,
735.184,5273.4029,
732.274,5235.2745,
729.363,5369.7782,
726.452,5584.3755,
723.542,5732.4945,
720.631,5849.1895,
717.721,5864.8668,
714.810,5847.4375,
711.899,5847.2092,
708.989,5875.4516,
706.078,5779.4686,
703.168,5767.7694,
700.257,5791.3027,
697.347,5788.4103,
694.436,5697.4286,
691.525,5690.1944,
688.615,5699.3165,
685.704,5711.6687,
682.794,5712.6038,
679.883,5691.4993,
676.973,5733.1705,
674.062,5721.8445,
671.151,5718.9533,
668.241,5715.5684,
665.330,5670.2847,
662.420,5663.0961,
659.509,5684.4825,
656.598,5695.4613,
653.688,5702.7469,
650.777,5735.6799,
647.867,5707.8084,
644.956,5673.1441,
642.046,5659.771,
639.135,5665.8346,
636.224,5666.9194,
633.314,5725.6709,
630.403,5757.7701,
627.493,5780.7632,
624.582,5818.2244,
621.672,5906.1358,
618.761,5914.1846,
615.850,5932.7056,
612.940,5964.3848,
610.029,6000.5978,
607.119,6012.4423,
604.208,6007.2349,
601.297,6015.0939,
598.387,6030.7844,
595.476,6044.2935,
592.566,6051.3771,
589.655,6014.3995,
586.745,6004.4742,
583.834,5999.7408,
580.923,5932.8051,
578.013,5962.625,
575.102,5965.4627,
572.192,5960.1959,
569.281,5961.4212,
566.371,5982.552,
563.460,6030.4804,
560.549,6074.9635,
557.639,6100.2822,
554.728,6101.7,
551.818,6182.0725,
548.907,6224.6109,
545.996,6274.8385,
543.086,6332.148,
540.175,6348.4996,
537.265,6317.0324,
534.354,6380.3803,
531.444,6478.475,
528.533,6539.7771,
525.622,6570.0391,
522.712,6677.9528,
519.801,6762.3371,
516.891,6824.552,
513.980,6982.5084,
511.070,7062.8337,
508.159,7151.7535,
505.248,7276.2084,
502.338,7449.1446,
499.427,7466.8968,
496.517,7565.5239,
493.606,7684.0609,
490.695,7780.2253,
487.785,7813.3263,
484.874,7808.2854,
481.964,7790.1667,
479.053,7773.3604,
476.143,7776.4323,
473.232,7729.8638,
470.321,7740.8196,
467.411,7748.5783,
464.500,7680.2177,
461.590,7664.1372,
458.679,7711.903,
455.769,7743.5978,
452.858,7722.7269,
449.947,7752.5202,
447.037,7779.8616,
444.126,7791.7765,
441.216,7787.8313,
438.305,7783.2597,
435.395,7819.9963,
432.484,7822.1214,
429.573,7786.9749,
426.663,7741.3664,
423.752,7711.8205,
420.842,7686.4677,
417.931,7694.8348,
415.020,7783.5627,
412.110,7869.2973,
