,PL6A7C~1,
Wavenumbers [1/cm],Intensity,
799.217,1495.5041,
796.306,1495.1859,
793.396,1485.581,
790.485,1466.376,
787.574,1482.963,
784.664,1524.7887,
781.753,1515.6004,
778.843,1517.1766,
775.932,1525.5232,
773.022,1525.6861,
770.111,1553.4838,
767.200,1517.3094,
764.290,1525.6007,
761.379,1530.1344,
758.469,1517.7233,
755.558,1531.3718,
752.648,1564.7706,
749.737,1537.43,
746.826,1514.2466,
743.916,1505.862,
741.005,1498.2745,
738.095,1488.532,
735.184,1450.907,
732.274,1399.5622,
729.363,1386.8851,
726.452,1429.1291,
723.542,1438.8419,
720.631,1473.7793,
717.721,1498.6961,
714.810,1521.1761,
711.899,1540.7512,
708.989,1542.3651,
706.078,1561.6063,
703.168,1551.1945,
700.257,1535.599,
697.347,1523.8971,
694.436,1511.375,
691.525,1511.375,
688.615,1518.9219,
685.704,1537.6209,
682.794,1560.1196,
679.883,1572.3029,
676.973,1570.7002,
674.062,1577.3939,
671.151,1576.115,
668.241,1570.0897,
665.330,1571.1649,
662.420,1545.6055,
659.509,1542.9147,
656.598,1552.1645,
653.688,1564.9055,
650.777,1573.051,
647.867,1563.495,
644.956,1550.8494,
642.046,1490.0626,
639.135,1417.7768,
636.224,1434.7729,
633.314,1514.1667,
630.403,1547.9728,
627.493,1571.2017,
624.582,1590.5499,
621.672,1577.878,
618.761,1568.2557,
615.850,1596.7813,
612.940,1639.7933,
610.029,1667.4565,
607.119,1631.9231,
604.208,1665.2957,
601.297,1689.3483,
598.387,1684.33,
595.476,1648.4094,
592.566,1638.1775,
589.655,1670.7132,
586.745,1690.6769,
583.834,1685.1287,
580.923,1659.3039,
578.013,1647.5329,
575.102,1644.375,
572.192,1651.878,
569.281,1662.2818,
566.371,1645.0641,
563.460,1657.4844,
560.549,1673.6079,
557.639,1704.5172,
554.728,1757.3549,
551.818,1725.3619,
548.907,1700.702,
545.996,1687.8198,
543.086,1685.0395,
540.175,1683.4822,
537.265,1657.3009,
534.354,1672.4595,
531.444,1697.9323,
528.533,1700.2579,
525.622,1712.6731,
522.712,1669.2617,
519.801,1642.0482,
516.891,1650.2876,
513.980,1669.645,
511.070,1672.0793,
508.159,1681.4488,
505.248,1693.6283,
502.338,1700.6461,
499.427,1709.9081,
496.517,1716.3346,
493.606,1720.721,
490.695,1724.0169,
487.785,1728.6357,
484.874,1722.2665,
481.964,1707.1625,
479.053,1692.662,
476.143,1698.0377,
473.232,1691.181,
470.321,1700.0528,
467.411,1711.6152,
464.500,1708.832,
461.590,1687.3913,
458.679,1722.6471,
455.769,1743.4574,
452.858,1716.8862,
449.947,1731.4009,
447.037,1729.5209,
444.126,1733.0295,
441.216,1743.1844,
438.305,1736.327,
435.395,1745.8652,
432.484,1735.1217,
429.573,1702.0799,
426.663,1657.9917,
423.752,1491.8764,
420.842,1225,
417.931,957.76187,
415.020,839.458,
412.110,1233.3725,
409.199,1515.8052,
406.289,1655.4232,
403.378,1646.0471,
400.468,1549.2799,
397.557,1545.6249,
394.646,1605.0432,
391.736,1696.5682,
388.825,1702.602,
385.915,1687.3448,
383.004,1682.369,
380.094,1708.7954,
377.183,1736.637,
374.272,1756.3162,
371.362,1772.2615,
368.451,1786.7397,
365.541,1792.744,
362.630,1795.4675,
359.719,1795.4871,
356.809,1790.5205,
353.898,1743.3462,
350.988,1763.4667,
348.077,1790.7942,
345.167,1788.6939,
342.256,1775.2466,
339.345,1767.655,
336.435,1775.2011,
333.524,1803.375,
330.614,1803.375,
327.703,1818.2638,
324.793,1833.664,
321.882,1837.3353,
318.971,1820.9796,
316.061,1823.6763,
313.150,1835.8393,
310.240,1846.971,
307.329,1877.3898,
304.418,1920.3798,
301.508,1958.9504,
298.597,1964.8737,
295.687,1944.3805,
292.776,1937.7084,
289.866,1962.7705,
286.955,2059.5435,
284.044,2122.71,
281.134,2196.9204,
278.223,2273.7283,
275.313,2269.3072,
272.402,2317.1709,
269.492,2344.7705,
266.581,2321.8587,
263.670,2230.6964,
260.760,2273.852,
257.849,2351.7461,
254.939,2392.8435,
252.028,2392.6512,
249.117,2382.3248,
246.207,2382.4973,
243.296,2429.3476,
240.386,2413.4793,
237.475,2390.8494,
234.565,2378.2417,
231.654,2415.4913,
228.743,2401.511,
225.833,2357.6294,
222.922,2292.5404,
220.012,2253.1984,
217.101,2241.8471,
214.191,2225.453,
211.280,2165.8011,
208.369,2161.375,
205.459,2162.1735,
202.548,2164.2524,
199.638,2169.332,
196.727,2156.5458,
193.816,2144.5689,
190.906,2137.5308,
187.995,2056.44,
185.085,2056.2735,
182.174,2085.4162,
179.264,2078.1885,
176.353,2034.4428,
173.442,2041.1924,
170.532,2085.3782,
167.621,1999.5821,
164.711,1929.0739,
161.800,1842.1374,
158.890,1712.5864,
155.979,1563.2702,
153.068,1431.5871,
150.158,1297.3643,
147.247,1079.8248,
144.337,909.25199,
141.426,733.21607,
138.516,526.75139,
135.605,371.45944,
132.694,256.66955,
129.784,174.94668,
126.873,116.30603,
123.963,74.783353,
121.052,47.275794,
118.141,34.425558,
115.231,32.243289,
112.320,26.715005,
109.410,22.147618,
106.499,31.405636,
103.589,22.730165,
100.678,12.202026,
97.767,6.5145258,
94.857,12.611901,
91.946,14.165667,
89.036,11.358919,
86.125,4.9760714,
83.215,8.6842035,
80.304,10.980673,
77.393,3.8989738,
74.483,3.375,
71.572,5.5491127,
68.662,9.1671975,
65.751,7.0478443,
62.840,8.7835099,
59.930,10.438569,
57.019,6.9131591,
54.109,6.375,
51.198,6.6766093,
48.288,7.3523502,
45.377,4.538838,
42.466,2.138342,
39.556,0.60523716,
36.645,2.0096176,
33.735,-0.7404908,
30.824,-2.2996782,
27.914,1.9073733,
25.003,0.50708757,
22.092,0.34371367,
19.182,2.7182429,
16.271,13.210595,
13.361,61.20663,
10.450,119.93272,
7.539,111.55294,
4.629,-146.20586,
1.718,-474.35908,
-1.192,-763.67406,
-4.103,-655.39199,
-7.013,-391.37247,
-9.924,-1.625,
