,PLC8A1~1,
Raman shift [1/cm],Intensity,
822.501,455.34046,
819.591,462.77805,
816.680,413.32043,
813.770,407.26503,
810.859,414.15868,
807.949,424.89028,
805.038,443.89602,
802.127,451.30417,
799.217,459.45391,
796.306,448.94585,
793.396,439,
790.485,435.20955,
787.574,421.43593,
784.664,432.9175,
781.753,443.72279,
778.843,449.96033,
775.932,448.605,
773.022,442.64837,
770.111,453.27689,
767.200,451.71606,
764.290,450.42212,
761.379,456.69575,
758.469,460.722,
755.558,436.4408,
752.648,417.70492,
749.737,434.23647,
746.826,417.02673,
743.916,374.66868,
741.005,338.8295,
738.095,257.64182,
735.184,185.78981,
732.274,150.48205,
729.363,177.64912,
726.452,274.70401,
723.542,411.49148,
720.631,402.18014,
717.721,401.58276,
714.810,416.42038,
711.899,435,
708.989,435,
706.078,446.21824,
703.168,419.8534,
700.257,411.72687,
697.347,420.47895,
694.436,396.78178,
691.525,388.74373,
688.615,389.51564,
685.704,395.31694,
682.794,394.91496,
679.883,376.00921,
676.973,398.44759,
674.062,404.27616,
671.151,419.02656,
668.241,439.62073,
665.330,447.43276,
662.420,435.45178,
659.509,406.96783,
656.598,400.22225,
653.688,411.92017,
650.777,415.91808,
647.867,442.99323,
644.956,449,
642.046,439.04964,
639.135,426.04805,
636.224,429.96817,
633.314,423.61666,
630.403,418.45274,
627.493,429.82668,
624.582,450.05771,
621.672,441.34578,
618.761,426.56115,
615.850,437.42766,
612.940,446.92619,
610.029,441.52609,
607.119,444.68461,
604.208,436.47984,
601.297,422.03261,
598.387,425.61824,
595.476,460.06874,
592.566,439.60497,
589.655,434.05633,
586.745,439.50953,
583.834,434.82496,
580.923,388.02843,
578.013,392.73684,
575.102,385.39618,
572.192,376.49901,
569.281,376.92099,
566.371,404.31283,
563.460,430.28045,
560.549,444.87279,
557.639,443.82304,
554.728,429.7592,
551.818,473.45689,
548.907,461.67054,
545.996,451.11032,
543.086,451.63817,
540.175,431.39338,
537.265,440.13991,
534.354,446.50845,
531.444,445.93476,
528.533,437.61372,
525.622,432.18209,
522.712,438.88779,
519.801,451.6376,
516.891,465.25204,
513.980,471.44641,
511.070,462.84348,
508.159,458.52243,
505.248,466.76268,
502.338,493.36147,
499.427,505.71078,
496.517,511.26262,
493.606,504.25121,
490.695,483.04158,
487.785,454.55932,
484.874,479.08008,
481.964,502.05973,
479.053,502.07167,
476.143,460.60168,
473.232,488.21496,
470.321,489.7819,
467.411,478.24022,
464.500,475.65092,
461.590,461.8676,
458.679,506.97622,
455.769,526.20576,
452.858,481.47721,
449.947,486.0608,
447.037,515.51775,
444.126,522.90909,
441.216,504,
438.305,504,
435.395,517.76837,
432.484,506.66291,
429.573,480.28999,
426.663,477.24943,
423.752,446.31356,
420.842,403.7721,
417.931,377.83422,
415.020,408.9269,
412.110,464.13937,
409.199,489.37897,
406.289,494.26206,
403.378,492.00256,
400.468,492.75856,
397.557,493,
394.646,473.33777,
391.736,420.07243,
388.825,422.33513,
385.915,383.61767,
383.004,362.99162,
380.094,401.83891,
377.183,477.08654,
374.272,496.91444,
371.362,502.4752,
368.451,517.77204,
365.541,514.01936,
362.630,527.74849,
359.719,534.67258,
356.809,523.54051,
353.898,548.99965,
350.988,533.75804,
348.077,521.6794,
345.167,536.82692,
342.256,513.6678,
339.345,530.38303,
336.435,555.71907,
333.524,566.61421,
330.614,522.65002,
327.703,548.5322,
324.793,578.26626,
321.882,556.02704,
318.971,567.17868,
316.061,553.90901,
313.150,543.85236,
310.240,569.0843,
307.329,550.7048,
304.418,547.10358,
301.508,553.77231,
298.597,560.43606,
295.687,537.97383,
292.776,535.75005,
289.866,559.98817,
