,PLEED5~1,
Raman shift [1/cm],Intensity,
516.891,3040.0569,
513.980,3023.0224,
511.070,3056.7174,
508.159,3059.0833,
505.248,3054.513,
502.338,3083.1944,
499.427,3141.0818,
496.517,3140.096,
493.606,3132.5474,
490.695,3138.9695,
487.785,3113.5664,
484.874,3156.6743,
481.964,3184.5764,
479.053,3179.5941,
476.143,3146.5717,
473.232,3135.1478,
470.321,3134.4195,
467.411,3139.0196,
464.500,3143.1509,
461.590,3129.3676,
458.679,3135.4053,
455.769,3117.9798,
452.858,3067.4312,
449.947,3114.7949,
447.037,3126.927,
444.126,3140.7,
441.216,3158.8542,
438.305,3143.6156,
435.395,3127.7316,
432.484,3108.8309,
429.573,3102.7951,
426.663,3146.8833,
423.752,3092.6142,
420.842,3051.0593,
417.931,3036.2403,
415.020,3052.9242,
412.110,3185.922,
409.199,3255.0379,
406.289,3247.2284,
403.378,3157.6025,
400.468,3187.8422,
397.557,3166.1369,
394.646,3117.6458,
391.736,3063.6268,
388.825,2973.8732,
385.915,2901.1991,
383.004,2890.482,
380.094,2971.4503,
377.183,3088.0841,
374.272,3194.3181,
371.362,3281.2235,
368.451,3338.4028,
365.541,3303.8782,
362.630,3317.9883,
359.719,3344.6032,
356.809,3362.814,
353.898,3384.5291,
350.988,3327.0291,
348.077,3306.3162,
345.167,3386.6135,
342.256,3388.8547,
339.345,3374.6199,
336.435,3358.7241,
333.524,3352.6509,
330.614,3389.1635,
327.703,3409.7413,
324.793,3414.6331,
321.882,3403.4856,
318.971,3397.538,
316.061,3436.0301,
313.150,3475.9595,
310.240,3467.7963,
307.329,3481.7927,
304.418,3455.5833,
301.508,3393.0815,
298.597,3301.2698,
295.687,3207.4905,
292.776,3192.7501,
289.866,3287.4169,
286.955,3562.2228,
284.044,3763.4198,
281.134,3944.1474,
278.223,4100.9847,
275.313,4165.828,
272.402,4258.5028,
269.492,4356.374,
266.581,4450.0178,
263.670,4527.2117,
260.760,4570.9177,
257.849,4614.1097,
254.939,4681.6269,
252.028,4690.4623,
249.117,4707.6617,
246.207,4722.4165,
243.296,4714.3641,
240.386,4669.0966,
237.475,4605.1604,
234.565,4536.2437,
231.654,4509.2195,
228.743,4455.1691,
225.833,4396.3279,
222.922,4341.9032,
220.012,4307.6611,
217.101,4290.6114,
214.191,4266.7966,
211.280,4207.8721,
208.369,4155.7303,
205.459,4109.7427,
202.548,4081.266,
199.638,4114.6459,
196.727,4104.7897,
193.816,4059.6885,
190.906,3984.1603,
187.995,4002.9849,
185.085,3986.8029,
182.174,3977.9542,
179.264,4038.6666,
176.353,4009.6164,
173.442,3991.6753,
170.532,3987.3513,
167.621,3917.4167,
164.711,3829.1251,
161.800,3707.2707,
158.890,3533.8164,
155.979,3341.3125,
153.068,3065.9976,
150.158,2720.6169,
147.247,2345.1279,
144.337,1929.147,
141.426,1518.4513,
138.516,1134.9145,
135.605,806.26238,
132.694,554.67938,
129.784,370.80714,
126.873,249.23507,
123.963,166.45485,
121.052,110.03527,
118.141,78.623586,
115.231,69.262585,
112.320,57.027281,
109.410,44.954579,
106.499,42.105958,
103.589,35.337201,
100.678,28.87027,
97.767,24.604644,
94.857,27.271956,
91.946,25.275113,
89.036,19.93551,
86.125,16.389484,
83.215,19.747363,
80.304,20.387375,
77.393,11.181166,
74.483,12.465405,
71.572,14.224704,
68.662,15.638535,
65.751,17.051437,
62.840,11.237874,
59.930,4.8745724,
57.019,6.2847364,
54.109,14.860252,
51.198,18.087126,
48.288,12.511325,
45.377,13.918081,
42.466,14.087781,
39.556,14.075593,
36.645,17.586544,
33.735,18.5,
30.824,17.837339,
27.914,15.733813,
25.003,21.103737,
22.092,25.791618,
19.182,28.591531,
16.271,31.389492,
13.361,148.8224,
10.450,411.38243,
7.539,1009.1404,
4.629,1535.7377,
1.718,1826.197,
-1.192,1639.3623,
-4.103,1013.9072,
-7.013,434.87797,
-9.924,-1.5,
