,PL1CBE~1,
Raman shift [1/cm],Intensity,
1087.364,1943.3106,
1084.453,1930.6249,
1081.543,1928.8707,
1078.632,1941.7965,
1075.722,1973.7388,
1072.811,1958.4928,
1069.901,1972.465,
1066.990,1935.5084,
1064.079,1970.7334,
1061.169,2004.2029,
1058.258,2024.2402,
1055.348,2045.4369,
1052.437,2056.9565,
1049.527,2020.5811,
1046.616,2074.4485,
1043.705,2122.8921,
1040.795,2118.2604,
1037.884,2100.4082,
1034.974,2095.4794,
1032.063,2097.4001,
1029.153,2092.797,
1026.242,2136.9098,
1023.331,2145.9995,
1020.421,2141.9232,
1017.510,2149.0247,
1014.600,2173.4172,
1011.689,2210.1834,
1008.778,2251.0975,
1005.868,2290.1332,
1002.957,2360.6823,
1000.047,2462.5,
997.136,2559.3439,
994.226,2599.0385,
991.315,2551.4852,
988.404,2454.0408,
985.494,2445.6369,
982.583,2407.0919,
979.673,2383.2088,
976.762,2367.6935,
973.852,2359.2899,
970.941,2339.3099,
968.030,2300.4538,
965.120,2311.6862,
962.209,2356.0183,
959.299,2335.17,
956.388,2332.4594,
953.477,2325.9361,
950.567,2318.0026,
947.656,2355.1792,
944.746,2390.8606,
941.835,2387.6411,
938.925,2421.3767,
936.014,2419.267,
933.103,2391.3788,
930.193,2368.9092,
927.282,2337.4918,
924.372,2318.8884,
921.461,2306.1904,
918.551,2282.7483,
915.640,2248.9526,
912.729,2227.8671,
909.819,2241.8328,
906.908,2236.7782,
903.998,2227.751,
901.087,2233.7746,
898.176,2243.272,
895.266,2257.7046,
892.355,2292.7348,
889.445,2374.1437,
886.534,2338.6005,
883.624,2338.9012,
880.713,2374.6524,
877.802,2409.6687,
874.892,2405.55,
871.981,2352.9537,
869.071,2372.1682,
866.160,2372.0502,
863.250,2356.3465,
860.339,2350.6595,
857.428,2365.6044,
854.518,2373.6575,
851.607,2344.5351,
848.697,2305.1091,
845.786,2309.2207,
842.875,2318.7613,
839.965,2303.7573,
837.054,2309.2209,
834.144,2284.3583,
831.233,2284.8329,
828.323,2276.6194,
825.412,2256.485,
822.501,2234.8191,
819.591,2219.9439,
816.680,2191.4551,
813.770,2176.3555,
810.859,2166.9876,
807.949,2154.0585,
805.038,2133.5044,
802.127,2125.2731,
799.217,2140.8986,
796.306,2123.2296,
793.396,2108.6145,
790.485,2108.4461,
787.574,2090.8701,
784.664,2126.955,
781.753,2133.5,
778.843,2120.7579,
775.932,2106.2655,
773.022,2104.768,
770.111,2112.9438,
767.200,2122.6357,
764.290,2105.8522,
761.379,2106.0731,
758.469,2125.9888,
755.558,2115.649,
752.648,2087.1379,
749.737,2079.5416,
746.826,2061.2498,
743.916,2027.818,
741.005,1978.6526,
738.095,1856.0591,
735.184,1743.5368,
732.274,1747.6236,
729.363,1815.752,
726.452,1895.4266,
723.542,2016.8356,
720.631,2041.8489,
717.721,2065.2582,
714.810,2065.9376,
711.899,2042.8663,
708.989,2031.5694,
706.078,2057.1417,
703.168,2039.2112,
700.257,2034.6394,
697.347,2035.7189,
694.436,1981.8235,
691.525,1956.9056,
688.615,1971.6252,
685.704,1997.3142,
682.794,2002.1597,
679.883,1959.9417,
676.973,1991.9966,
674.062,1990.843,
671.151,1998.7732,
668.241,2011.8793,
665.330,2002.8571,
662.420,1989.2787,
659.509,1983.9603,
656.598,2010.196,
653.688,2046.5,
650.777,2046.554,
647.867,2048.1467,
644.956,2037.9744,
642.046,2026.9394,
639.135,2022.1769,
636.224,2028.4403,
633.314,2016.5312,
630.403,2026.5066,
627.493,2020.5211,
624.582,2016.276,
621.672,2104.9793,
618.761,2090.2615,
615.850,2105.4375,
612.940,2132.746,
610.029,2147.3706,
607.119,2116.575,
604.208,2135.5104,
601.297,2152.4763,
598.387,2161.6465,
595.476,2162.4202,
592.566,2140.3823,
589.655,2137.7958,
586.745,2104.6505,
583.834,2046.6662,
580.923,1997.7085,
578.013,2032.2368,
575.102,2038.0585,
572.192,2059.7953,
569.281,2095.9076,
566.371,2053.6459,
563.460,2128.5124,
560.549,2124.4668,
557.639,2090.6027,
554.728,2106.6679,
551.818,2141.0018,
548.907,2134.4835,
545.996,2133.2758,
543.086,2140.4671,
540.175,2117.1077,
537.265,2148.0926,
534.354,2162.0051,
531.444,2164.0573,
528.533,2165.8863,
525.622,2171.3179,
522.712,2163.3987,
519.801,2174.6846,
516.891,2211.8903,
513.980,2258.3481,
511.070,2262.5,
508.159,2295.9296,
505.248,2345.5188,
502.338,2384.0256,
499.427,2367.8171,
496.517,2371.4192,
493.606,2396.3435,
490.695,2429.5416,
487.785,2401.0593,
484.874,2419.7641,
481.964,2415.4736,
479.053,2391.3161,
476.143,2390.5482,
473.232,2465.318,
470.321,2452.6544,
