,PLA94E~1,
Raman shift [1/cm],Intensity,
83.215,12.96908,
80.304,12.021135,
77.393,10.604795,
74.483,13.775675,
71.572,11.876479,
68.662,5.084395,
65.751,0.84568854,
62.840,3.8353179,
59.930,7.7508552,
57.019,4.9305273,
54.109,9.2772868,
51.198,10.087126,
48.288,4.4886751,
45.377,3.081919,
42.466,4.1488774,
39.556,6.9604743,
36.645,9.7692352,
33.735,6.3460123,
30.824,1.8373391,
27.914,-0.26618666,
25.003,6.3490122,
22.092,9.8541909,
19.182,8.5915315,
16.271,11.389492,
13.361,26.829571,
10.450,63.807325,
7.539,164.36474,
4.629,135.76955,
1.718,30.831917,
-1.192,-144.15136,
-4.103,-109.37907,
-7.013,-49.698322,
-9.924,2.5,
