,PL88AE~1,
Raman shift [1/cm],Intensity,
1340.584,1375.5894,
1337.674,1374.8791,
1334.763,1438.61,
1331.853,1471.0631,
1328.942,1484.8275,
1326.032,1453.7502,
1323.121,1496.0196,
1320.210,1502.7203,
1317.300,1533.9694,
1314.389,1552.6943,
1311.479,1564.2875,
1308.568,1601.0243,
1305.657,1622.8464,
1302.747,1619.8122,
1299.836,1644.4316,
1296.926,1724.1869,
1294.015,1741.654,
1291.105,1824.2654,
1288.194,1871.3184,
1285.283,1910.4471,
1282.373,1928.0703,
1279.462,1954.9824,
1276.552,2028.265,
1273.641,2077.848,
1270.731,2055.0228,
1267.820,2055.6072,
1264.909,2082.1555,
1261.999,2100.9103,
1259.088,2060.777,
1256.178,2056.6621,
1253.267,2064.047,
1250.356,1997.9724,
1247.446,1953.0537,
1244.535,1915.1385,
1241.625,1874.0713,
1238.714,1860.4886,
1235.804,1841.1616,
1232.893,1743.2564,
1229.982,1716.0002,
1227.072,1763.9817,
1224.161,1716.9448,
1221.251,1682.0617,
1218.340,1663.6578,
1215.430,1624.2418,
1212.519,1617.2019,
1209.608,1639.1856,
1206.698,1630.3111,
1203.787,1629.6313,
1200.877,1673.8178,
1197.966,1664.8262,
1195.055,1704.4777,
1192.145,1763.2177,
1189.234,1788.8093,
1186.324,1813.5588,
1183.413,1829.0501,
1180.503,1827.7123,
1177.592,1821.4052,
1174.681,1799.5154,
1171.771,1807.0247,
1168.860,1791.8422,
1165.950,1754.8983,
1163.039,1752.6606,
1160.129,1758.9141,
1157.218,1758.4906,
1154.307,1752.0358,
1151.397,1739.858,
1148.486,1718.5277,
1145.576,1704.1867,
1142.665,1745.9186,
1139.754,1681.0302,
1136.844,1679.3811,
1133.933,1683.6155,
1131.023,1675.7657,
1128.112,1649.4492,
1125.202,1623.1044,
1122.291,1650.7591,
1119.380,1674.86,
1116.470,1724.2816,
1113.559,1703.3113,
1110.649,1673.1102,
1107.738,1687.0943,
1104.828,1696.0598,
1101.917,1685.9552,
1099.006,1710.5811,
1096.096,1731.02,
1093.185,1741.5561,
1090.275,1726.9989,
1087.364,1702.1052,
1084.453,1706.4366,
1081.543,1718.6897,
1078.632,1723.1955,
1075.722,1728.8108,
1072.811,1726.8714,
1069.901,1733.8575,
1066.990,1751.35,
1064.079,1764.2217,
1061.169,1775.0026,
1058.258,1776.9871,
1055.348,1786.485,
1052.437,1825.6226,
1049.527,1852.9121,
1046.616,1866.8133,
1043.705,1866.0627,
1040.795,1859.6285,
1037.884,1879.6389,
1034.974,1905.3544,
1032.063,1899.1677,
1029.153,1864.7252,
1026.242,1875.9696,
1023.331,1904.7065,
1020.421,1920.8315,
1017.510,1919.212,
1014.600,1921.1419,
1011.689,1935.5063,
1008.778,1962.5963,
1005.868,2045.6993,
1002.957,2081.8342,
1000.047,2133.967,
997.136,2197.1864,
994.226,2230.2673,
991.315,2221.6324,
988.404,2188.5123,
985.494,2131.8955,
982.583,2110.4816,
979.673,2119.813,
976.762,2133.1815,
973.852,2140.259,
970.941,2140.7822,
968.030,2137.2709,
965.120,2125.3141,
962.209,2110.8209,
959.299,2106.9585,
956.388,2138.8529,
953.477,2161.4978,
950.567,2158.9435,
947.656,2161.1468,
944.746,2144.1557,
941.835,2179.8166,
938.925,2160.0788,
936.014,2149.4216,
933.103,2150.9033,
930.193,2139.9828,
927.282,2113.5043,
924.372,2097.4377,
921.461,2085.8018,
918.551,2053.9093,
915.640,2047.8231,
912.729,2063.8864,
909.819,2048.8148,
906.908,2006.6935,
903.998,2029.0313,
901.087,2055.7432,
898.176,2077.3961,
895.266,2093.4534,
892.355,2109.4009,
889.445,2136.2575,
886.534,2148.0632,
883.624,2174.597,
880.713,2193.0096,
877.802,2204.9333,
874.892,2204.8957,
871.981,2157.9804,
869.071,2141.2722,
866.160,2164.5935,
863.250,2180.0444,
860.339,2189.8185,
857.428,2192.9574,
854.518,2157.1584,
851.607,2149.6697,
848.697,2160.0679,
845.786,2135.7939,
842.875,2115.0164,
839.965,2128.4527,
837.054,2133.5704,
834.144,2150.9742,
831.233,2149.7087,
828.323,2142.4293,
825.412,2136.7311,
822.501,2131.3536,
819.591,2109.0408,
816.680,2103.5673,
813.770,2076.0619,
810.859,2040.9716,
807.949,2011.0359,
805.038,1997.1626,
802.127,2020.2102,
799.217,1981.3785,
796.306,1987.24,
793.396,1987.1916,
790.485,1982.959,
787.574,2054.9738,
784.664,2018.0688,
781.753,2035.5304,
778.843,2033.1626,
775.932,2035.35,
773.022,2071.473,
770.111,2059.2094,
767.200,2031.7291,
764.290,2021.6414,
761.379,2029.0401,
758.469,2044.0491,
755.558,2048.9649,
752.648,2001.7178,
749.737,1994.3334,
746.826,1968.8004,
743.916,1932.2321,
741.005,1902.2524,
738.095,1777.2234,
735.184,1592.9059,
732.274,1545.3591,
729.363,1639.0269,
726.452,1807.2319,
723.542,1911.6436,
720.631,1954.8374,
717.721,1983.5604,
714.810,2011.2215,
711.899,2032.5532,
708.989,2020.4493,
706.078,2012.362,
703.168,1981.2284,
700.257,1975.1647,
697.347,1998.8092,
694.436,2017.3057,
691.525,1977.9193,
688.615,1966.2304,
685.704,1982.9378,
682.794,1999.1836,
679.883,1972.2308,
676.973,1969.0253,
674.062,2001.5553,
671.151,2024.7583,
668.241,2019.6538,
665.330,1985.6775,
662.420,1992.0674,
659.509,2028.2962,
656.598,2028.0358,
653.688,2001.605,
650.777,2003.0771,
647.867,2023.7816,
644.956,1994.3217,
642.046,1987.8859,
639.135,2013.4056,
636.224,2032.3273,
633.314,2022.8,
630.403,2025.1047,
627.493,2040.6654,
624.582,2056.3139,
621.672,2038.098,
