,PL4EEC~1,
Wavenumbers [1/cm],Intensity,
1829.562,252.40494,
1826.651,246.79389,
1823.740,276.76586,
1820.830,251.10696,
1817.919,250.14752,
1815.009,241.24396,
1812.098,248.35137,
1809.188,285.01833,
1806.277,226.74718,
1803.366,221.558,
1800.456,233.47414,
1797.545,251.72964,
1794.635,247.43903,
1791.724,258.40417,
1788.813,248.38143,
1785.903,261.34016,
1782.992,237.30197,
1780.082,216.90178,
1777.171,139.02166,
1774.261,90.290523,
1771.350,179.69902,
1768.439,257.5892,
1765.529,267.73795,
1762.618,272.07127,
1759.708,260.42914,
1756.797,270.49621,
1753.887,308.78608,
1750.976,313.65772,
1748.065,294.39958,
1745.155,300.34263,
1742.244,283.55167,
1739.334,280.64559,
1736.423,324.23476,
1733.512,304.72043,
1730.602,296.61112,
1727.691,275.34518,
1724.781,293.54545,
1721.870,310.83697,
1718.960,306.79714,
1716.049,295.3073,
1713.138,301.06996,
1710.228,308.46708,
1707.317,309.375,
1704.407,321.95256,
1701.496,332.49048,
1698.586,331.52703,
1695.675,330.43929,
1692.764,338.8955,
1689.854,307.80412,
1686.943,348.89107,
1684.033,331.84689,
1681.122,364.79726,
1678.211,349.52728,
1675.301,361.338,
1672.390,306.47669,
1669.480,340.57555,
1666.569,365.6797,
1663.659,389.326,
1660.748,386.60638,
1657.837,398.28752,
1654.927,394.79672,
1652.016,412.03481,
1649.106,398.30156,
1646.195,396.38201,
1643.285,438.4004,
1640.374,480.89069,
1637.463,411.93345,
1634.553,443.24689,
1631.642,501.75503,
1628.732,536.34537,
1625.821,531.38023,
1622.911,539.32992,
1620.000,607.50569,
1617.089,649.53918,
1614.179,690.21876,
1611.268,737.59046,
1608.358,727.93688,
1605.447,799.97559,
1602.536,819.28519,
1599.626,867.29158,
1596.715,824.17974,
1593.805,791.65071,
1590.894,789.25567,
1587.984,790.24109,
1585.073,760.59641,
1582.162,733.66796,
1579.252,732.6482,
1576.341,724.5633,
1573.431,709.06104,
1570.520,698.49561,
1567.610,674.02171,
1564.699,659.1247,
1561.788,662.00875,
1558.878,639.79553,
1555.967,623.08968,
1553.057,608.25443,
1550.146,606.29135,
1547.235,592.25553,
1544.325,585.46479,
1541.414,582.35426,
1538.504,575.34739,
1535.593,572.42734,
1532.683,569.45621,
1529.772,563.20008,
1526.861,552.75404,
1523.951,554.82941,
1521.040,561.5513,
1518.130,570.93973,
1515.219,626.45425,
1512.309,638.00558,
1509.398,594.58983,
1506.487,591.75315,
1503.577,575.81586,
1500.666,576.1365,
1497.756,562.723,
1494.845,613.85417,
1491.934,577.28996,
1489.024,551.30265,
1486.113,575.40982,
1483.203,537.40745,
1480.292,511.16221,
1477.382,565.56887,
1474.471,548.67984,
1471.560,508.17136,
1468.650,474.51024,
1465.739,488.07314,
1462.829,525.84451,
1459.918,534.64013,
1457.008,542.59057,
1454.097,537.88868,
1451.186,535.08873,
1448.276,553.25768,
1445.365,535.51718,
1442.455,510.15586,
1439.544,474.24607,
1436.633,497.18931,
1433.723,454.2202,
1430.812,519.53311,
1427.902,471.2848,
1424.991,467.49375,
1422.081,471.96239,
1419.170,481.0156,
1416.259,505.05677,
1413.349,502.06735,
1410.438,476.28227,
1407.528,458.6501,
1404.617,467.29182,
1401.707,464.71631,
1398.796,433.60582,
1395.885,410.78839,
1392.975,412.43754,
1390.064,423.20428,
1387.154,430.82267,
1384.243,388.2719,
1381.332,394.60837,
1378.422,372.27839,
1375.511,370.40483,
1372.601,384.19856,
1369.690,453.09557,
1366.780,442.99005,
