,PLFB70~1,
Wavenumbers [1/cm],Intensity,
275.313,1413.3375,
272.402,1412.8309,
269.492,1394.5557,
266.581,1346.5776,
263.670,1239.2413,
260.760,1301.7566,
257.849,1413.426,
254.939,1488.282,
252.028,1440.7524,
249.117,1425.4478,
246.207,1439.0994,
243.296,1477.1653,
240.386,1526.3064,
237.475,1560.2389,
234.565,1571.8787,
231.654,1544.1241,
228.743,1533.6471,
225.833,1498.5408,
222.922,1424.1776,
220.012,1379.7357,
217.101,1383.8972,
214.191,1392.5405,
211.280,1356.8949,
208.369,1334.7384,
205.459,1315.2687,
202.548,1304.3865,
199.638,1328.3329,
196.727,1307.8965,
193.816,1307.0103,
190.906,1345.4058,
187.995,1264.315,
185.085,1245.7071,
182.174,1245.8682,
179.264,1207.5616,
176.353,1228.2404,
173.442,1249.1386,
170.532,1252.0932,
167.621,1173.5069,
164.711,1160.6591,
161.800,1108.5292,
158.890,933.6354,
155.979,905.39336,
153.068,859.11818,
150.158,785.43929,
147.247,674.87465,
144.337,568.83466,
141.426,455.05052,
138.516,326.72699,
135.605,233.92543,
132.694,167.43057,
129.784,117.6579,
126.873,63.308032,
123.963,43.144878,
121.052,28.601191,
118.141,9.3258371,
115.231,16.355704,
112.320,14.166369,
109.410,7.9317763,
106.499,11.492552,
103.589,8.3282187,
100.678,4.4351349,
97.767,2.3023222,
94.857,6.4079343,
91.946,8.6531109,
89.036,8.7984084,
86.125,5.9615873,
83.215,5.7809204,
80.304,5.0528366,
77.393,1.5119869,
74.483,3.2154049,
71.572,3.1629437,
68.662,1.1807325,
65.751,0.47428142,
62.840,0.73170198,
59.930,1.9991448,
57.019,4.8194727,
54.109,1.0698741,
51.198,-0.5435629,
48.288,2.2216878,
45.377,-1.2952025,
42.466,-2.75,
39.556,-2.2895257,
36.645,0.51923517,
33.735,-1.3462423,
30.824,-3.529113,
27.914,-2.8279378,
25.003,-5.2405499,
22.092,-4.8125727,
19.182,-0.58981996,
16.271,4.306611,
13.361,47.552882,
10.450,97.639563,
7.539,59.232218,
4.629,-162.44324,
1.718,-457.82295,
-1.192,-774.32657,
-4.103,-633.66449,
-7.013,-359.57043,
-9.924,0.25,
