,PL86BB~1,
Wavenumbers [1/cm],Intensity,
819.591,1808.2203,
816.680,1788.6442,
813.770,1771.9715,
810.859,1759.9114,
807.949,1746.7091,
805.038,1727.5763,
802.127,1725.1069,
799.217,1683.8785,
796.306,1677.2534,
793.396,1691.0507,
790.485,1693.5566,
787.574,1656.8367,
784.664,1708.5037,
781.753,1727.2688,
778.843,1739.2262,
775.932,1761.0723,
773.022,1782.9848,
770.111,1719.2137,
767.200,1704.9779,
764.290,1724.4122,
761.379,1729.059,
758.469,1715.8974,
755.558,1735.1181,
752.648,1743.2642,
749.737,1710.93,
746.826,1685.8817,
743.916,1672.2905,
741.005,1655.9492,
738.095,1638.8998,
735.184,1541.7721,
732.274,1510.7117,
729.363,1532.0054,
726.452,1571.8151,
723.542,1626.8538,
720.631,1639.814,
717.721,1672.0901,
714.810,1698.8238,
711.899,1710.073,
708.989,1723.7908,
706.078,1733.4906,
703.168,1728.5883,
700.257,1729.2384,
697.347,1741.6571,
694.436,1758.0021,
691.525,1725.8499,
688.615,1741.5158,
685.704,1757.0335,
682.794,1760.8112,
679.883,1763.4785,
676.973,1754.6634,
674.062,1782.2268,
671.151,1793.615,
668.241,1792.593,
665.330,1805.4673,
662.420,1691.2487,
659.509,1706.6058,
656.598,1709.834,
653.688,1695.457,
650.777,1730.794,
647.867,1728.405,
644.956,1695.6792,
642.046,1631.0984,
639.135,1573.7441,
636.224,1596.3206,
633.314,1685.2417,
630.403,1725.0201,
627.493,1733.4183,
624.582,1721.8716,
621.672,1694.9438,
618.761,1727.3123,
615.850,1758.2615,
612.940,1809.0285,
610.029,1866.1945,
607.119,1814.0789,
604.208,1838.6956,
601.297,1874.3053,
598.387,1872.938,
595.476,1811.2464,
592.566,1815.1817,
589.655,1837.9033,
586.745,1856.8185,
583.834,1868.2904,
580.923,1876.9319,
578.013,1886.3487,
575.102,1861.9163,
572.192,1841.875,
569.281,1844.1246,
566.371,1856.6466,
563.460,1851.5258,
560.549,1881.5227,
557.639,1929.0346,
554.728,1965.959,
551.818,1983.1259,
548.907,1968.5926,
545.996,1937.4355,
543.086,1905.1974,
540.175,1897.4109,
537.265,1905.5664,
534.354,1901.3496,
531.444,1894.9896,
528.533,1899.1442,
525.622,1916.991,
522.712,1914.8075,
519.801,1899.0367,
516.891,1879.875,
513.980,1879.875,
511.070,1893.2576,
508.159,1905.0834,
505.248,1900.8591,
502.338,1868.7335,
499.427,1898.0631,
496.517,1900.7841,
493.606,1915.7185,
490.695,1950.2004,
487.785,1930.9556,
484.874,1935.6297,
481.964,1934.4764,
479.053,1921.3593,
476.143,1898.3204,
473.232,1917.7377,
470.321,1924.4153,
467.411,1924.6478,
464.500,1928.4787,
461.590,1873.3454,
458.679,1892.5436,
455.769,1933.4776,
452.858,1963.1815,
449.947,1985.3355,
447.037,1948.6153,
444.126,1954.4083,
441.216,1998.6305,
438.305,1933.8663,
435.395,1956.3456,
432.484,1974.9588,
429.573,1951.4272,
426.663,1838.1662,
423.752,1643.3615,
420.842,1349.146,
417.931,1058.4608,
415.020,930.29825,
412.110,1432.8829,
409.199,1782.2,
406.289,1940.0841,
403.378,1900.5881,
400.468,1815.9167,
397.557,1812.0117,
394.646,1876.1623,
391.736,1990.368,
388.825,1974.5291,
385.915,1985.3086,
383.004,1993.7352,
380.094,1983.2551,
377.183,2029.9087,
374.272,2034.7333,
371.362,2049.6552,
368.451,2100.0969,
365.541,2070.826,
362.630,2059.5976,
359.719,2065.4581,
356.809,2084.697,
353.898,2065.2282,
350.988,2092.4242,
348.077,2108.8395,
345.167,2080.0965,
342.256,2044.9842,
339.345,2072.6067,
336.435,2105.3198,
333.524,2104.1569,
330.614,2113.0987,
327.703,2148.2195,
324.793,2190.7334,
321.882,2224.8894,
318.971,2230.837,
316.061,2235.3166,
313.150,2270.4392,
310.240,2375.0775,
307.329,2384.5921,
304.418,2400.5536,
301.508,2421.7981,
298.597,2440.3085,
295.687,2487.9273,
292.776,2543.6252,
289.866,2621.079,
286.955,2764.3917,
284.044,2875.3224,
281.134,3004.1543,
278.223,3133.875,
275.313,3133.875,
272.402,3232.6285,
269.492,3297.8548,
266.581,3280.6709,
263.670,3221.8565,
260.760,3267.0386,
257.849,3345.4317,
254.939,3407.0778,
252.028,3451.3057,
249.117,3458.7385,
246.207,3453.3679,
243.296,3474.597,
240.386,3454.6733,
237.475,3454.7848,
234.565,3465.7076,
231.654,3413.8503,
228.743,3370.6544,
225.833,3327.9714,
222.922,3280.6283,
220.012,3189.5589,
217.101,3141.7185,
214.191,3104.2974,
211.280,3042.463,
208.369,2947.0452,
205.459,2890.099,
202.548,2878.6466,
199.638,2923.6369,
196.727,2861.4242,
193.816,2833.5589,
190.906,2886.9134,
187.995,2773.9656,
185.085,2769.8663,
182.174,2799.4726,
179.264,2764.7798,
176.353,2768.5643,
173.442,2805.1426,
170.532,2848.0978,
167.621,2729.8578,
164.711,2667.9176,
161.800,2567.6372,
158.890,2353.1583,
