,PL4EBD~1,
Raman shift [1/cm],Intensity,
778.843,501.83327,
775.932,487.42136,
773.022,482.92893,
770.111,507.45627,
767.200,481.71775,
764.290,473.70288,
761.379,466.64152,
758.469,462.44934,
755.558,488.88504,
752.648,447.34026,
749.737,470.45888,
746.826,475.93569,
743.916,436.87785,
741.005,362.61395,
738.095,304.97069,
735.184,191.5811,
732.274,165.42782,
729.363,210.72197,
726.452,290.71279,
723.542,399.1715,
720.631,438.76472,
717.721,467.45606,
714.810,484.55111,
711.899,491.0656,
708.989,495.10022,
706.078,492.72109,
703.168,462.37117,
700.257,447.25072,
697.347,455.73342,
694.436,465.19047,
691.525,467.60188,
688.615,470.64064,
685.704,475.14686,
682.794,470.69956,
679.883,443.77378,
676.973,458.19845,
674.062,453.46802,
671.151,464.02822,
668.241,480.02777,
665.330,470.76787,
662.420,484.34631,
659.509,457.91817,
656.598,453.67475,
653.688,474.49581,
650.777,488.0719,
647.867,457.01512,
644.956,466.84205,
642.046,469.66223,
639.135,460.38265,
636.224,465.09317,
633.314,458.74166,
630.403,477.22616,
627.493,484.59573,
624.582,477.833,
621.672,494.46488,
618.761,484.48585,
615.850,470.10524,
612.940,473.76178,
610.029,496.54673,
607.119,487.07116,
604.208,465.53461,
601.297,464.60277,
598.387,481.87049,
595.476,505.08509,
592.566,494.06614,
589.655,503.78702,
586.745,496.67197,
583.834,473.85498,
580.923,455.00179,
578.013,434.5987,
575.102,416.50606,
572.192,413.55612,
569.281,429.62419,
566.371,454.66816,
563.460,464.17968,
560.549,474.43418,
557.639,475.41092,
554.728,458.89877,
551.818,486.99015,
548.907,483.37439,
545.996,476.73621,
543.086,477.80263,
540.175,485.58908,
537.265,509.30194,
534.354,502.57259,
531.444,487.68232,
528.533,489.56646,
525.622,495.77404,
522.712,491.66422,
519.801,493.08944,
516.891,501.43801,
513.980,502.9866,
511.070,524.25542,
508.159,540.2885,
505.248,546.87319,
502.338,542.78612,
499.427,531.20864,
496.517,555.84214,
493.606,555.58952,
490.695,513.44595,
487.785,515.75533,
484.874,532.92682,
481.964,545.03195,
479.053,539.01281,
476.143,496.77486,
473.232,548.79968,
470.321,552.12167,
467.411,535.6576,
464.500,542.62077,
461.590,522.71153,
458.679,542.43855,
455.769,536.65961,
452.858,482.3064,
449.947,512.86365,
447.037,528.83317,
444.126,533.27652,
441.216,530.38958,
438.305,531.91344,
435.395,534.74755,
432.484,524.87269,
429.573,514.80507,
426.663,539.12957,
423.752,494.39792,
420.842,438.96018,
417.931,417.1636,
415.020,487.6909,
412.110,508.41533,
409.199,512.19102,
406.289,518.22624,
403.378,546.12756,
400.468,546.88356,
397.557,499.82324,
394.646,453.77827,
391.736,449.20749,
388.825,420.54671,
385.915,416.38255,
383.004,417.26957,
380.094,413.54163,
377.183,480.51202,
374.272,523.55012,
371.362,537.35547,
368.451,523.58693,
365.541,564.11587,
362.630,576.76372,
359.719,579.60484,
356.809,584.39365,
353.898,605.36,
350.988,609.49754,
348.077,594.47579,
345.167,561.5791,
342.256,570.54392,
339.345,573.125,
336.435,581.45277,
333.524,602.79617,
330.614,592.36399,
327.703,589.63841,
324.793,589.35163,
321.882,587.13401,
318.971,590.85123,
316.061,590.66006,
313.150,590.04881,
310.240,593.01727,
307.329,608.84701,
304.418,599.16664,
301.508,572.83883,
298.597,545.4434,
295.687,532.28915,
292.776,523.79165,
289.866,537.80786,
286.955,626.45492,
284.044,658.73248,
281.134,712.7081,
278.223,787.71174,
275.313,805.39627,
272.402,849.20732,
269.492,881.92723,
266.581,887.86532,
263.670,856.25257,
260.760,854.43837,
257.849,874.21299,
254.939,911.641,
252.028,967.86106,
249.117,962.62901,
246.207,914.26744,
243.296,849.11616,
240.386,923.09597,
237.475,940.00029,
234.565,894.44391,
