,PL6E7A~1,
Raman shift [1/cm],Intensity,
1328.942,1643.6591,
1326.032,1676.6842,
1323.121,1740.9293,
1320.210,1764.2046,
1317.300,1723.9685,
1314.389,1736.5008,
1311.479,1803.3991,
1308.568,1852.5243,
1305.657,1884.1799,
1302.747,1915.2086,
1299.836,1968.7891,
1296.926,2007.2079,
1294.015,2078.9151,
1291.105,2172.5708,
1288.194,2262.3531,
1285.283,2322.6872,
1282.373,2383.8045,
1279.462,2424.1492,
1276.552,2468.3948,
1273.641,2511.5691,
1270.731,2534.4004,
1267.820,2555.2416,
1264.909,2510.5123,
1261.999,2508.2745,
1259.088,2519.2199,
1256.178,2483.0474,
1253.267,2393.2507,
1250.356,2358.3934,
1247.446,2279.3607,
1244.535,2179.7992,
1241.625,2098.7714,
1238.714,2038.3546,
1235.804,2005.2294,
1232.893,1970.1369,
1229.982,1913.6979,
1227.072,1849.4207,
1224.161,1816.2979,
1221.251,1757.2703,
1218.340,1771.9134,
1215.430,1740.8774,
1212.519,1684.5757,
1209.608,1691.4532,
1206.698,1734.0025,
1203.787,1715.0056,
1200.877,1706.9367,
1197.966,1740.2056,
1195.055,1790.5102,
1192.145,1854.4744,
1189.234,1885.2021,
1186.324,1937.1521,
1183.413,1963.3928,
1180.503,1956.2946,
1177.592,1954.8444,
1174.681,1900.2277,
1171.771,1888.5453,
1168.860,1874.2559,
1165.950,1867.231,
1163.039,1851.9069,
1160.129,1843.5156,
1157.218,1831.7795,
1154.307,1820.504,
1151.397,1809.9692,
1148.486,1781.1257,
1145.576,1775.1018,
1142.665,1734.2578,
1139.754,1767.4883,
1136.844,1744.3614,
1133.933,1707.4148,
1131.023,1687.0982,
1128.112,1675.7332,
1125.202,1667.4644,
1122.291,1683.1284,
1119.380,1692.0222,
1116.470,1707.0252,
1113.559,1728.9795,
1110.649,1713.9199,
1107.738,1715.1988,
1104.828,1727.9555,
1101.917,1741.8222,
1099.006,1757.1846,
1096.096,1708.3263,
1093.185,1732.0324,
1090.275,1692.6022,
1087.364,1707.5754,
1084.453,1725.6246,
1081.543,1734.3808,
1078.632,1735.4277,
1075.722,1722.7974,
1072.811,1701.9919,
1069.901,1717.7106,
1066.990,1768.1832,
1064.079,1749.9324,
1061.169,1746.3687,
1058.258,1776.0493,
1055.348,1800.1717,
1052.437,1794.4506,
1049.527,1823.7477,
1046.616,1846.3373,
1043.705,1849.6458,
1040.795,1879.8847,
1037.884,1899.9094,
1034.974,1889.0954,
1032.063,1881.3745,
1029.153,1926.4089,
1026.242,1889.2158,
1023.331,1908.707,
1020.421,1926.1199,
1017.510,1928.5133,
1014.600,1951.2508,
1011.689,1985.875,
1008.778,1990.2733,
1005.868,2016.3924,
1002.957,2074.0361,
1000.047,2188.435,
997.136,2249.0187,
994.226,2255.3982,
991.315,2250.3552,
988.404,2255.5791,
985.494,2217.4147,
982.583,2196.8573,
979.673,2196.8016,
976.762,2213.1397,
973.852,2220.3389,
970.941,2214.0967,
968.030,2209.5744,
965.120,2207.9609,
962.209,2228.4219,
959.299,2204.9615,
956.388,2186.5955,
953.477,2181.6971,
950.567,2186.5349,
947.656,2200.3287,
944.746,2226.665,
941.835,2218.1572,
938.925,2230.3521,
936.014,2214.607,
933.103,2190.1095,
930.193,2185.4767,
927.282,2176.0254,
924.372,2104.9944,
921.461,2089.9838,
918.551,2083.8085,
915.640,2070.6764,
912.729,2041.847,
909.819,2001.2086,
906.908,2003.7359,
903.998,2019.7823,
901.087,2036.6051,
898.176,2055.3277,
895.266,2080.8884,
892.355,2109.3462,
889.445,2111.864,
886.534,2163.6371,
883.624,2188.0045,
880.713,2187.73,
877.802,2206.582,
874.892,2245.4988,
871.981,2203.5594,
869.071,2190.1927,
866.160,2196.1545,
863.250,2184.1489,
860.339,2161.2836,
857.428,2150.4664,
854.518,2168.2381,
851.607,2111.6574,
848.697,2104.6263,
845.786,2086.1543,
842.875,2083.9542,
839.965,2107.768,
837.054,2080.0146,
834.144,2092.4458,
831.233,2081.5426,
828.323,2056.0813,
825.412,2042.0264,
822.501,2045.8748,
819.591,2007.0341,
816.680,1986.6442,
813.770,1966.2124,
810.859,1953.2651,
807.949,1941.1579,
805.038,1920.5763,
802.127,1918.1069,
799.217,1930.5466,
796.306,1924.0911,
793.396,1920.9361,
790.485,1927.8221,
787.574,1923.3145,
784.664,1908.5525,
781.753,1925.3335,
778.843,1940.756,
775.932,1944.4059,
773.022,1938.3678,
770.111,1935.0975,
767.200,1914.3196,
764.290,1910.7644,
761.379,1934.1438,
758.469,1952.8541,
755.558,1899.2429,
752.648,1878.0632,
749.737,1888.2364,
746.826,1856.7124,
743.916,1800.1476,
741.005,1755.2939,
738.095,1626.2055,
735.184,1515.057,
732.274,1452.1578,
729.363,1518.9761,
726.452,1712.2701,
723.542,1808.5879,
720.631,1853.631,
717.721,1876.1862,
714.810,1880.4489,
711.899,1877.5087,
708.989,1888.8056,
706.078,1879.2594,
703.168,1865.945,
700.257,1851.8613,
697.347,1844.9182,
694.436,1855.5477,
691.525,1843.4906,
688.615,1830.8124,
685.704,1808.9023,
682.794,1798.8749,
679.883,1834.6587,
676.973,1829.8505,
674.062,1853.1221,
671.151,1847.1501,
668.241,1823.3045,
665.330,1827.0052,
662.420,1808.6344,
659.509,1782.0175,
656.598,1793.5417,
653.688,1823.1145,
650.777,1814.064,
647.867,1819.6383,
644.956,1833.258,
642.046,1844.1918,
639.135,1846.3597,
636.224,1836.9904,
633.314,1860.0146,
630.403,1848.7299,
627.493,1845.7087,
624.582,1856.6967,
621.672,1842.4408,
618.761,1878.3521,
615.850,1884.3651,
612.940,1903.7824,
610.029,1948.8228,
607.119,1942.5058,
604.208,1916.3145,
601.297,1922.3261,
598.387,1924.83,
595.476,1890.9149,
592.566,1901.9339,
589.655,1888.3256,
586.745,1867.7239,
583.834,1842.8721,
580.923,1810.8039,
578.013,1799.0329,
575.102,1857.8225,
572.192,1886.0108,
569.281,1856.2652,
566.371,1869.5698,
563.460,1862.4094,
560.549,1895.9082,
557.639,1931.9208,
554.728,1924.7126,
551.818,1937.978,
548.907,1939.0468,
545.996,1949.5387,
543.086,1966.3651,
540.175,1959.3573,
537.265,1975.5334,
534.354,1970.3361,
531.444,1949.4006,
528.533,1929.1792,
525.622,1989.7031,
522.712,2014.4033,
519.801,2016.5287,
516.891,2017.7348,
513.980,2066.5155,
511.070,2109.6141,
508.159,2150.7085,
505.248,2186.888,
502.338,2213.9202,
499.427,2215.4638,
496.517,2274.1376,
493.606,2323.5859,
490.695,2331.8052,
487.785,2324.1072,
484.874,2324.1674,
481.964,2324.0444,
479.053,2314.7852,
476.143,2280.9949,
473.232,2296.8601,
470.321,2295.6032,
467.411,2285.1022,
464.500,2279.5647,
461.590,2267.3129,
458.679,2290.8394,
455.769,2301.5327,
452.858,2276.2387,
449.947,2270.1273,
447.037,2301.0333,
444.126,2323.3538,
441.216,2333.0186,
438.305,2374.1629,
435.395,2363.4841,
432.484,2358.6258,
429.573,2372.0401,
426.663,2407.0066,
423.752,2407.0853,
420.842,2423.2291,
417.931,2433.317,
415.020,2396.1575,
412.110,2405.1176,
409.199,2445.0608,
406.289,2491.9762,
403.378,2519.7572,
400.468,2484.9814,
397.557,2475.9316,
394.646,2467.6399,
391.736,2439.2472,
388.825,2419.6372,
385.915,2419.7291,
383.004,2436.8678,
380.094,2469.7542,
377.183,2526.1899,
374.272,2584.7547,
371.362,2621.4637,
368.451,2625.2002,
365.541,2663.4775,
362.630,2683.1611,
359.719,2684.0677,
356.809,2668.2375,
353.898,2674.2279,
350.988,2680.2149,
348.077,2668.4833,
345.167,2634.3564,
342.256,2703.0867,
339.345,2739.3494,
336.435,2737.2195,
333.524,2692.3953,
330.614,2645.4504,
327.703,2654.4916,
324.793,2689.7646,
321.882,2726.8299,
318.971,2708.2439,
316.061,2742.4051,
313.150,2781.6417,
310.240,2771.2521,
307.329,2796.6019,
304.418,2831.0405,
301.508,2847.8627,
298.597,2802.6972,
295.687,2835.446,
292.776,2884.5418,
289.866,2959.2346,
286.955,3103.2861,
284.044,3197.8774,
281.134,3286.0501,
278.223,3382.5989,
275.313,3517.4434,
272.402,3571.4347,
269.492,3602.866,
266.581,3638.1795,
263.670,3740.3696,
260.760,3804.8747,
257.849,3831.2292,
254.939,3815.0838,
252.028,3847.448,
249.117,3855.3067,
246.207,3846.8444,
243.296,3835.1318,
240.386,3805.7964,
237.475,3759.7559,
234.565,3689.2839,
231.654,3558.5452,
228.743,3522.2445,
225.833,3456.1153,
222.922,3319.5353,
220.012,3312.2497,
217.101,3241.1748,
214.191,3154.7943,
211.280,3104.5994,
208.369,3113.6585,
205.459,3091.129,
202.548,3047.499,
199.638,3045.322,
196.727,3032.1982,
193.816,3018.6607,
190.906,3008.3671,
187.995,2993.8866,
185.085,3021.502,
182.174,3056.5038,
179.264,3051.4445,
176.353,3072.6615,
173.442,3105.9034,
170.532,3137.8346,
167.621,3094.576,
164.711,3076.5682,
161.800,3043.1036,
158.890,2961.7744,
155.979,2765.471,
153.068,2573.5517,
150.158,2376.7798,
147.247,2117.599,
144.337,1803.3609,
141.426,1452.0017,
138.516,1066.3142,
135.605,775.86627,
132.694,534.96859,
129.784,344.60025,
126.873,225.17357,
123.963,145.6752,
121.052,97.925926,
118.141,82.933984,
115.231,55.873327,
112.320,41.062277,
109.410,35.193224,
106.499,31.632448,
103.589,35.91729,
100.678,35.257431,
97.767,23.171492,
94.857,20.796033,
91.946,14.231448,
