,PLBC2C~1,
Wavenumbers [1/cm],Intensity,
86.125,3.1057936,
83.215,7.5282832,
80.304,7.6796444,
77.393,-4.3592446,
74.483,2.6116195,
71.572,6.0252958,
68.662,4.1265925,
65.751,-2.2314672,
62.840,0.56701983,
59.930,4.6262828,
57.019,0.3957909,
54.109,-1.4443217,
51.198,-0.74195362,
48.288,2.7103629,
45.377,-2.2132836,
42.466,-2.6011226,
39.556,0.32559289,
36.645,3.836544,
33.735,2.1537577,
30.824,-0.69177395,
27.914,-2.0941244,
25.003,-9.0990122,
22.092,-12.604191,
19.182,-10.815226,
16.271,2.4750869,
13.361,27.558525,
10.450,26.385217,
7.539,-138.41721,
4.629,-505.50208,
1.718,-900.7637,
-1.192,-1199.1416,
-4.103,-903.63945,
-7.013,-479.99468,
-9.924,-3.25,
