,PLDF33~1,
Wavenumbers [1/cm],Intensity,
1212.519,1177.0589,
1209.608,1160.0631,
1206.698,1163.2766,
1203.787,1172.4523,
1200.877,1203.1144,
1197.966,1221.0976,
1195.055,1241.6247,
1192.145,1294.5887,
1189.234,1337.6005,
1186.324,1372.7293,
1183.413,1378.0761,
1180.503,1394.0275,
1177.592,1443.3836,
1174.681,1399.6781,
1171.771,1362.3612,
1168.860,1334.6755,
1165.950,1344.0943,
1163.039,1326.0479,
1160.129,1326.4377,
1157.218,1342.134,
1154.307,1373.1484,
1151.397,1413.4315,
1148.486,1426.4496,
1145.576,1428.576,
1142.665,1418.8089,
1139.754,1397.6593,
1136.844,1371.9909,
1133.933,1358.8945,
1131.023,1341.8371,
1128.112,1338.8553,
1125.202,1349.4397,
1122.291,1312.3814,
1119.380,1329.2772,
1116.470,1357.5181,
1113.559,1363.3197,
1110.649,1322.0899,
1107.738,1310.1805,
1104.828,1313.1746,
1101.917,1300.2661,
1099.006,1297.7627,
1096.096,1337.2799,
1093.185,1309.1838,
1090.275,1320.7576,
1087.364,1317.8249,
1084.453,1321.1871,
1081.543,1315.9209,
1078.632,1314.909,
1075.722,1342.8806,
1072.811,1347.7733,
1069.901,1302.3637,
1066.990,1355.5832,
1064.079,1371.0415,
1061.169,1343.8326,
1058.258,1346.4091,
1055.348,1380.1181,
1052.437,1377.0161,
1049.527,1372.5035,
1046.616,1385.5359,
1043.705,1388.5415,
1040.795,1380.6994,
1037.884,1381.5631,
1034.974,1375.0825,
1032.063,1355.4769,
1029.153,1359.1811,
1026.242,1377.3452,
1023.331,1381.3331,
1020.421,1398.7304,
1017.510,1429.5316,
1014.600,1450.1147,
1011.689,1464.6879,
1008.778,1494.8797,
1005.868,1500.1699,
1002.957,1519.0977,
1000.047,1533.648,
997.136,1557.3817,
994.226,1564.3078,
991.315,1551.7376,
988.404,1532.4343,
985.494,1482.9041,
982.583,1478.6213,
979.673,1452.3924,
976.762,1447.6968,
973.852,1439.5077,
970.941,1428.5566,
968.030,1439.555,
965.120,1454.1754,
962.209,1495.95,
959.299,1478.9195,
956.388,1476.2795,
953.477,1493.5088,
950.567,1510.7843,
947.656,1514.6712,
944.746,1527.4145,
941.835,1521.5215,
938.925,1508.8131,
936.014,1487.8252,
933.103,1469.8222,
930.193,1467.9951,
927.282,1481.3419,
924.372,1432.2967,
921.461,1428.9456,
918.551,1422.4479,
915.640,1405.9515,
912.729,1407.1014,
909.819,1452.7793,
906.908,1466.2581,
903.998,1448.7066,
901.087,1460.5492,
898.176,1474.2948,
895.266,1474.239,
892.355,1467.7694,
889.445,1487.9118,
886.534,1509.7067,
883.624,1489.778,
880.713,1483.6139,
877.802,1488.3052,
874.892,1487.1838,
871.981,1485.0211,
869.071,1358.8737,
866.160,1305.2619,
863.250,1356.0011,
860.339,1429.319,
857.428,1462.2697,
854.518,1491.7001,
851.607,1446.7684,
848.697,1436.9365,
845.786,1414.7224,
842.875,1414.2252,
839.965,1454.4904,
837.054,1475.6512,
834.144,1533.6639,
831.233,1542.3335,
828.323,1535.5597,
825.412,1527.4243,
822.501,1522.4468,
819.591,1524.926,
816.680,1501.7628,
813.770,1494.1205,
810.859,1471.7917,
807.949,1451.7878,
805.038,1467.1991,
802.127,1468.8454,
799.217,1471.9816,
796.306,1444.0538,
793.396,1444.1911,
790.485,1474.5778,
787.574,1458.4048,
784.664,1469.0662,
781.753,1460.9352,
778.843,1464.8215,
775.932,1476.1605,
773.022,1478.2105,
770.111,1460.2237,
767.200,1478.7941,
764.290,1485.5779,
761.379,1481.6675,
758.469,1480.2317,
755.558,1499.8298,
752.648,1494.1276,
749.737,1490.3888,
746.826,1482.0067,
743.916,1481.2598,
741.005,1501.6507,
738.095,1516.2645,
735.184,1511.5645,
732.274,1482.1792,
729.363,1432.1103,
726.452,1388.0165,
723.542,1426.8674,
720.631,1453.4652,
717.721,1480.4767,
714.810,1496.142,
711.899,1488.2178,
708.989,1446.2577,
706.078,1492.4756,
703.168,1506.4289,
700.257,1496.448,
697.347,1483.9126,
694.436,1497.3672,
691.525,1474.0568,
688.615,1457.6796,
685.704,1462.224,
682.794,1479.8085,
679.883,1491.0905,
676.973,1537.57,
674.062,1530.4099,
671.151,1518.37,
668.241,1512.8558,
665.330,1505.5462,
662.420,1495.9614,
659.509,1459.7137,
656.598,1463.8012,
653.688,1504.6618,
650.777,1535.8389,
647.867,1501.5968,
644.956,1497.7149,
642.046,1497.927,
639.135,1494.1616,
636.224,1491.0915,
633.314,1509.3521,
630.403,1528.1891,
627.493,1520.7166,
624.582,1487.3497,
621.672,1462.0059,
618.761,1480.7584,
615.850,1531.079,
612.940,1573.1476,
610.029,1586.5783,
607.119,1596.0538,
604.208,1592.0299,
601.297,1600.4689,
598.387,1597.8149,
595.476,1564.1829,
592.566,1555.5252,
589.655,1588.9861,
586.745,1616.2454,
583.834,1626.7804,
580.923,1625.9763,
578.013,1622.0526,
575.102,1618.1321,
572.192,1611.7126,
569.281,1602.1722,
566.371,1591.9981,
563.460,1588.1781,
560.549,1606.9784,
557.639,1636.594,
554.728,1659.3595,
551.818,1649.2154,
548.907,1647.6094,
545.996,1642.9457,
543.086,1631.9803,
540.175,1617.9646,
537.265,1624.9671,
534.354,1625.9932,
531.444,1615.6403,
528.533,1597.1454,
525.622,1641.3744,
522.712,1609.7408,
519.801,1581.0906,
516.891,1579.7216,
513.980,1588.2388,
511.070,1596.7478,
508.159,1594.2692,
505.248,1591.5051,
502.338,1602.7229,
499.427,1627.4216,
496.517,1636.8283,
493.606,1638.327,
490.695,1637.214,
487.785,1638.7536,
484.874,1611.8586,
481.964,1587.8639,
479.053,1587.8701,
476.143,1641.6274,
473.232,1651.4746,
470.321,1633.0772,
467.411,1608.2141,
464.500,1599.7285,
461.590,1589.0081,
458.679,1611.3136,
455.769,1619.0824,
452.858,1593.9428,
449.947,1622.2083,
447.037,1620.1121,
444.126,1616.1091,
441.216,1622.6301,
438.305,1649.2977,
435.395,1648.4105,
432.484,1642.2492,
429.573,1639.485,
426.663,1650.127,
423.752,1609.1549,
420.842,1598.7637,
417.931,1548.9616,
415.020,1341.1714,
412.110,1497.8813,
409.199,1606.4107,
406.289,1662.6575,
403.378,1679.918,
400.468,1655.7262,
397.557,1661.882,
394.646,1680.1176,
391.736,1694.2173,
388.825,1701.0054,
385.915,1703,
383.004,1689.5795,
380.094,1656.4223,
377.183,1664.6995,
374.272,1697.9385,
371.362,1717.8191,
368.451,1704.5501,
365.541,1730.0683,
362.630,1734.2688,
359.719,1725.4887,
356.809,1708.4142,
353.898,1682.2062,
350.988,1704.8368,
348.077,1712.5755,
345.167,1671.1352,
342.256,1693.5473,
339.345,1731.3545,
336.435,1750.6722,
333.524,1728.8826,
330.614,1725.1568,
327.703,1766.6126,
324.793,1805.9688,
321.882,1803.0487,
318.971,1823.1216,
316.061,1834.3948,
313.150,1844.5428,
310.240,1862.3536,
307.329,1891.5855,
304.418,1929.9012,
301.508,1966.1354,
298.597,1981.6841,
295.687,2021.6027,
292.776,2071.6668,
289.866,2130.1678,
286.955,2197.3919,
284.044,2300.6099,
281.134,2386.8448,
278.223,2440.2455,
275.313,2435.0875,
272.402,2508.3556,
269.492,2569.9213,
266.581,2584.5827,
263.670,2550.7644,
260.760,2600.0293,
257.849,2669.9109,
254.939,2715.4116,
252.028,2721.0669,
249.117,2702.4428,
246.207,2672.3177,
243.296,2650.3566,
240.386,2667.5898,
237.475,2653.7962,
234.565,2607.2927,
231.654,2558.357,
228.743,2505.9981,
225.833,2435.3635,
222.922,2345.4417,
220.012,2354.9129,
217.101,2325.6128,
214.191,2285.0061,
211.280,2261.7273,
208.369,2214.9215,
205.459,2179.0262,
202.548,2161.5098,
199.638,2181.8279,
196.727,2132.9881,
193.816,2089.1836,
190.906,2077.5429,
187.995,2064.5105,
185.085,2047.7058,
182.174,2028.5153,
179.264,2008.2778,
176.353,2001.5145,
173.442,2005.526,
170.532,2011.6235,
167.621,1965.4811,
164.711,1930.4006,
161.800,1856.6691,
158.890,1700.4882,
155.979,1621.1053,
153.068,1504.4534,
150.158,1351.8068,
147.247,1180.2162,
144.337,986.97627,
141.426,780.71821,
138.516,563.50016,
135.605,402.4209,
132.694,281.48021,
129.784,192.6205,
126.873,123.96804,
123.963,88.375335,
121.052,60.95172,
118.141,33.109542,
115.231,31.578859,
112.320,29.305456,
109.410,26.181868,
106.499,21.908937,
103.589,21,
100.678,19.098648,
97.767,14.122085,
94.857,9.1490767,
91.946,13.449774,
89.036,21.080736,
86.125,9.0242459,
83.215,8.6546018,
80.304,9.0845385,
77.393,3.419179,
74.483,5.6205398,
71.572,6.2752958,
68.662,5.3463375,
65.751,8.8785929,
62.840,9.036596,
59.930,7.8127138,
57.019,7.1076318,
54.109,4.6113566,
