,PLBFCC~1,
Raman shift [1/cm],Intensity,
592.566,2356.8067,
589.655,2356.2042,
586.745,2325.1222,
583.834,2277.8146,
580.923,2250.4574,
578.013,2243.3947,
575.102,2266.7379,
572.192,2267.9931,
569.281,2250.2788,
566.371,2326.9759,
563.460,2332.3836,
560.549,2337.8346,
557.639,2336.1745,
554.728,2316.5548,
551.818,2364.9344,
548.907,2360.2647,
545.996,2366.8292,
543.086,2394.0099,
540.175,2401.0177,
537.265,2410.1914,
534.354,2451.6285,
531.444,2476.4031,
528.533,2444.5969,
525.622,2474.0829,
522.712,2498.0958,
519.801,2536.9954,
516.891,2581.5,
513.980,2581.5,
511.070,2630.1,
508.159,2689.1829,
505.248,2734.254,
502.338,2746.1373,
499.427,2870.4023,
496.517,2877.4798,
493.606,2885.0923,
490.695,2942.4956,
487.785,2964.0497,
484.874,2935.1888,
481.964,2913.3472,
479.053,2908.9709,
476.143,2915.1146,
473.232,2858.6671,
470.321,2867.6409,
467.411,2890.6229,
464.500,2861.4612,
461.590,2859.9297,
458.679,2962.9554,
455.769,3015.0484,
452.858,2943.5456,
449.947,2934.3784,
447.037,2934.3203,
444.126,2939.9364,
441.216,2948.5583,
438.305,2954.6538,
435.395,2954.8444,
432.484,2954.5,
429.573,2958.2275,
426.663,2974.1905,
423.752,2992.2381,
420.842,3027.8145,
417.931,3059.7762,
415.020,3053.7094,
412.110,3033.0148,
409.199,3099.8275,
406.289,3179.7138,
403.378,3186.4898,
400.468,3183.4658,
397.557,3174.2736,
394.646,3158.689,
391.736,3137.4276,
388.825,3135.1649,
385.915,3152.0624,
383.004,3176.6374,
380.094,3199.8071,
377.183,3205.8269,
374.272,3278.0615,
371.362,3341.3263,
368.451,3352.7796,
365.541,3390.3064,
362.630,3391.7602,
359.719,3411.1371,
356.809,3472.4611,
353.898,3438.7652,
350.988,3409.428,
348.077,3400.341,
345.167,3419.1594,
342.256,3412.4358,
339.345,3444.5117,
336.435,3441.1889,
333.524,3355.6744,
330.614,3392.9322,
327.703,3415.2815,
324.793,3430.1402,
321.882,3443.5595,
318.971,3468.0931,
316.061,3501.8923,
313.150,3534.2738,
310.240,3552.8267,
307.329,3596.3782,
304.418,3619.4274,
301.508,3636.5431,
298.597,3674.3044,
295.687,3838.6832,
292.776,3917.1667,
289.866,3934.9134,
286.955,4008.0472,
284.044,4116.5374,
281.134,4220.5266,
278.223,4317.8527,
275.313,4436.4864,
272.402,4539.9219,
269.492,4632.9381,
266.581,4719.1724,
263.670,4826.5087,
260.760,4892.4997,
257.849,4925.5265,
254.939,4928.462,
252.028,4945.1484,
249.117,4988.503,
246.207,5021.7036,
243.296,4979.9775,
240.386,4936.3205,
237.475,4890.1437,
234.565,4835.1207,
231.654,4743.8228,
228.743,4694.0055,
225.833,4605.6424,
222.922,4454.6167,
220.012,4435.6742,
217.101,4384.8449,
214.191,4326.4792,
211.280,4286.4687,
208.369,4245.1496,
205.459,4207.336,
202.548,4189.5307,
199.638,4253.3878,
196.727,4262.4665,
193.816,4258.2959,
190.906,4253.9763,
187.995,4210.5348,
185.085,4234.747,
182.174,4278.3041,
179.264,4277.5814,
176.353,4306.3351,
173.442,4324.6753,
170.532,4332.7844,
167.621,4369.5541,
164.711,4318.5341,
161.800,4196.652,
158.890,4000.8861,
155.979,3816.8985,
153.068,3547.612,
150.158,3201.3189,
147.247,2806.4452,
144.337,2354.9192,
141.426,1880.1467,
138.516,1394.0944,
135.605,1016.8302,
132.694,696.51681,
129.784,442.04416,
126.873,301.16358,
123.963,199.65902,
121.052,133.73501,
118.141,106.60673,
115.231,79.498327,
112.320,61.298189,
109.410,49.863737,
106.499,41.317874,
103.589,43.982036,
100.678,42.610809,
97.767,29.813933,
94.857,28.114022,
91.946,22.66267,
89.036,16.628979,
86.125,23.721032,
83.215,20.721717,
80.304,15.542269,
77.393,12.70959,
74.483,21.016754,
71.572,21.151775,
68.662,13.084395,
65.751,8.8456885,
62.840,13.280424,
59.930,19.125428,
57.019,17.715264,
54.109,14.514196,
51.198,10.690344,
48.288,6.5226498,
45.377,9.336162,
42.466,10.087781,
39.556,10.075593,
36.645,13.586544,
33.735,13.980752,
30.824,11.512017,
27.914,5.20144,
25.003,7.6131874,
22.092,10.791618,
19.182,13.568649,
16.271,15.667119,
13.361,42.208937,
10.450,109.2301,
7.539,293.58535,
4.629,350.79385,
1.718,304.76283,
-1.192,126.29383,
-4.103,70.078178,
-7.013,33.906926,
-9.924,0.5,
