,PL51DF~1,
Wavenumbers [1/cm],Intensity,
738.095,1172.08,
735.184,1200.0163,
732.274,1133.4262,
729.363,1046.8175,
726.452,1002.0764,
723.542,985.88858,
720.631,1011.7589,
717.721,1006.2517,
714.810,1010.4658,
711.899,1033.4356,
708.989,1031.0149,
706.078,1058.2443,
703.168,1049.2123,
700.257,1022.9097,
697.347,1010.6511,
694.436,1047.7561,
691.525,1001.9393,
688.615,1022.8166,
685.704,1045.3169,
682.794,1049.3617,
679.883,1044.1442,
676.973,1047.3497,
674.062,1050.5523,
671.151,1051.5617,
668.241,1056.2415,
665.330,1071.6764,
662.420,1043.7208,
659.509,1053.2383,
656.598,1078.8772,
653.688,1095.479,
650.777,1077,
647.867,1077,
644.956,1087.5256,
642.046,1060.8321,
639.135,1016.3057,
636.224,1025.0716,
633.314,1039.3625,
630.403,1061.3275,
627.493,1071.6956,
624.582,1066.5874,
621.672,1060.2515,
618.761,1080.5184,
615.850,1100.7747,
612.940,1128.0521,
610.029,1156.7641,
607.119,1143.3404,
604.208,1154.7802,
601.297,1167.4778,
598.387,1161.5283,
595.476,1126.2173,
592.566,1107.3277,
589.655,1137.6903,
586.745,1148.1886,
583.834,1146.3442,
580.923,1176.1516,
578.013,1201.2631,
575.102,1183.3357,
572.192,1170.7166,
569.281,1180.1564,
566.371,1175.4607,
563.460,1166.5344,
560.549,1170.7965,
557.639,1189.474,
554.728,1217.3102,
551.818,1206.3858,
548.907,1183.8894,
545.996,1186.9404,
543.086,1202.9408,
540.175,1160.8939,
537.265,1196.3868,
534.354,1186.4172,
531.444,1156.4268,
528.533,1143.3796,
525.622,1162.7782,
522.712,1183.3823,
519.801,1176.8154,
516.891,1150.8781,
513.980,1160.1696,
511.070,1159.5913,
508.159,1171.4167,
505.248,1189.7569,
502.338,1203.887,
499.427,1200.0279,
496.517,1213.7071,
493.606,1231.0569,
490.695,1238.3997,
487.785,1205.2987,
484.874,1216.8018,
481.964,1208.5583,
479.053,1188.0449,
476.143,1204.9401,
473.232,1168.591,
470.321,1174.9228,
467.411,1192.4413,
464.500,1179.1164,
461.590,1183.7108,
458.679,1192.1538,
455.769,1207.767,
452.858,1228.8409,
449.947,1227.3131,
447.037,1200.3025,
444.126,1200.0061,
441.216,1228.3386,
438.305,1224.5289,
435.395,1239.0796,
432.484,1236.9979,
429.573,1213.4149,
426.663,1172.3673,
423.752,1159.9336,
420.842,1133.1657,
417.931,1068.7239,
415.020,937.52795,
412.110,997.38196,
409.199,1121.7334,
406.289,1230.6897,
403.378,1241.9641,
400.468,1231.3802,
397.557,1208.4623,
394.646,1210.2009,
391.736,1264.9276,
388.825,1262.6649,
385.915,1305.1077,
383.004,1319.5854,
380.094,1260.3858,
377.183,1248.3462,
374.272,1269.4251,
371.362,1305.305,
368.451,1337.4865,
365.541,1263.1834,
362.630,1261.5722,
359.719,1263.3855,
356.809,1231.7249,
353.898,1243.7057,
350.988,1256.7648,
348.077,1264.7096,
345.167,1264.5298,
342.256,1274.9887,
339.345,1260.4627,
336.435,1263.3211,
333.524,1309.4028,
330.614,1258.7322,
327.703,1275.8579,
324.793,1311.3825,
321.882,1324.0054,
318.971,1326.2357,
316.061,1321.1402,
313.150,1315.4619,
310.240,1316.9461,
307.329,1377.7441,
304.418,1403.3679,
301.508,1413.6646,
298.597,1446.243,
295.687,1458.4814,
292.776,1493.0002,
289.866,1531.5748,
286.955,1515.3228,
284.044,1530.71,
281.134,1556.9224,
278.223,1578.9343,
275.313,1544.3021,
272.402,1557.3316,
269.492,1603.6853,
266.581,1668.1113,
263.670,1613.7079,
260.760,1622.0296,
257.849,1653.2386,
254.939,1679.6584,
252.028,1677.1046,
249.117,1676.4568,
246.207,1673.78,
243.296,1661.3354,
240.386,1661.959,
237.475,1671.0679,
234.565,1681.2392,
231.654,1663.71,
228.743,1666.329,
225.833,1659.109,
222.922,1630.1314,
220.012,1590.0609,
217.101,1612.8223,
214.191,1645.6288,
211.280,1631.0795,
208.369,1573.4837,
205.459,1553.5858,
202.548,1566.6295,
199.638,1576.063,
196.727,1554.3751,
193.816,1540.0102,
190.906,1544.3335,
187.995,1468.311,
185.085,1479.3556,
182.174,1506.3087,
179.264,1452.1013,
176.353,1456.8932,
173.442,1463,
170.532,1458.0436,
167.621,1415.506,
164.711,1377.7216,
161.800,1320.8218,
158.890,1223.6586,
155.979,1113.5544,
153.068,1029.8862,
150.158,951.37186,
147.247,794.85826,
144.337,660.7402,
141.426,518.50794,
138.516,352.90606,
135.605,246.22452,
132.694,169.09478,
129.784,114.63782,
126.873,71.730025,
123.963,51.049527,
121.052,33.784613,
118.141,13.081455,
115.231,16.552852,
112.320,19.270908,
109.410,20.454579,
106.499,17.605958,
103.589,9.1564373,
100.678,2.4567566,
97.767,1.0348814,
94.857,4.4649452,
91.946,6.8062217,
89.036,7.8871021,
86.125,7.1778968,
83.215,9.1236814,
80.304,7.4085097,
77.393,-3.2140393,
74.483,1.8962146,
71.572,5.7247042,
68.662,6.307325,
65.751,-0.75718577,
62.840,2.2987218,
59.930,6.6889966,
57.019,1.7534227,
54.109,-0.79148254,
51.198,-1.3967814,
48.288,0.016987325,
45.377,2.1271215,
42.466,1.763342,
39.556,-0.11511858,
36.645,-0.81730879,
33.735,2.6347393,
30.824,4.4537912,
27.914,-0.45443553,
25.003,-1,
22.092,-0.35419088,
19.182,1.4347744,
16.271,14.725087,
13.361,69.732041,
10.450,144.85082,
7.539,184.65479,
4.629,3.4434343,
1.718,-276.49402,
-1.192,-604.15195,
-4.103,-597.99411,
-7.013,-394.01127,
-9.924,2,
