,PL367B~1,
Raman shift [1/cm],Intensity,
962.209,1701.1974,
959.299,1709.7085,
956.388,1710.8049,
953.477,1696.917,
950.567,1683.752,
947.656,1708.2364,
944.746,1709.086,
941.835,1739.8979,
938.925,1728.6996,
936.014,1738.8522,
933.103,1735.527,
930.193,1690.1299,
927.282,1672.8876,
924.372,1650.0562,
921.461,1642.7066,
918.551,1635.8966,
915.640,1609.178,
912.729,1596.6416,
909.819,1642.1208,
906.908,1604.2117,
903.998,1618.0323,
901.087,1608.7584,
898.176,1617.8268,
895.266,1633.9032,
892.355,1643.1033,
889.445,1717.7981,
886.534,1722.2994,
883.624,1708.9955,
880.713,1727.1324,
877.802,1735.4924,
874.892,1706.3088,
871.981,1707.0461,
869.071,1703.7044,
866.160,1691.3957,
863.250,1691.8912,
860.339,1713.5918,
857.428,1731.8378,
854.518,1684.1731,
851.607,1685.8373,
848.697,1670.3052,
845.786,1663.644,
842.875,1665.5232,
839.965,1672.0766,
837.054,1690.3669,
834.144,1711.9145,
831.233,1701.4594,
828.323,1673.353,
825.412,1640.2124,
822.501,1619.2953,
819.591,1642.4345,
816.680,1627.9006,
813.770,1616.607,
810.859,1593.1729,
807.949,1573.4323,
805.038,1586.9038,
802.127,1626.4139,
799.217,1611.4902,
796.306,1576.7464,
793.396,1563.3007,
790.485,1573.598,
787.574,1565.0591,
784.664,1589.6625,
781.753,1605.5317,
778.843,1606.2242,
775.932,1598.0386,
773.022,1597.3381,
770.111,1637.3994,
767.200,1615.0017,
764.290,1610.5923,
761.379,1593.8255,
758.469,1569.1474,
755.558,1587.1525,
752.648,1554.5683,
749.737,1540.2915,
746.826,1524.4695,
743.916,1481.5272,
741.005,1391.1858,
738.095,1267.7806,
735.184,1120.1239,
732.274,1048.7186,
729.363,1110.8029,
726.452,1295.0682,
723.542,1455.328,
720.631,1527.5817,
717.721,1558.0091,
714.810,1571.8352,
711.899,1581.125,
708.989,1581.125,
706.078,1586.7341,
703.168,1557.1567,
700.257,1541.6633,
697.347,1548.125,
694.436,1547.7977,
691.525,1535.7406,
688.615,1544.4454,
685.704,1531.6988,
682.794,1509.1675,
