,PLDE83~1,
Wavenumbers [1/cm],Intensity,
1165.950,1702.2857,
1163.039,1682.899,
1160.129,1690.1721,
1157.218,1713.2778,
1154.307,1752.0075,
1151.397,1800.0201,
1148.486,1827.2251,
1145.576,1825.4113,
1142.665,1803.2135,
1139.754,1820.0885,
1136.844,1789.3599,
1133.933,1766.1639,
1131.023,1748.1005,
1128.112,1729.0186,
1125.202,1728.5537,
1122.291,1752.6122,
1119.380,1719.7821,
1116.470,1761.2609,
1113.559,1739.3113,
1110.649,1706.4909,
1107.738,1702.4839,
1104.828,1688.7378,
1101.917,1658.6709,
1099.006,1663.7563,
1096.096,1683.2462,
1093.185,1664.8081,
1090.275,1698.1736,
1087.364,1685.7913,
1084.453,1719.6847,
1081.543,1726.2053,
1078.632,1687.9277,
1075.722,1688.2735,
1072.811,1721.6304,
1069.901,1711.1512,
1066.990,1734.6249,
1064.079,1756.0268,
1061.169,1732.9984,
1058.258,1721.0796,
1055.348,1745.43,
1052.437,1761.0631,
1049.527,1753.2673,
1046.616,1724.5959,
1043.705,1743.7272,
1040.795,1753.5675,
1037.884,1750.3176,
1034.974,1739.4162,
1032.063,1736.2901,
1029.153,1759.102,
1026.242,1765.1567,
1023.331,1744.543,
1020.421,1793.3547,
1017.510,1819.1764,
1014.600,1837.8693,
1011.689,1850.6826,
1008.778,1825.2021,
1005.868,1818.6067,
1002.957,1844.4173,
1000.047,1894.239,
997.136,1953.6625,
994.226,1988.2826,
991.315,1981.8923,
988.404,1939.5939,
985.494,1868.0873,
982.583,1855.239,
979.673,1856.3016,
976.762,1844.4588,
973.852,1835.375,
970.941,1840.7099,
968.030,1851.1206,
965.120,1838.4466,
962.209,1855.4974,
959.299,1858.375,
956.388,1877.4138,
953.477,1887.0316,
950.567,1900.5503,
947.656,1954.3588,
944.746,1908.4828,
941.835,1928.24,
938.925,1964.9614,
936.014,1934.839,
933.103,1897.8493,
930.193,1903.3872,
927.282,1863.0084,
924.372,1856.2435,
921.461,1828.1282,
918.551,1809.661,
915.640,1812.2988,
912.729,1828.4003,
909.819,1838.0405,
906.908,1827.9314,
903.998,1852.0313,
901.087,1864.7401,
898.176,1859.7855,
895.266,1856.4056,
892.355,1870.3174,
889.445,1875.353,
886.534,1901.256,
883.624,1897.6282,
880.713,1895.4164,
877.802,1859.1619,
874.892,1749.3187,
871.981,1576.0151,
869.071,1391.3889,
866.160,1444.24,
863.250,1610.2805,
860.339,1757.8767,
857.428,1823.3665,
854.518,1858.4623,
851.607,1757.7819,
848.697,1650.271,
845.786,1611.4509,
842.875,1666.1568,
839.965,1793.1137,
837.054,1924.4866,
834.144,1934.4317,
831.233,1923.7092,
828.323,1928.7502,
825.412,1933.2918,
822.501,1920.1623,
819.591,1930.0791,
816.680,1948.0032,
813.770,1907.2668,
810.859,1880.375,
807.949,1883.6823,
805.038,1891.0807,
802.127,1880.3801,
799.217,1847.3232,
796.306,1832.402,
793.396,1843.0011,
790.485,1862.0586,
787.574,1853.1882,
784.664,1848.2675,
781.753,1876.2273,
778.843,1878.1229,
775.932,1873.3996,
773.022,1887.4443,
770.111,1862.0994,
767.200,1870.2721,
764.290,1878.5759,
761.379,1867.8019,
758.469,1853.3271,
755.558,1883.3264,
752.648,1881.6972,
749.737,1841.5549,
746.826,1828.3008,
743.916,1820.9007,
741.005,1775.0736,
738.095,1745.8461,
735.184,1670.869,
732.274,1630.8053,
729.363,1650.972,
726.452,1718.0992,
723.542,1755.3313,
720.631,1826.1835,
717.721,1823.3155,
714.810,1843.0623,
711.899,1903.0582,
708.989,1897.4097,
706.078,1890.1633,
703.168,1888.375,
700.257,1883.4241,
697.347,1879.4182,
694.436,1891.4006,
691.525,1929.1795,
688.615,1921.0233,
685.704,1892.3805,
682.794,1876.5026,
679.883,1908.5016,
676.973,1955.7824,
674.062,1934.7471,
671.151,1920.4433,
668.241,1922.7073,
665.330,1915.6733,
662.420,1879.7303,
659.509,1883.8038,
656.598,1908.5505,
653.688,1942.4969,
650.777,1973.3507,
647.867,1884.162,
644.956,1817.3196,
642.046,1757.2801,
639.135,1719.4537,
636.224,1742.8166,
633.314,1830.9438,
630.403,1880.5707,
627.493,1925.4921,
624.582,1954.3087,
621.672,1895.7012,
618.761,1891.0952,
615.850,1910.7615,
612.940,1960.5039,
610.029,2019.1141,
607.119,1987.5289,
604.208,2004.2554,
601.297,2040.7905,
598.387,2043.2915,
595.476,1981.8661,
592.566,2018.8583,
589.655,2037.037,
586.745,2036.8655,
583.834,2034.3038,
580.923,2055.4271,
578.013,2064.0592,
575.102,2042.8579,
572.192,2021.0876,
569.281,2016.3276,
566.371,2032.7627,
563.460,2034.375,
560.549,2049.9679,
557.639,2072.0148,
554.728,2088.1141,
551.818,2099.8188,
548.907,2098.1091,
545.996,2079.0458,
543.086,2056.3947,
540.175,2070.4104,
537.265,2063.4079,
534.354,2087.968,
531.444,2099.4915,
528.533,2060.1408,
525.622,2084.9711,
522.712,2098.8695,
519.801,2086.0448,
516.891,2054.1839,
513.980,2043.3438,
511.070,2022.6533,
508.159,2028.702,
505.248,2048.6312,
502.338,2062.0528,
499.427,2085.2077,
496.517,2079.4962,
493.606,2084.1712,
490.695,2108.2725,
487.785,2085.9485,
484.874,2081.7288,
481.964,2067.2555,
479.053,2042.5947,
476.143,2022.6277,
473.232,2050.8706,
470.321,2044.3717,
467.411,2043.863,
464.500,2098.375,
461.590,2098.375,
458.679,2089.5703,
455.769,2093.0872,
452.858,2116.6931,
449.947,2119.7489,
447.037,2110.0601,
444.126,2114.8356,
441.216,2130.2741,
438.305,2106.6542,
435.395,2113.8652,
432.484,2092.7029,
429.573,2047.5649,
426.663,2014.1187,
423.752,1787.5035,
420.842,1529.6215,
417.931,1315.1044,
415.020,1233.2017,
412.110,1619.5932,
409.199,1920.81,
406.289,2085.3911,
403.378,2082.1035,
400.468,2001.9681,
397.557,1993.3419,
394.646,2037.3869,
391.736,2113.3509,
388.825,2112.5966,
385.915,2102.2633,
383.004,2095.9449,
380.094,2103.5267,
377.183,2126.101,
374.272,2170.3696,
371.362,2200.9034,
368.451,2197.7397,
365.541,2203.744,
362.630,2213.5686,
359.719,2218.0073,
356.809,2210.7439,
353.898,2183.7871,
350.988,2212.1791,
348.077,2241.7942,
345.167,2238.4072,
342.256,2199.5597,
339.345,2190.5007,
336.435,2199.5924,
333.524,2218.469,
330.614,2221.4496,
327.703,2271.1485,
324.793,2335.1626,
321.882,2386.3281,
318.971,2366.9986,
316.061,2361.3516,
313.150,2372.3059,
310.240,2404.2169,
307.329,2453.2557,
304.418,2502.012,
301.508,2536.3904,
298.597,2532.6883,
295.687,2541.1791,
292.776,2579.1252,
289.866,2658.7586,
286.955,2812.4135,
284.044,2948.2249,
281.134,3067.3262,
278.223,3166.6442,
275.313,3230.0137,
272.402,3285.7809,
269.492,3307.1863,
266.581,3284.7475,
263.670,3247.9885,
260.760,3316.2549,
257.849,3425.3293,
254.939,3531.0084,
252.028,3498.3543,
249.117,3461.1631,
246.207,3454.3466,
243.296,3539.2629,
240.386,3513.1134,
237.475,3480.5443,
234.565,3445.7212,
231.654,3365.3791,
228.743,3334.5662,
225.833,3275.8965,
222.922,3164.2199,
220.012,3139.449,
217.101,3101.4413,
214.191,3049.6118,
211.280,2980.5028,
208.369,2935.0062,
205.459,2890.2222,
202.548,2857.6396,
199.638,2888.1169,
196.727,2825.2291,
193.816,2785.5128,
190.906,2806.6008,
187.995,2670.4842,
185.085,2669.7149,
182.174,2711.3849,
179.264,2674.5239,
176.353,2658.841,
173.442,2670.8654,
170.532,2691.446,
167.621,2589.0675,
164.711,2561.375,
161.800,2493.7897,
158.890,2295.8646,
155.979,2162.4422,
153.068,2001.2445,
150.158,1809.5093,
147.247,1586.9441,
144.337,1316.5498,
141.426,1042.976,
138.516,786.32898,
135.605,558.24931,
132.694,384.4263,
129.784,257.51126,
126.873,170.98055,
123.963,115.2473,
121.052,77.309745,
118.141,54.464881,
115.231,41.584734,
112.320,31.291369,
109.410,24.784066,
106.499,26.920531,
103.589,21.772455,
100.678,16.016891,
97.767,12.462204,
94.857,13.760978,
91.946,17.599887,
89.036,21.81051,
86.125,18.264484,
83.215,18.436841,
80.304,15.304644,
77.393,3.2657554,
74.483,7.6160797,
71.572,11.462056,
68.662,12.54379,
