,PLA763~1,
Wavenumbers [1/cm],Intensity,
1585.073,448.48334,
1582.162,465.08669,
1579.252,443.68936,
1576.341,440.27819,
1573.431,428.34421,
1570.520,405.76557,
1567.610,412.54186,
1564.699,403.82446,
1561.788,408.02984,
1558.878,383.88171,
1555.967,359.6437,
1553.057,347.49575,
1550.146,324.20959,
1547.235,304.20076,
1544.325,320.36521,
1541.414,329.85426,
1538.504,346.48231,
1535.593,354.72831,
1532.683,321.58044,
1529.772,312.67478,
1526.861,316.39117,
1523.951,314.62919,
1521.040,327.66332,
1518.130,296.0415,
1515.219,317.1946,
1512.309,325.92003,
1509.398,308.2971,
1506.487,300.68593,
1503.577,319.01477,
1500.666,369.81641,
1497.756,306.63781,
1494.845,315.11458,
1491.934,296.69232,
1489.024,240.86773,
1486.113,315.83389,
1483.203,249.93342,
1480.292,237.48095,
1477.382,303.15135,
1474.471,259.78682,
1471.560,228.81301,
1468.650,230.70774,
1465.739,238.35843,
1462.829,264.15088,
1459.918,266.06273,
1457.008,241.67483,
1454.097,245.05053,
1451.186,257.63709,
1448.276,223.04715,
1445.365,186.91212,
1442.455,196.76869,
1439.544,178.77237,
1436.633,180.47679,
1433.723,169.01471,
1430.812,137.60866,
1427.902,172.0554,
1424.991,179.6375,
1422.081,156.93807,
1419.170,149.69064,
1416.259,169.12658,
1413.349,142.15488,
1410.438,138.8728,
1407.528,153.46235,
1404.617,166.33341,
1401.707,131.6594,
1398.796,75.633797,
1395.885,76.264968,
1392.975,92.457566,
1390.064,72.413224,
1387.154,104.40768,
1384.243,103.73723,
1381.332,106.65768,
1378.422,96.150425,
1375.511,82.09871,
1372.601,84.639711,
1369.690,108.02001,
1366.780,86.529875,
1363.869,142.35202,
1360.958,151.35024,
1358.048,138.53519,
1355.137,175.87836,
1352.227,183.13626,
1349.316,186.36907,
1346.406,246.875,
1343.495,233.17287,
1340.584,202.94565,
1337.674,252.26699,
1334.763,241.0274,
1331.853,297.5885,
1328.942,331.89571,
1326.032,330.98128,
1323.121,330.61596,
1320.210,362.8392,
1317.300,380.6457,
1314.389,394.20857,
1311.479,414.6128,
1308.568,438.80588,
1305.657,450.35574,
1302.747,442.50935,
1299.836,525.54082,
1296.926,510.45597,
1294.015,544.47095,
1291.105,515.93658,
1288.194,570.18324,
1285.283,556.95088,
1282.373,582.57799,
1279.462,597.28689,
1276.552,601.16638,
1273.641,617.18949,
1270.731,642.92875,
1267.820,675.98091,
1264.909,645.875,
1261.999,644.04417,
1259.088,593.87751,
1256.178,635.41073,
1253.267,594.54169,
1250.356,562.2664,
1247.446,566.783,
1244.535,565.46878,
1241.625,546.80095,
1238.714,541.72496,
1235.804,557.74878,
1232.893,560.12616,
1229.982,555.2123,
1227.072,565.17074,
1224.161,567.55601,
1221.251,543.3062,
1218.340,536.81844,
1215.430,547.78464,
1212.519,548.17809,
1209.608,536.74875,
1206.698,533.38565,
1203.787,536.58857,
1200.877,547.32374,
1197.966,570.70188,
1195.055,573.5815,
1192.145,583.64246,
1189.234,600.49964,
1186.324,624.78571,
1183.413,649.474,
1180.503,661.86323,
1177.592,663.59225,
1174.681,673.21405,
1171.771,654.875,
1168.860,654.875,
1165.950,633.10518,
1163.039,630.66861,
1160.129,615.94891,
1157.218,615.45119,
1154.307,642.08704,
1151.397,670.22111,
1148.486,674.92686,
1145.576,663.02695,
1142.665,643.49287,
1139.754,660.58846,
1136.844,652.26955,
1133.933,662.71067,
1131.023,644.60506,
1128.112,624.0161,
1125.202,650.22281,
1122.291,663.74966,
1119.380,662.66713,
1116.470,641.48645,
1113.559,652.02023,
1110.649,649.32654,
1107.738,659.27045,
1104.828,663.80131,
1101.917,651.50804,
1099.006,648.15329,
1096.096,658.49873,
1093.185,652.35271,
1090.275,693.14778,
1087.364,689.83867,
1084.453,687.24979,
1081.543,664.45818,
1078.632,645.66435,
1075.722,678.13173,
1072.811,687.68884,
1069.901,685.06906,
1066.990,642.03344,
1064.079,682.91354,
1061.169,687.54446,
1058.258,681.19168,
1055.348,695.63875,
1052.437,696.43124,
1049.527,678.5729,
1046.616,670.75344,
1043.705,707.64249,
1040.795,726.53705,
1037.884,709.12828,
1034.974,697.55799,
1032.063,712.44428,
1029.153,707.56341,
1026.242,704.96854,
1023.331,680.70988,
1020.421,712.82138,
1017.510,736.15859,
1014.600,747.79602,
1011.689,751.02881,
1008.778,746.49878,
1005.868,790.72056,
1002.957,773.51347,
1000.047,785.43501,
997.136,803.79617,
994.226,817.78262,
991.315,811.69679,
988.404,783.55074,
985.494,781.62566,
982.583,770.49043,
979.673,733.75596,
976.762,737.90096,
973.852,748.10696,
970.941,741.72567,
968.030,734.42995,
965.120,748.86426,
962.209,746.30663,
959.299,764.99773,
956.388,791.35382,
953.477,782.85746,
950.567,763.46903,
947.656,799.98102,
944.746,785.53857,
941.835,803.50071,
938.925,833.53896,
936.014,817.53709,
933.103,799.82092,
930.193,808.48886,
927.282,761.72928,
924.372,740.58912,
921.461,759.23061,
918.551,774.42713,
915.640,767.12669,
912.729,755.24213,
909.819,768.20693,
906.908,755.57055,
903.998,769.98692,
901.087,770.69247,
898.176,776.98732,
895.266,785.5576,
892.355,783.14734,
889.445,773.9154,
886.534,797.25141,
883.624,799.18367,
880.713,814.20639,
877.802,822.92717,
874.892,807.30115,
871.981,793.01444,
869.071,671.87957,
866.160,653.63484,
863.250,686.85137,
860.339,727.33018,
857.428,754.3795,
854.518,780.98434,
851.607,750.19778,
848.697,769.63642,
845.786,732.61115,
842.875,708.14881,
839.965,752.16158,
837.054,781.4053,
834.144,828.64418,
831.233,832.54205,
828.323,808.11384,
825.412,807.12455,
822.501,851.27924,
819.591,847.97364,
816.680,814.2211,
813.770,803.36899,
810.859,791.9477,
807.949,783.45794,
805.038,794.36837,
802.127,806.71528,
799.217,787.74944,
796.306,775.76685,
793.396,781.21861,
790.485,790.82107,
787.574,772.77799,
784.664,796.56125,
781.753,814.96566,
778.843,823.34525,
775.932,833.20819,
773.022,845.78872,
770.111,806.54496,
767.200,814.53337,
764.290,827.12105,
761.379,821.66511,
758.469,810.82714,
755.558,840.97225,
752.648,844.23067,
749.737,851.40289,
746.826,847.41546,
743.916,844.18027,
741.005,863.3773,
738.095,912.08991,
735.184,895.70815,
732.274,834.81116,
729.363,772.07217,
726.452,745.4065,
723.542,770.4977,
720.631,778.75585,
717.721,791.75907,
714.810,818.14761,
711.899,839.78587,
708.989,805.08809,
706.078,828.91409,
703.168,826.37391,
700.257,807.6727,
697.347,793.6571,
694.436,810.78771,
691.525,807.57249,
688.615,828.88689,
685.704,826.33403,
682.794,815.47064,
679.883,847.27148,
676.973,856.08655,
674.062,857.875,
671.151,837.71182,
668.241,819.26069,
665.330,841.21109,
662.420,806.0669,
659.509,790.6209,
656.598,819.19674,
653.688,861.95483,
650.777,858.30795,
647.867,841.58506,
644.956,834.77925,
642.046,818.36406,
639.135,796.82695,
636.224,792.98641,
633.314,815.21668,
630.403,814.37168,
627.493,809.875,
624.582,810.58129,
621.672,813.74926,
618.761,830.59366,
615.850,857.91451,
612.940,884.07183,
