,PL3ECB~1,
Wavenumbers [1/cm],Intensity,
860.339,1974.2285,
857.428,2030.5417,
854.518,2101.73,
851.607,1962.7744,
848.697,1914.6764,
845.786,1875.2069,
842.875,1895.939,
839.965,2005.1244,
837.054,2102.8616,
834.144,2112.8067,
831.233,2173.4124,
828.323,2208.6849,
825.412,2214.1061,
822.501,2207.9839,
819.591,2181.5391,
816.680,2155.9102,
813.770,2140.3525,
810.859,2120.7615,
807.949,2106.7817,
805.038,2113.2566,
802.127,2100.9097,
799.217,2075.1521,
796.306,2072.4257,
793.396,2105.9488,
790.485,2136.7988,
787.574,2082.9919,
784.664,2142.04,
781.753,2129.9365,
778.843,2131.0021,
775.932,2143.1327,
773.022,2147.2023,
770.111,2182.3582,
767.200,2174.0916,
764.290,2143.5897,
761.379,2135.1722,
758.469,2148.9832,
755.558,2135.139,
752.648,2148.1727,
749.737,2167.7225,
746.826,2162.7634,
743.916,2143.9578,
741.005,2132.2565,
738.095,2092.4745,
735.184,2008.3784,
732.274,1950.4551,
729.363,1947.2601,
726.452,2001.9292,
723.542,2080.4404,
720.631,2136.7387,
717.721,2143.5845,
714.810,2157.3067,
711.899,2190.3738,
708.989,2188.7599,
706.078,2187.9487,
703.168,2193.8222,
700.257,2184.5477,
697.347,2174.6621,
694.436,2206.0953,
691.525,2181.9812,
688.615,2186.8126,
685.704,2190.5915,
682.794,2185.8777,
679.883,2181.6243,
676.973,2223.2955,
674.062,2215.7979,
671.151,2205.8733,
668.241,2215.2329,
665.330,2247.5021,
662.420,2221.1439,
659.509,2189.0829,
656.598,2167.6915,
653.688,2183.2143,
650.777,2259.5628,
647.867,2195.0602,
644.956,2155.3648,
642.046,2098.2902,
639.135,2050.4401,
636.224,2091.0444,
633.314,2149.7959,
630.403,2197.8578,
627.493,2225.743,
624.582,2233.0437,
621.672,2229.8757,
618.761,2216.831,
615.850,2259.584,
612.940,2317.2175,
610.029,2356.0652,
607.119,2363.9615,
604.208,2351.9698,
601.297,2340.2693,
598.387,2338.0495,
595.476,2348.3043,
592.566,2343.5819,
589.655,2365.4262,
586.745,2377.75,
583.834,2383.02,
580.923,2401.551,
578.013,2368.5921,
575.102,2333.3649,
572.192,2319.8238,
569.281,2332.5778,
566.371,2342.7519,
563.460,2357.1539,
560.549,2370.5465,
557.639,2393.2524,
554.728,2434.7701,
551.818,2466.7631,
548.907,2406.7146,
545.996,2376.5801,
543.086,2395.0724,
540.175,2387.2859,
537.265,2404.1327,
534.354,2403.2246,
531.444,2403.5524,
528.533,2422.2601,
525.622,2401.3095,
522.712,2377.9406,
519.801,2352.7661,
516.891,2337.2277,
513.980,2364.328,
511.070,2395.6282,
508.159,2402.9743,
505.248,2395.2464,
502.338,2388.4278,
499.427,2411.5827,
496.517,2430.7601,
493.606,2445.4609,
490.695,2453.3592,
487.785,2443.3519,
484.874,2449.5047,
481.964,2431.325,
479.053,2400.1177,
476.143,2401.6536,
473.232,2413.2605,
470.321,2401.2064,
467.411,2395.6532,
464.500,2430.7694,
461.590,2431.5351,
458.679,2420.7441,
455.769,2407.6542,
452.858,2403.9198,
449.947,2453.5753,
447.037,2424.3106,
444.126,2416.4954,
441.216,2447.2792,
438.305,2450.3269,
435.395,2473.0416,
432.484,2458.9114,
429.573,2406.2423,
426.663,2335.5492,
423.752,2142.8417,
420.842,1897.7997,
