,PLFDDD~1,
Wavenumbers [1/cm],Intensity,
1454.097,1424.8669,
1451.186,1425.7764,
1448.276,1401.4539,
1445.365,1335.7312,
1442.455,1318.5886,
1439.544,1296.0421,
1436.633,1265.3884,
1433.723,1218.2428,
1430.812,1230.6637,
1427.902,1179.679,
1424.991,1255.5,
1422.081,1172.5496,
1419.170,1221.0389,
1416.259,1246.0763,
1413.349,1221.9311,
1410.438,1223.3717,
1407.528,1182.1693,
1404.617,1151.0037,
1401.707,1098.6504,
1398.796,1044.0743,
1395.885,1039.1428,
1392.975,1038.8328,
1390.064,1026.8815,
1387.154,1042.6969,
1384.243,1010.8741,
1381.332,989.4203,
1378.422,1009.7784,
1375.511,1007.9048,
1372.601,1102.7967,
1369.690,1134.8772,
1366.780,1107.1936,
1363.869,1183.1463,
1360.958,1199.69,
1358.048,1206.7078,
1355.137,1236.851,
1352.227,1269.9731,
1349.316,1292.5409,
1346.406,1319.353,
1343.495,1360.1276,
1340.584,1361.6247,
1337.674,1383.8062,
1334.763,1424.5927,
1331.853,1417.1749,
1328.942,1441.78,
1326.032,1532.1464,
1323.121,1549.6521,
1320.210,1552.2046,
1317.300,1589.2889,
1314.389,1638.0282,
1311.479,1676.1661,
1308.568,1695.5158,
1305.657,1694.0321,
1302.747,1717.1488,
1299.836,1816.3836,
1296.926,1818.3443,
1294.015,1936.0177,
1291.105,1945.2777,
1288.194,1977.8247,
1285.283,2017.3791,
1282.373,2057.0858,
1279.462,2071.228,
1276.552,2090.7806,
1273.641,2114.1158,
1270.731,2113.4631,
1267.820,2113.2131,
1264.909,2103.1274,
1261.999,2074.5768,
1259.088,2039.0041,
1256.178,2054.8606,
1253.267,2015.6792,
1250.356,1979.8484,
1247.446,1984.1299,
1244.535,1965.1429,
1241.625,1914.2862,
1238.714,1892.9045,
1235.804,1906.1032,
1232.893,1880.2525,
1229.982,1868.2004,
1227.072,1848.2835,
1224.161,1895.6242,
1221.251,1834.1466,
1218.340,1763.2325,
1215.430,1734.0213,
1212.519,1718.1977,
1209.608,1707.1275,
1206.698,1709.5132,
1203.787,1696.2117,
1200.877,1709.5437,
1197.966,1720.3336,
1195.055,1790.8414,
1192.145,1856.2204,
1189.234,1912.8025,
1186.324,1979.6976,
1183.413,2034.6567,
1180.503,2059.2476,
1177.592,2052.4,
1174.681,2002.2997,
1171.771,1963.0714,
1168.860,1928.2409,
1165.950,1930.519,
1163.039,1892.066,
1160.129,1903.188,
1157.218,1961.3339,
1154.307,2006.9563,
1151.397,2016.4818,
1148.486,2032.267,
1145.576,2076.5985,
1142.665,2001.1259,
1139.754,2023.352,
1136.844,2011.6671,
1133.933,1973.9632,
1131.023,1957.1239,
1128.112,1954.3761,
1125.202,1941.3581,
1122.291,1945.7578,
1119.380,1965.5285,
1116.470,1930.2274,
1113.559,1915.0495,
1110.649,1911.875,
1107.738,1901.6945,
1104.828,1894.1233,
1101.917,1883.1526,
1099.006,1847.4421,
1096.096,1821.0687,
1093.185,1807.8987,
1090.275,1912.8894,
1087.364,1891.9048,
1084.453,1916.4346,
1081.543,1922.9524,
1078.632,1890.2625,
1075.722,1903.2601,
1072.811,1918.1853,
1069.901,1922.5516,
1066.990,1930.15,
1064.079,1929.1529,
1061.169,1944.444,
1058.258,1949.4053,
1055.348,1941.9904,
1052.437,1946.2994,
1049.527,1918.2107,
1046.616,1926.899,
1043.705,1937.1242,
1040.795,1937.9595,
1037.884,1935.3578,
1034.974,1943.1856,
1032.063,1961.0211,
1029.153,1965.4862,
1026.242,1945.5922,
1023.331,1994.8718,
1020.421,2007.6634,
1017.510,2025.6833,
1014.600,2051.9858,
1011.689,2075.0063,
1008.778,2088.1682,
1005.868,2089.9831,
1002.957,2102.0281,
1000.047,2193.419,
997.136,2235.6849,
994.226,2236.0751,
991.315,2217.6102,
988.404,2185.714,
985.494,2153.1653,
982.583,2121.4728,
979.673,2075.1711,
976.762,2064.5718,
973.852,2061.6869,
970.941,2061.2845,
968.030,2067.3026,
965.120,2002.4013,
962.209,2127.7249,
959.299,2090.0903,
956.388,2089.9535,
953.477,2109.6971,
950.567,2124.9919,
947.656,2163.3153,
944.746,2151.4215,
941.835,2161.4026,
938.925,2136.2369,
936.014,2111.2527,
933.103,2097.3441,
930.193,2090.2757,
927.282,2086.3627,
924.372,2058.4576,
921.461,2047.511,
918.551,2031.5135,
915.640,2009.5516,
912.729,2002.5358,
909.819,2029.3198,
906.908,2032.6895,
903.998,2047.1916,
901.087,2062.9686,
898.176,2072.261,
895.266,2077.7316,
892.355,2086.2309,
889.445,2098.8199,
886.534,2127.2606,
883.624,2122.1097,
880.713,2092.8883,
877.802,2062.5798,
874.892,2033.4319,
871.981,1961.1069,
869.071,1801.5431,
866.160,1784.9144,
863.250,1874.7959,
860.339,1966.5519,
857.428,2007.7971,
854.518,2069.7436,
851.607,2030.6364,
848.697,1988.1085,
845.786,1936.5853,
842.875,1935.3344,
839.965,2007.7055,
837.054,2071.4239,
834.144,2120.3203,
831.233,2172.5386,
828.323,2165.1898,
825.412,2151.6512,
822.501,2181.4494,
819.591,2162.4422,
816.680,2163.4776,
813.770,2132.5499,
810.859,2093.1179,
807.949,2074.2141,
805.038,2087.3905,
802.127,2058.581,
799.217,2039.4764,
796.306,2036.1453,
793.396,2049.9438,
790.485,2062.7682,
787.574,2041.1205,
784.664,2073.925,
781.753,2051.6937,
778.843,2049.637,
775.932,2061.2577,
773.022,2063.6789,
770.111,2088.2063,
767.200,2108.1465,
764.290,2084.9811,
761.379,2059.9363,
758.469,2066.2217,
755.558,2112.0484,
752.648,2084.3518,
749.737,2054.7218,
746.826,2043.7399,
743.916,2049.7841,
741.005,2060.0584,
738.095,2061.6822,
735.184,1936.0245,
732.274,1893.7635,
729.363,1909.2808,
726.452,1936.2536,
723.542,1993.7205,
720.631,2027.4566,
717.721,2055.7789,
714.810,2064.9262,
711.899,2056.6869,
708.989,2055.88,
706.078,2075.1063,
703.168,2050.1212,
700.257,2043.6647,
697.347,2064.0487,
694.436,2071.7222,
691.525,2066.0956,
688.615,2083.1134,
685.704,2093.0116,
682.794,2097.96,
679.883,2119.1005,
676.973,2146.3471,
674.062,2156.9797,
671.151,2152.8617,
668.241,2142.2073,
665.330,2134.4926,
662.420,2084.1725,
659.509,2068.7956,
656.598,2076.6937,
653.688,2096.8561,
650.777,2115.8219,
647.867,2084.7651,
644.956,2084.0665,
642.046,2052.2196,
639.135,2010.2594,
636.224,2041.9108,
633.314,2049.0563,
630.403,2087.5301,
627.493,2103.6572,
624.582,2089.0516,
621.672,2089.8436,
618.761,2088.3551,
615.850,2140.2188,
612.940,2192.0964,
610.029,2211.3217,
607.119,2220.0077,
604.208,2216.6149,
601.297,2248.2757,
598.387,2263.5305,
595.476,2216.1666,
592.566,2198.064,
589.655,2211.0723,
586.745,2228.9883,
583.834,2242.4121,
580.923,2247.9982,
578.013,2268.4013,
575.102,2252.0786,
572.192,2234.0886,
569.281,2233.9682,
566.371,2251.1859,
563.460,2280.3883,
560.549,2295.286,
557.639,2312.3032,
554.728,2349.3677,
551.818,2357.1709,
548.907,2335.1079,
545.996,2327.262,
543.086,2324.9507,
540.175,2260.3231,
537.265,2266.0149,
534.354,2266.8649,
531.444,2266.9402,
528.533,2277.4134,
525.622,2313.107,
522.712,2274.155,
519.801,2236.2374,
516.891,2232.6393,
513.980,2275.9999,
511.070,2248.8837,
508.159,2255.4552,
505.248,2286.1384,
502.338,2312.8132,
499.427,2276.5371,
496.517,2298.5517,
493.606,2329.6048,
490.695,2339.2375,
487.785,2313.0646,
484.874,2323.0919,
481.964,2295.1611,
479.053,2257.7451,
476.143,2311.5024,
473.232,2294.0123,
470.321,2304.8515,
467.411,2313.4783,
464.500,2280.3404,
461.590,2298.7182,
458.679,2296.7212,
455.769,2288.3545,
452.858,2289.4764,
449.947,2352.8827,
447.037,2313.6936,
444.126,2301.3174,
441.216,2342.1082,
438.305,2366.49,
435.395,2355.451,
432.484,2323.2866,
429.573,2291.8925,
426.663,2304.8149,
423.752,2188.0112,
420.842,2034.5773,
417.931,1883.1403,
415.020,1778.4869,
412.110,2033.1344,
409.199,2284.843,
406.289,2425.261,
403.378,2352.7546,
400.468,2317.2229,
397.557,2289.9364,
394.646,2304.7724,
391.736,2386.8891,
388.825,2418.5668,
385.915,2405.5229,
383.004,2369.8846,
380.094,2331.2954,
377.183,2359.137,
374.272,2407.0408,
371.362,2447.9389,
368.451,2464.0999,
365.541,2451.3408,
362.630,2448.4212,
359.719,2443.2516,
356.809,2428.561,
353.898,2406.8459,
350.988,2431.7967,
348.077,2452.3572,
345.167,2438.0425,
342.256,2421.607,
339.345,2435.4751,
336.435,2447.7111,
333.524,2437.4857,
330.614,2456.8597,
327.703,2497.2731,
324.793,2529.1016,
321.882,2527.039,
318.971,2594.6923,
316.061,2612.0152,
313.150,2626.6607,
310.240,2693.4511,
307.329,2753.046,
304.418,2784.5381,
301.508,2804.1304,
298.597,2838.93,
295.687,2855.4198,
292.776,2900.2085,
289.866,2986.2586,
286.955,3139.9135,
284.044,3316.8373,
281.134,3450.9393,
278.223,3533.8508,
275.313,3588.3781,
272.402,3624.2729,
269.492,3688.7692,
266.581,3788.9291,
263.670,3775.6958,
260.760,3837.1729,
257.849,3904.5738,
254.939,3926.5903,
252.028,3939.9042,
249.117,3924.3178,
246.207,3893.6244,
243.296,3869.4672,
240.386,3896.9126,
237.475,3892.1289,
234.565,3845.9912,
231.654,3764.1882,
228.743,3746.875,
225.833,3692.6034,
222.922,3567.0064,
220.012,3526.9359,
217.101,3466.7663,
214.191,3399.953,
211.280,3340.3011,
208.369,3288.1053,
205.459,3232.1365,
202.548,3192.7776,
199.638,3250.1038,
196.727,3208.8631,
193.816,3162.0484,
190.906,3141.7164,
187.995,3080.1744,
185.085,3056.5107,
182.174,3048.1944,
179.264,3027.2342,
176.353,3031.2828,
173.442,3045.3892,
170.532,3056.9864,
167.621,2997.8664,
164.711,2963.4801,
161.800,2872.6541,
158.890,2655.2964,
155.979,2509.9868,
153.068,2301.7694,
150.158,2046.2992,
147.247,1813.6827,
144.337,1490.8623,
141.426,1165.3823,
138.516,877.19204,
135.605,613.35219,
132.694,417.72144,
129.784,279.75693,
126.873,186.79005,
123.963,134.86893,
121.052,96.560407,
118.141,63.007013,
115.231,51.505874,
112.320,38.825917,
109.410,28.556776,
106.499,32.117552,
103.589,28.953219,
100.678,23.430405,
97.767,17.031966,
94.857,14.796033,
91.946,17.502998,
89.036,22.31051,
86.125,18.764484,
83.215,15.220398,
80.304,11.198971,
77.393,6.2417816,
74.483,15.046889,
71.572,16.251479,
68.662,9.59793,
65.751,6.7721257,
62.840,8.7652119,
59.930,10.751283,
57.019,6.5207909,
54.109,2.2920349,
51.198,2.2878742,
48.288,7.8693376,
45.377,7.1659595,
42.466,6.4627807,
39.556,5.1842885,
36.645,0.97114724,
33.735,3.5097393,
30.824,4.8870172,
27.914,-1.42356,
25.003,0.98818738,
22.092,3.8437137,
19.182,5.9207657,
16.271,7.319746,
13.361,28.947899,
10.450,38.284069,
7.539,-75.541335,
4.629,-407.69144,
1.718,-784.13542,
-1.192,-1087.3933,
-4.103,-837.48199,
-7.013,-452.90241,
-9.924,0.875,
