,PLC4B4~1,
Raman shift [1/cm],Intensity,
1142.665,2619.5589,
1139.754,2614.6819,
1136.844,2578.7349,
1133.933,2546.7413,
1131.023,2556.4664,
1128.112,2563.2525,
1125.202,2532.4746,
1122.291,2537.6328,
1119.380,2557.9839,
1116.470,2581.8121,
1113.559,2569.285,
1110.649,2578.5018,
1107.738,2591.1082,
1104.828,2602.8237,
1101.917,2603.2821,
1099.006,2586.0076,
1096.096,2610.32,
1093.185,2603.296,
1090.275,2619.7447,
1087.364,2601.7941,
1084.453,2587.2503,
1081.543,2573.2327,
1078.632,2572.2858,
1075.722,2601.6306,
1072.811,2609.2536,
1069.901,2602.2675,
1066.990,2634.0833,
1064.079,2633.5838,
1061.169,2652.3944,
1058.258,2694.0417,
1055.348,2736.9204,
1052.437,2767.8497,
1049.527,2789.1864,
1046.616,2800.4811,
1043.705,2806.3746,
1040.795,2805.8345,
1037.884,2818.4049,
1034.974,2845.9021,
1032.063,2861.4041,
1029.153,2839.2161,
1026.242,2876.4092,
1023.331,2901.0818,
1020.421,2921.7833,
1017.510,2915.8637,
1014.600,2929.857,
1011.689,2969.5917,
1008.778,2996.5729,
1005.868,3054.6844,
1002.957,3158.7872,
1000.047,3305.0621,
997.136,3421.2925,
994.226,3462.5039,
991.315,3456.8812,
988.404,3442.6186,
985.494,3342.3499,
982.583,3279.8213,
979.673,3218.8031,
976.762,3247.3053,
973.852,3258.6495,
970.941,3243.4944,
968.030,3265.7846,
965.120,3220.7715,
962.209,3225.8867,
959.299,3227.4582,
956.388,3240.6292,
953.477,3244.9956,
950.567,3261.0624,
947.656,3327.4104,
944.746,3309.5697,
941.835,3297.4126,
938.925,3281.589,
936.014,3282.8432,
933.103,3284.3943,
930.193,3264.56,
927.282,3230.3293,
924.372,3204.1155,
921.461,3152.1476,
918.551,3110.9317,
915.640,3094.1749,
912.729,3082.9423,
909.819,3050.8612,
906.908,3051.7036,
903.998,3051.75,
901.087,3095.6689,
898.176,3115.978,
895.266,3126.6199,
892.355,3165.6189,
889.445,3191.6361,
886.534,3208.4474,
883.624,3274.9962,
880.713,3303.7086,
877.802,3306.9609,
874.892,3311.97,
871.981,3290.3949,
869.071,3275.3575,
866.160,3285.1693,
863.250,3278.1691,
860.339,3256.7267,
857.428,3245.8284,
854.518,3274.9556,
851.607,3247.4973,
848.697,3233.8084,
845.786,3236.4966,
842.875,3237.1572,
839.965,3238.2455,
837.054,3290.5453,
834.144,3272.3128,
831.233,3270.7499,
828.323,3265.8151,
825.412,3258.4621,
822.501,3250.9839,
819.591,3224.5391,
816.680,3134.0063,
813.770,3087.3164,
810.859,3058.7615,
807.949,3029.8987,
805.038,2997.5553,
802.127,2987.6778,
799.217,2956.189,
796.306,2946.8851,
793.396,2955.5363,
790.485,2969.6452,
787.574,2977.7775,
784.664,3004.8412,
781.753,3005.0531,
778.843,2991.9682,
775.932,3006.6755,
