,PL92EE~1,
Raman shift [1/cm],Intensity,
42.466,6.3377807,
39.556,5.4046443,
36.645,3.2980736,
33.735,0.67300614,
30.824,1.1797567,
27.914,8.8926844,
25.003,15.353737,
22.092,18.104191,
19.182,17.436486,
16.271,38.42119,
13.361,137.36347,
10.450,351.29137,
7.539,871.53632,
4.629,1297.441,
1.718,1489.3548,
-1.192,1227.2284,
-4.103,725.23683,
-7.013,293.84451,
-9.924,-1.25,
