,PLEB66~1,
Raman shift [1/cm],Intensity,
941.835,5631.0236,
938.925,5603.142,
936.014,5597.7998,
933.103,5591.7924,
930.193,5543.0379,
927.282,5497.5545,
924.372,5440.8988,
921.461,5346.7298,
918.551,5277.8643,
915.640,5212.805,
912.729,5153.0376,
909.819,5128.7354,
906.908,5121.996,
903.998,5112.0806,
901.087,5166.2741,
898.176,5178.1056,
895.266,5186.0953,
892.355,5268.1163,
889.445,5356.2393,
886.534,5374.9922,
883.624,5414.2851,
880.713,5443.8735,
877.802,5483.0689,
874.892,5539.405,
871.981,5558.8495,
869.071,5483.6623,
866.160,5452.686,
863.250,5462.4479,
860.339,5471.4655,
857.428,5451.9292,
854.518,5421.964,
851.607,5364.5513,
848.697,5354.625,
845.786,5312.0698,
842.875,5279.9655,
839.965,5305.3001,
837.054,5358.411,
834.144,5339.3497,
831.233,5316.2931,
828.323,5302.1739,
825.412,5283.4586,
822.501,5248.8589,
819.591,5222.4141,
816.680,5138.2915,
813.770,5064.3723,
810.859,5033.5275,
807.949,5025.8054,
805.038,4996.7511,
802.127,4948.1866,
799.217,4906.3554,
796.306,4872.0573,
793.396,4864.19,
790.485,4879.5202,
787.574,4884.0094,
784.664,4815.12,
781.753,4842.2131,
778.843,4889.0696,
775.932,4914.5386,
773.022,4917.3884,
770.111,4980.3419,
767.200,4970.1601,
764.290,4947.1329,
761.379,4917.0826,
758.469,4888.2767,
755.558,4876.2571,
752.648,4897.4368,
749.737,4885.3053,
746.826,4860.3073,
743.916,4814.261,
741.005,4729.0439,
738.095,4599.9555,
735.184,4414.4408,
732.274,4392.904,
729.363,4506.9145,
726.452,4667.6048,
723.542,4767.1602,
720.631,4807.0293,
717.721,4825.6448,
714.810,4815.6365,
711.899,4794.7042,
708.989,4816.4912,
706.078,4777.3612,
703.168,4774.9117,
700.257,4750.745,
697.347,4701.365,
694.436,4670.643,
691.525,4634.4718,
688.615,4670.0199,
685.704,4683.1059,
682.794,4671.7739,
679.883,4690.1749,
676.973,4724.6338,
674.062,4692.0639,
671.151,4684.0899,
668.241,4706.437,
665.330,4719.4948,
662.420,4737.8656,
659.509,4705.4339,
656.598,4708.4262,
653.688,4735.0241,
650.777,4720.2461,
647.867,4738.5616,
644.956,4717.2398,
642.046,4698.3082,
639.135,4692.1577,
636.224,4686.7046,
633.314,4702.5833,
630.403,4745.6449,
627.493,4769.1683,
624.582,4772.6301,
621.672,4813.0218,
618.761,4829.8238,
615.850,4885.3159,
612.940,4930.0403,
610.029,4939.7815,
607.119,4958.7327,
604.208,4957.0749,
601.297,4980.5509,
598.387,4997.5993,
595.476,4972.6483,
592.566,4919.9147,
589.655,4939.7801,
586.745,4918.3037,
583.834,4882.1413,
580.923,4926.1938,
578.013,4854.783,
575.102,4829.8891,
572.192,4866.7127,
569.281,4941.7498,
566.371,4948.0108,
563.460,4959.207,
560.549,4986.0398,
557.639,5013.1163,
554.728,5026.6653,
551.818,5090.6512,
548.907,5107.0627,
545.996,5130.0084,
543.086,5172.5164,
540.175,5213.7846,
537.265,5236.9048,
534.354,5251.6487,
531.444,5276.4591,
528.533,5327.3707,
525.622,5394.1021,
522.712,5485.0759,
519.801,5559.4472,
516.891,5622.0052,
513.980,5732.7295,
511.070,5798.9728,
508.159,5877.0676,
505.248,5960.6598,
502.338,6035.0423,
499.427,6117.6284,
496.517,6225.6047,
493.606,6306.7671,
490.695,6336.946,
487.785,6339.2553,
484.874,6417.1719,
481.964,6435.9541,
479.053,6383.3199,
476.143,6302.6838,
473.232,6296.9056,
470.321,6320.9538,
467.411,6341.0533,
464.500,6324.1983,
461.590,6307.3521,
458.679,6311.98,
455.769,6332.2276,
452.858,6361.2952,
449.947,6377.3378,
447.037,6421.8847,
444.126,6444.5583,
441.216,6423.9993,
438.305,6345.5203,
435.395,6361.5061,
432.484,6403.9641,
429.573,6432.0874,
426.663,6382.6782,
423.752,6403.0347,
420.842,6399.9244,
417.931,6406.4647,
415.020,6486.8507,
412.110,6564.9812,
409.199,6604.3609,
406.289,6634.5815,
403.378,6689.6122,
400.468,6685.8322,
397.557,6697.4787,
394.646,6711.5104,
391.736,6714.0415,
388.825,6633.3388,
385.915,6652.7327,
383.004,6714.6106,
380.094,6776.4293,
377.183,6811.7957,
374.272,6879.1597,
371.362,6944.696,
368.451,6988.4972,
365.541,7035.781,
362.630,7113.0814,
359.719,7180.5355,
356.809,7213.3078,
353.898,7208.0662,
350.988,7222.8996,
348.077,7247.3701,
345.167,7273.4736,
342.256,7270.4854,
339.345,7296.7281,
336.435,7327.2872,
333.524,7346.3866,
330.614,7402.2733,
327.703,7432.4601,
324.793,7434.3134,
321.882,7404.8125,
318.971,7482.1305,
316.061,7545.2486,
313.150,7608.1059,
310.240,7686.7702,
307.329,7758.2301,
304.418,7772.4024,
301.508,7758.9881,
298.597,7767.8731,
295.687,7829.5766,
292.776,7924.042,
289.866,8077.1228,
286.955,8368.9193,
284.044,8633.8973,
281.134,8853.9752,
278.223,9035.7558,
275.313,9228.075,
272.402,9378.4157,
269.492,9533.9865,
266.581,9709.7132,
263.670,9864.8362,
260.760,10053.28,
257.849,10217.217,
254.939,10310.42,
252.028,10448.432,
249.117,10535.801,
246.207,10580.845,
243.296,10593.29,
240.386,10638.375,
237.475,10599.387,
234.565,10490.422,
231.654,10431.992,
228.743,10362.088,
225.833,10296.148,
222.922,10239.567,
220.012,10173.997,
217.101,10087.36,
214.191,10009.353,
211.280,9975.1619,
208.369,9946.3853,
205.459,9927.237,
202.548,9921.1348,
199.638,9941.4529,
196.727,9927.1861,
193.816,9921.7526,
190.906,9942.5296,
187.995,9996.8315,
185.085,10020.354,
182.174,10041.1,
179.264,10098.198,
176.353,10143.072,
173.442,10130.907,
170.532,10068.265,
167.621,10039.426,
164.711,9918.1024,
161.800,9696.9207,
158.890,9349.2923,
155.979,8771.1613,
153.068,8072.6936,
150.158,7255.8937,
147.247,6275.8889,
144.337,5212.2438,
141.426,4137.8595,
138.516,3084.7462,
135.605,2209.6432,
132.694,1507.7918,
129.784,975.04799,
126.873,653.95469,
123.963,452.61724,
121.052,317.61332,
118.141,236.94239,
115.231,172.67367,
112.320,130.52683,
109.410,106.17061,
106.499,93.351811,
103.589,90.625,
100.678,85.735809,
97.767,72.938933,
94.857,69.160055,
91.946,64.400113,
89.036,58.608919,
86.125,52.226071,
83.215,50.09408,
80.304,48.667269,
77.393,45.83459,
74.483,43.659595,
71.572,39.726183,
68.662,34.209395,
65.751,29.970689,
62.840,30.070106,
59.930,30.12671,
57.019,24.486055,
54.109,21.833517,
51.198,20.323391,
48.288,19.64765,
45.377,22.461162,
42.466,25.273877,
39.556,26.934289,
36.645,22.721147,
33.735,19.028758,
30.824,17.066774,
27.914,18.469124,
25.003,14.889175,
22.092,11.656286,
19.182,9.4419371,
16.271,3.846016,
13.361,-48.107041,
10.450,-162.52787,
7.539,-430.68097,
4.629,-724.46004,
1.718,-890.32869,
-1.192,-746.71691,
-4.103,-494.42225,
-7.013,-240.00739,
-9.924,-3.375,
