,PLA41D~1,
Raman shift [1/cm],Intensity,
348.077,1768.2613,
345.167,1762.7832,
342.256,1780.7128,
339.345,1765.1491,
336.435,1756.0355,
333.524,1780.7441,
330.614,1808.3148,
327.703,1798.3924,
324.793,1776.4925,
321.882,1763.9669,
318.971,1801.8825,
316.061,1808.5269,
313.150,1801.644,
310.240,1800.9019,
307.329,1804.4482,
304.418,1773.0464,
301.508,1707.4872,
298.597,1608.2714,
295.687,1523.3468,
292.776,1492.2917,
289.866,1539.8875,
286.955,1729.7399,
284.044,1923.8548,
281.134,2070.8639,
278.223,2168.5931,
275.313,2255.5421,
272.402,2330.2226,
269.492,2373.7267,
266.581,2382.7127,
263.670,2422.4125,
260.760,2472.5314,
257.849,2531.2281,
254.939,2598.0114,
252.028,2564.1304,
249.117,2546.3067,
246.207,2547.8832,
243.296,2574.9686,
240.386,2534.1246,
237.475,2481.6768,
234.565,2433.9547,
231.654,2428.1117,
228.743,2392.3529,
225.833,2358.3379,
222.922,2337.6859,
220.012,2312.1865,
217.101,2296.0235,
214.191,2277.6027,
211.280,2243.4119,
208.369,2156.7733,
205.459,2116.2743,
202.548,2122.265,
199.638,2153.4679,
196.727,2181.7712,
193.816,2178.0075,
190.906,2131.1385,
187.995,2110.1418,
185.085,2098.6193,
182.174,2111.8963,
179.264,2178.3907,
176.353,2133.9719,
173.442,2117.202,
170.532,2134.8427,
167.621,2100.2358,
164.711,2063.0199,
161.800,1998.3069,
158.890,1882.4308,
155.979,1784.4389,
153.068,1660.3464,
150.158,1507.3838,
147.247,1316.4085,
144.337,1094.8728,
141.426,867.39435,
138.516,644.44117,
135.605,456.39409,
132.694,309.09786,
129.784,200.61046,
126.873,137.67904,
123.963,97.559634,
121.052,64.976853,
118.141,34.992969,
115.231,38.427852,
112.320,30.131374,
109.410,17.693132,
106.499,21.966063,
103.589,18.392964,
100.678,15.418243,
97.767,16.840119,
94.857,19.646956,
91.946,19.262557,
89.036,16.084715,
86.125,11.120278,
83.215,13.591442,
80.304,14.001808,
77.393,5.5037685,
74.483,6.1852699,
71.572,8.6867606,
68.662,11.528663,
65.751,7.9964071,
62.840,4.4664901,
59.930,2.0622862,
57.019,2.7673682,
54.109,7.6522868,
51.198,10.875,
48.288,10.869338,
45.377,10.165959,
42.466,8.2261226,
39.556,5.4145257,
36.645,2.6057648,
33.735,8.1059816,
30.824,12.991452,
27.914,10.186751,
25.003,17.34665,
22.092,24.458236,
19.182,29.829234,
16.271,28.430254,
13.361,146.30469,
10.450,410.07478,
7.539,998.05631,
4.629,1474.6108,
1.718,1717.3648,
-1.192,1520.0729,
-4.103,936.42674,
-7.013,400.75811,
-9.924,-0.125,
