,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
1090.275,2053.3826,
1087.364,2045.647,
1084.453,2042.3124,
1081.543,2017.77,
1078.632,2010.0099,
1075.722,2063.3683,
1072.811,2053.9353,
1069.901,2058.3016,
1066.990,2044.075,
1064.079,2055.5963,
1061.169,2083.0601,
1058.258,2114.8705,
1055.348,2137.0948,
1052.437,2127.9979,
1049.527,2065.0012,
1046.616,2100.6232,
1043.705,2096.1466,
1040.795,2114.0571,
1037.884,2120.0619,
1034.974,2112.3905,
1032.063,2110.0557,
1029.153,2114.4173,
1026.242,2112.6874,
1023.331,2124.2909,
1020.421,2137.7786,
1017.510,2153.8305,
1014.600,2172.7753,
1011.689,2182.634,
1008.778,2167.4936,
1005.868,2137.5478,
1002.957,2128.9442,
1000.047,2201.881,
997.136,2296.5801,
994.226,2325.7791,
991.315,2302.4072,
988.404,2295.4096,
985.494,2272.7044,
982.583,2231.5897,
979.673,2241.7212,
976.762,2231.1861,
973.852,2228.9072,
970.941,2232.3263,
968.030,2213.2262,
965.120,2216.8863,
962.209,2279.1219,
959.299,2257.7538,
956.388,2269.8234,
953.477,2295.3794,
950.567,2313.2977,
947.656,2341.0706,
944.746,2344.4689,
941.835,2335.7171,
938.925,2329.6767,
936.014,2335.7182,
933.103,2338.3286,
930.193,2322.4325,
927.282,2298.4957,
924.372,2314.5623,
921.461,2288.6418,
918.551,2290.2437,
915.640,2293.9506,
912.729,2277.4275,
909.819,2254.7404,
906.908,2293.492,
903.998,2294.0343,
901.087,2290.4425,
898.176,2310.0988,
895.266,2334.8946,
892.355,2341.0803,
889.445,2359.5442,
886.534,2401.3686,
883.624,2382.7117,
880.713,2372.6871,
877.802,2366.5928,
874.892,2320.7611,
871.981,2188.0086,
869.071,1992.522,
866.160,2013.1318,
863.250,2170.7725,
860.339,2303.7961,
857.428,2333.2774,
854.518,2363.603,
851.607,2293.7091,
848.697,2204.5895,
845.786,2172.2198,
842.875,2216.2213,
839.965,2312.3051,
837.054,2397.6343,
834.144,2398.4631,
831.233,2430.6227,
828.323,2474.8156,
825.412,2497.1857,
822.501,2485.4123,
819.591,2495.3291,
816.680,2469.1826,
813.770,2452.601,
810.859,2424.063,
807.949,2410.4056,
805.038,2444.7334,
802.127,2429.094,
799.217,2441.042,
796.306,2418.9491,
793.396,2427.8238,
790.485,2465.6229,
787.574,2436.4969,
784.664,2459.46,
781.753,2471.6768,
778.843,2484.9366,
775.932,2510.6741,
773.022,2543.5819,
770.111,2523.96,
767.200,2534.806,
764.290,2544.4038,
761.379,2522.6297,
758.469,2483.2528,
755.558,2487.2053,
752.648,2540.1546,
749.737,2531.0413,
746.826,2526.6859,
743.916,2506.5402,
741.005,2436.8084,
738.095,2438.4322,
735.184,2409.3076,
732.274,2366.0712,
729.363,2354.1003,
726.452,2397.4421,
723.542,2457.3372,
720.631,2530.9626,
717.721,2560.6448,
714.810,2576.5227,
