,PL3C2D~1,
Raman shift [1/cm],Intensity,
278.223,2417.6537,
275.313,2512.7081,
272.402,2620.4664,
269.492,2703.078,
266.581,2749.6898,
263.670,2818.7967,
260.760,2865.3915,
257.849,2908.997,
254.939,2964.0382,
252.028,2970.5408,
249.117,2932.5492,
246.207,2891.9476,
243.296,2919.765,
240.386,2866.5927,
237.475,2828.6821,
234.565,2811.1486,
231.654,2781.9333,
228.743,2751.5845,
225.833,2703.2604,
222.922,2632.425,
220.012,2604.0114,
217.101,2582.4821,
214.191,2559.6962,
211.280,2526.2329,
208.369,2473.289,
205.459,2459.929,
202.548,2467.5995,
199.638,2414.6272,
196.727,2427.3749,
193.816,2433.6122,
190.906,2409.934,
187.995,2472.2001,
185.085,2499.8971,
182.174,2500.8735,
179.264,2479.1905,
176.353,2497.8957,
173.442,2494.16,
170.532,2469.1862,
167.621,2490.0945,
164.711,2431.6307,
161.800,2348.1905,
158.890,2273.3388,
155.979,2129.3841,
153.068,1953.3545,
150.158,1747.9528,
147.247,1508.1567,
144.337,1259.0186,
141.426,1000.1288,
138.516,729.86076,
135.605,520.73876,
132.694,359.46326,
129.784,239.58311,
126.873,156.62805,
123.963,113.57277,
121.052,78.735671,
118.141,40.898865,
115.231,37.907719,
112.320,37.597272,
109.410,36.295605,
106.499,23.476811,
103.589,19.629491,
100.678,18.478378,
97.767,17.767441,
94.857,11.513099,
91.946,10.765554,
89.036,13.637102,
86.125,12.927897,
83.215,12.21908,
80.304,11.271135,
77.393,9.8547948,
74.483,14.99108,
71.572,15.575887,
68.662,11.19586,
65.751,5.5442514,
62.840,6.6402119,
59.930,9.5627138,
57.019,8.8576318,
54.109,7.5556783,
51.198,6.4483907,
48.288,5.7783122,
45.377,9.2952025,
42.466,9.1011226,
39.556,6.6348814,
36.645,5.9326912,
33.735,9.3847393,
30.824,12.75,
27.914,12.75,
25.003,15.24055,
22.092,18.687427,
19.182,23.161892,
16.271,35.752714,
13.361,140.21408,
10.450,366.65194,
7.539,888.99183,
4.629,1403.2162,
1.718,1654.0487,
-1.192,1315.9336,
-4.103,788.43742,
-7.013,330.42731,
-9.924,-2.25,
