,PLB3B3~1,
Wavenumbers [1/cm],Intensity,
575.102,1468.1583,
572.192,1453.7185,
569.281,1469.2038,
566.371,1448.073,
563.460,1477.0406,
560.549,1499.7456,
557.639,1511.3428,
554.728,1515.2956,
551.818,1519.9775,
548.907,1504.5458,
545.996,1489.3345,
543.086,1491.3947,
540.175,1534.9989,
537.265,1488.749,
534.354,1497.593,
531.444,1502.986,
528.533,1448.3728,
525.622,1481.7386,
522.712,1479.2919,
519.801,1464.9805,
516.891,1456.3821,
513.980,1478.0624,
511.070,1484.2261,
508.159,1496.5065,
505.248,1504.9957,
502.338,1497.22,
499.427,1538.8989,
496.517,1545.4748,
493.606,1537.2891,
490.695,1529.0698,
487.785,1536.7678,
484.874,1539.2924,
481.964,1529.2028,
479.053,1510.5067,
476.143,1495.9154,
473.232,1516.5821,
470.321,1527.4329,
467.411,1525.1881,
464.500,1510.6509,
461.590,1496.8676,
458.679,1514.4615,
455.769,1529.1644,
452.858,1525.386,
449.947,1548.304,
447.037,1527.5161,
444.126,1513.9576,
441.216,1523.2332,
438.305,1547.615,
435.395,1571.9804,
432.484,1558.4116,
429.573,1517.0774,
426.663,1487.4319,
423.752,1193.4788,
420.842,879.30206,
417.931,625.83437,
415.020,519.66423,
412.110,959.35756,
409.199,1281.413,
406.289,1423.4021,
403.378,1347.7797,
400.468,1282.7642,
397.557,1316.4999,
394.646,1398.1667,
391.736,1480.5312,
388.825,1497.1243,
385.915,1497.7425,
383.004,1493.1434,
380.094,1492.382,
377.183,1519.4712,
374.272,1541.1123,
371.362,1562.1241,
368.451,1583.9088,
365.541,1582.4077,
362.630,1579.2688,
359.719,1583.2153,
356.809,1595.3268,
353.898,1551.1477,
350.988,1571.5492,
348.077,1591.4494,
345.167,1572.773,
342.256,1568.2905,
339.345,1572.8458,
336.435,1586.0502,
333.524,1606.3658,
330.614,1586.2466,
327.703,1612.3445,
324.793,1644.289,
321.882,1647.9603,
318.971,1631.6046,
316.061,1628.4416,
313.150,1636.0809,
310.240,1652.4075,
307.329,1695.8782,
304.418,1713.9119,
301.508,1714.6062,
298.597,1713.1253,
295.687,1704.1959,
292.776,1704.1667,
289.866,1730.7068,
286.955,1828.9573,
284.044,1884.1125,
281.134,1943.9179,
278.223,2011.7902,
275.313,2058.2121,
272.402,2094.1406,
269.492,2080.9979,
266.581,2005.1684,
263.670,1909.595,
260.760,1993.79,
257.849,2113.4506,
254.939,2163.3547,
252.028,2126.3601,
249.117,2105.6044,
246.207,2120.9187,
243.296,2209.4952,
240.386,2203.3282,
237.475,2184.2428,
234.565,2160.098,
231.654,2116.2749,
228.743,2155.3309,
225.833,2150.7537,
222.922,2058.4224,
220.012,2046.037,
217.101,2052.305,
214.191,2041.3625,
211.280,1969.3437,
208.369,1943.1428,
205.459,1913.0375,
202.548,1888.5153,
199.638,1920.4439,
196.727,1891.8508,
193.816,1880.1481,
190.906,1910.0542,
187.995,1826.0673,
185.085,1786.1243,
182.174,1786.9283,
179.264,1834.6309,
176.353,1814.3688,
173.442,1814.8649,
170.532,1828.903,
167.621,1725.0825,
164.711,1684.3864,
161.800,1631.7115,
158.890,1510.7973,
155.979,1364.6341,
153.068,1251.5672,
150.158,1151.5396,
147.247,984.25677,
144.337,824.31935,
141.426,662.68337,
138.516,494.93082,
135.605,351.41152,
132.694,245.5327,
129.784,168.31735,
126.873,103.24054,
123.963,70.082545,
121.052,49.050926,
118.141,34.058984,
115.231,29.026008,
112.320,21.916369,
109.410,15.272711,
106.499,16.697021,
103.589,13.638473,
100.678,10.456757,
97.767,9.0348814,
94.857,9,
91.946,11.015554,
89.036,13.322613,
86.125,9.0673809,
83.215,12.778283,
80.304,13.40851,
77.393,2.7859607,
74.483,9.2064845,
71.572,11.188239,
68.662,7.6536625,
65.751,4.1214071,
62.840,3.963404,
59.930,4.4381414,
57.019,2.3228954,
54.109,0.20851746,
51.198,0.2064371,
48.288,2.9716878,
45.377,-0.54520254,
42.466,-0.35112264,
39.556,1.4244071,
36.645,-2.086544,
33.735,2.7117331,
30.824,5.5702433,
27.914,-2.1426844,
25.003,0.11318738,
22.092,3.2916182,
19.182,6.0686486,
16.271,8.167119,
13.361,42.29518,
10.450,87.519241,
7.539,84.72598,
4.629,-104.97494,
1.718,-402.37901,
-1.192,-794.87138,
-4.103,-679.10623,
-7.013,-397.49116,
-9.924,2,
