,PLCF92~1,
Wavenumbers [1/cm],Intensity,
1040.795,1306.3514,
1037.884,1311.984,
1034.974,1325.4716,
1032.063,1337.3825,
1029.153,1347.6626,
1026.242,1300.09,
1023.331,1305.8745,
1020.421,1358.2634,
1017.510,1377.5736,
1014.600,1380.0272,
1011.689,1383.5243,
1008.778,1367.1385,
1005.868,1313.3827,
1002.957,1314.2431,
1000.047,1384.991,
997.136,1432.5187,
994.226,1464.3286,
991.315,1475.9369,
988.404,1454.375,
985.494,1453.8188,
982.583,1428.9786,
979.673,1412.937,
976.762,1391.349,
973.852,1382.9111,
970.941,1400.7121,
968.030,1424.8604,
965.120,1382.4967,
962.209,1411.4832,
959.299,1419.9162,
956.388,1426.9746,
953.477,1422.7434,
950.567,1419.2634,
947.656,1451.1711,
944.746,1502.994,
941.835,1468.1236,
938.925,1490.9614,
936.014,1471.4613,
933.103,1438.4936,
930.193,1440.9767,
927.282,1433.5877,
924.372,1400.609,
921.461,1430.9858,
918.551,1415.4902,
915.640,1393.6752,
912.729,1387.0813,
909.819,1378.5999,
906.908,1403.0303,
903.998,1422.6684,
901.087,1419.7369,
898.176,1396.2872,
895.266,1397.9103,
892.355,1443.862,
889.445,1430.4338,
886.534,1488.816,
883.624,1506.4305,
880.713,1497.1265,
877.802,1443.3406,
874.892,1332.018,
871.981,1183.9954,
869.071,998.53372,
866.160,1047.1003,
863.250,1202.8932,
860.339,1347.8884,
857.428,1417.0099,
854.518,1429.1494,
851.607,1317.6521,
848.697,1245.4131,
845.786,1204.2491,
842.875,1221.9317,
839.965,1314.0118,
837.054,1449.3936,
834.144,1451.0511,
831.233,1498.0383,
828.323,1507.527,
825.412,1501.1021,
822.501,1517.9708,
819.591,1521.2764,
816.680,1482.1121,
813.770,1495.5556,
810.859,1481.8493,
807.949,1457.1946,
805.038,1479.7777,
802.127,1474.8389,
799.217,1448.2863,
796.306,1426.8884,
793.396,1439.9554,
790.485,1474.7433,
787.574,1472.2193,
784.664,1468.1188,
781.753,1466.033,
778.843,1483.9981,
775.932,1501.2145,
773.022,1492.8247,
770.111,1469.9325,
767.200,1483.6012,
764.290,1487.7971,
761.379,1497.2217,
758.469,1511.9565,
755.558,1509.5727,
752.648,1482.6908,
749.737,1479.3334,
746.826,1493.4292,
743.916,1481.8486,
741.005,1408.1478,
738.095,1361.8708,
735.184,1321.3371,
732.274,1279.5024,
729.363,1277.9111,
726.452,1333.1457,
723.542,1381.7093,
720.631,1460.0644,
717.721,1490.822,
714.810,1494.4716,
711.899,1486.1077,
708.989,1463.5138,
706.078,1485.8115,
703.168,1506.5555,
700.257,1503.1727,
697.347,1488.505,
694.436,1503.3968,
691.525,1504.2006,
688.615,1499.3437,
685.704,1508.0307,
682.794,1519.3963,
679.883,1507.5284,
676.973,1533.1723,
674.062,1528.1657,
671.151,1519.3067,
668.241,1515.6132,
665.330,1514.9002,
662.420,1483.7496,
659.509,1498.3277,
656.598,1518.1645,
653.688,1532.0557,
650.777,1543.7269,
647.867,1524.6151,
644.956,1487.56,
642.046,1442.4991,
639.135,1403.3924,
636.224,1388.7052,
633.314,1454.6021,
630.403,1505.6652,
627.493,1531.6794,
624.582,1535.375,
621.672,1535.375,
618.761,1538.4148,
615.850,1583.454,
612.940,1626.8888,
610.029,1637.5608,
607.119,1614.6616,
604.208,1616.6351,
601.297,1627.8468,
598.387,1628.776,
595.476,1606.4094,
592.566,1596.1775,
589.655,1616.4033,
586.745,1633.1487,
583.834,1632.3483,
580.923,1607.3466,
578.013,1602.6382,
575.102,1593.3448,
572.192,1594.878,
569.281,1611.89,
566.371,1631.4556,
563.460,1613.6219,
560.549,1626.8153,
557.639,1657.1633,
554.728,1678.2765,
551.818,1676.7158,
548.907,1658.702,
545.996,1659.8163,
543.086,1671.8257,
540.175,1636.7866,
537.265,1641.6178,
534.354,1646.3818,
531.444,1643.3592,
528.533,1633.1341,
525.622,1671.9315,
