,PLBC96~1,
Raman shift [1/cm],Intensity,
973.852,2172.1804,
970.941,2195.6855,
968.030,2198.5,
965.120,2198.4749,
962.209,2192.5071,
959.299,2197.166,
956.388,2167.0221,
953.477,2162.0514,
950.567,2188.1015,
947.656,2182.0651,
944.746,2209.2509,
941.835,2208.0706,
938.925,2231.1898,
936.014,2233.8893,
933.103,2214.6134,
930.193,2196.3002,
927.282,2193.8502,
924.372,2163.4083,
921.461,2127.0984,
918.551,2114.3381,
915.640,2087.5784,
912.729,2063.5026,
909.819,2090.6087,
906.908,2068.7056,
903.998,2078.6351,
901.087,2085.9555,
898.176,2103.293,
895.266,2129.3394,
892.355,2154.2694,
889.445,2174.4118,
886.534,2195.3718,
883.624,2224.3948,
880.713,2225.2722,
877.802,2216.237,
874.892,2216.3746,
871.981,2202.4605,
869.071,2200.7897,
866.160,2206.7096,
863.250,2217.8872,
860.339,2217.2666,
857.428,2207.474,
854.518,2226.7909,
851.607,2167.714,
848.697,2140.9924,
845.786,2150.1069,
842.875,2179.8315,
839.965,2206.5,
837.054,2206.6209,
834.144,2217.3947,
831.233,2199.5014,
828.323,2189.5,
825.412,2193.6855,
822.501,2196.9892,
819.591,2166.4125,
816.680,2140.6602,
813.770,2110.6929,
810.859,2096.0488,
807.949,2083.3731,
805.038,2047.4181,
802.127,2013.6699,
799.217,2016.4631,
796.306,2024.1757,
793.396,2021.8816,
790.485,2016.7645,
787.574,2036.3443,
784.664,2032.2438,
781.753,2054.3135,
778.843,2032.6645,
775.932,2030.9069,
773.022,2100.2033,
770.111,2078.9462,
767.200,2101.862,
764.290,2072.5158,
761.379,2051.408,
758.469,2059.2444,
755.558,2054.1596,
752.648,2042.7552,
749.737,2003.9438,
746.826,1962.5876,
743.916,1921.0257,
741.005,1864.7443,
738.095,1742.9627,
735.184,1565.4664,
732.274,1535.2092,
729.363,1634.4186,
726.452,1795.5428,
723.542,1945.2806,
720.631,2005.4887,
717.721,2032.9569,
714.810,2039.2159,
711.899,2038.698,
708.989,2052.4158,
706.078,2034.07,
703.168,2011.8906,
700.257,2007.1012,
697.347,2021.4995,
694.436,2039.0854,
691.525,2023.8131,
688.615,2008.5507,
685.704,1999.3415,
682.794,1985.2661,
679.883,1949.9057,
676.973,1981.1591,
674.062,2009.8329,
671.151,2023.3767,
668.241,2019.2585,
665.330,2002.7647,
662.420,2008.3558,
659.509,2043.7863,
656.598,2041.8625,
653.688,2019.2511,
650.777,2038.311,
647.867,2032.7367,
644.956,2015.4021,
642.046,2000.1102,
639.135,2001.5132,
636.224,2035.5279,
633.314,2041.0854,
630.403,2037.7703,
627.493,2025.6663,
624.582,2024.9194,
621.672,2085.111,
618.761,2100.419,
615.850,2103.949,
612.940,2116.8199,
610.029,2137.5021,
607.119,2107.4962,
604.208,2130.7705,
601.297,2132.5267,
598.387,2119.2005,
595.476,2107.5344,
592.566,2097.3025,
589.655,2090.3169,
586.745,2092.7076,
583.834,2088.7404,
580.923,2050.4763,
578.013,2046.5526,
575.102,2054.6774,
572.192,2055.0689,
569.281,2047.718,
566.371,2071.1967,
563.460,2108.7734,
560.549,2135.1947,
557.639,2132.9976,
554.728,2095.5201,
551.818,2127.5131,
548.907,2157.0483,
545.996,2179.2758,
543.086,2181.602,
540.175,2135.6619,
537.265,2146.2613,
534.354,2167.5541,
531.444,2183.7787,
528.533,2185.2726,
525.622,2196.1358,
522.712,2230.0512,
519.801,2247.445,
516.891,2242.6565,
513.980,2243.4308,
511.070,2261.813,
508.159,2296.7213,
505.248,2326.7504,
502.338,2329.6236,
499.427,2402.1759,
496.517,2421.5,
493.606,2406.3579,
490.695,2381.1003,
487.785,2414.2013,
484.874,2409.1604,
481.964,2424.2639,
479.053,2443.7555,
476.143,2403.0535,
473.232,2397.6224,
470.321,2405.2584,
467.411,2410.1946,
464.500,2398.6248,
461.590,2443.0377,
458.679,2436.2397,
455.769,2422.3904,
452.858,2424.9888,
449.947,2410.4741,
447.037,2449.9732,
444.126,2470.1061,
441.216,2459.7489,
438.305,2472.7017,
435.395,2490.2353,
432.484,2478.0791,
429.573,2455.5351,
426.663,2481.3799,
423.752,2459.7878,
420.842,2463.6573,
417.931,2494.0745,
415.020,2541.8511,
412.110,2568.3748,
409.199,2603.4168,
406.289,2630.5,
403.378,2630.2797,
400.468,2565.2642,
397.557,2547.5849,
394.646,2534.878,
391.736,2492.2103,
388.825,2483.1595,
385.915,2450.6972,
383.004,2446.4868,
380.094,2503.4578,
377.183,2541.8341,
374.272,2600.2647,
371.362,2642.8546,
368.451,2649.4574,
365.541,2665.2187,
362.630,2677.1474,
359.719,2697.7064,
356.809,2730.8657,
353.898,2720.3825,
350.988,2731.6047,
348.077,2733.6261,
345.167,2710.0676,
342.256,2721.2736,
339.345,2741.5058,
336.435,2743.7307,
333.524,2711.1342,
330.614,2731.2534,
327.703,2704.6421,
324.793,2689.9986,
321.882,2737.4766,
318.971,2727.8118,
316.061,2755.7521,
313.150,2776.7215,
310.240,2738.8735,
307.329,2808.2491,
304.418,2809.1428,
301.508,2765.8661,
298.597,2725.8836,
295.687,2681.8656,
292.776,2681.2501,
289.866,2736.1471,
286.955,2872.0725,
284.044,2931.98,
281.134,3011.0432,
278.223,3114.7692,
275.313,3178.1387,
272.402,3255.9803,
269.492,3320.2438,
266.581,3358.6051,
263.670,3360.0755,
260.760,3372.5148,
257.849,3399.6675,
254.939,3445.9021,
252.028,3447.2238,
249.117,3446.5863,
246.207,3450.6141,
243.296,3470.3791,
240.386,3511.0265,
237.475,3510.3697,
234.565,3473.049,
231.654,3451.1375,
228.743,3389.5386,
225.833,3355.4273,
222.922,3370.884,
220.012,3314.7853,
217.101,3278.8342,
214.191,3257.003,
211.280,3245.3636,
208.369,3240.4631,
205.459,3265.2498,
202.548,3293.3412,
199.638,3222.9532,
196.727,3258.6308,
193.816,3307.8419,
190.906,3336.4492,
187.995,3335.0012,
185.085,3294.3073,
182.174,3264.1913,
179.264,3318.3987,
176.353,3336.6748,
173.442,3344.2251,
170.532,3336.8473,
167.621,3262.5868,
164.711,3187.841,
161.800,3094.2624,
158.890,2964.7114,
155.979,2792.115,
153.068,2558.0934,
150.158,2270.9001,
147.247,1949.9754,
144.337,1598.5651,
141.426,1248.1416,
138.516,913.35338,
135.605,644.0216,
132.694,440.83684,
129.784,294.26698,
126.873,195.57906,
123.963,137.94137,
121.052,96.468696,
118.141,63.629204,
115.231,57.104867,
112.320,50.687277,
109.410,44.000092,
106.499,36.166385,
103.589,33.379491,
100.678,28.154053,
97.767,16.779052,
94.857,17.192989,
91.946,20.321776,
89.036,24.274204,
86.125,22.855794,
83.215,20.907239,
80.304,19.978865,
77.393,21.395205,
74.483,14.94865,
71.572,11.137648,
68.662,10.153663,
65.751,6.6214071,
62.840,9.8353179,
59.930,13.938141,
57.019,11.822895,
54.109,15.082965,
51.198,15.388735,
48.288,10.533975,
45.377,14.754243,
42.466,11.965587,
39.556,5.8453557,
36.645,7.9519264,
33.735,11.615491,
30.824,10.303147,
27.914,-3.0191822,
25.003,8.575387,
22.092,14.885477,
19.182,11.477117,
16.271,10.777627,
13.361,56.017461,
10.450,121.62493,
7.539,139.78113,
4.629,182.70805,
1.718,127.41393,
-1.192,-169.56964,
-4.103,-172.86284,
-7.013,-105.20067,
-9.924,-1.5,
