,PL1D8D~1,
Raman shift [1/cm],Intensity,
1253.267,2516.0456,
1250.356,2427.6004,
1247.446,2347.0948,
1244.535,2301.817,
1241.625,2253.8843,
1238.714,2217.9273,
1235.804,2206.4309,
1232.893,2143.125,
1229.982,2142.6344,
1227.072,2128.1494,
1224.161,2085.9403,
1221.251,2040.155,
1218.340,1981.1304,
1215.430,1967.1357,
1212.519,1967.9753,
1209.608,1941.4693,
1206.698,1928.4871,
1203.787,1984.2657,
1200.877,2012.125,
1197.966,2012.125,
1195.055,2087.2109,
1192.145,2151.9677,
1189.234,2185.3448,
1186.324,2225.7644,
1183.413,2253.0082,
1180.503,2239.623,
1177.592,2204.3875,
1174.681,2184.6592,
1171.771,2201.239,
1168.860,2162.8361,
1165.950,2129.2923,
1163.039,2128.4106,
1160.129,2109.8902,
1157.218,2087.914,
1154.307,2087.5455,
1151.397,2091.2619,
1148.486,2056.684,
1145.576,2006.2474,
1142.665,2078.1683,
1139.754,2007.6439,
1136.844,1981.0211,
1133.933,1985.3361,
1131.023,1988.2924,
1128.112,1983.3395,
1125.202,1976.7434,
1122.291,1972.7679,
1119.380,2019.2116,
1116.470,2028.0369,
1113.559,2031.4447,
1110.649,2040.638,
1107.738,2051.5548,
1104.828,2056.7089,
1101.917,2062.6342,
1099.006,2074.4447,
1096.096,2059.8127,
1093.185,2103.7128,
1090.275,2065.8522,
1087.364,2089.745,
1084.453,2079.2516,
1081.543,2043.7873,
1078.632,2043.8688,
1075.722,2079.0384,
1072.811,2043.6286,
1069.901,2036.6425,
1066.990,2107.2582,
1064.079,2129.5691,
1061.169,2135.4388,
1058.258,2152.947,
1055.348,2180.7679,
1052.437,2208.8003,
1049.527,2256.8495,
1046.616,2223.834,
1043.705,2240.9357,
1040.795,2262.4491,
1037.884,2282.757,
1034.974,2275.8763,
1032.063,2245.6019,
1029.153,2250.9679,
1026.242,2282.9713,
1023.331,2301.6239,
1020.421,2304.4279,
1017.510,2323.7347,
1014.600,2345.8919,
1011.689,2359.116,
1008.778,2373.8166,
1005.868,2401.8895,
1002.957,2487.0646,
1000.047,2583.845,
997.136,2657.4125,
994.226,2682.2174,
991.315,2658.7711,
988.404,2618.6386,
985.494,2615.7798,
982.583,2600.3617,
979.673,2588.6136,
976.762,2568.6861,
973.852,2583.6456,
970.941,2624.8309,
968.030,2633.0555,
965.120,2576.0677,
962.209,2562.427,
959.299,2558.7085,
956.388,2551.4054,
953.477,2576.541,
950.567,2623.0007,
947.656,2631.2364,
944.746,2632.086,
941.835,2636.1741,
938.925,2624.622,
936.014,2601.9386,
933.103,2596.3647,
930.193,2606.1359,
927.282,2570.0333,
924.372,2568.3421,
921.461,2518.7862,
918.551,2488.3445,
915.640,2452.3535,
912.729,2427.6643,
909.819,2461.6827,
906.908,2481.0585,
903.998,2451.9012,
901.087,2458.1281,
898.176,2488.076,
895.266,2518.473,
892.355,2536.3656,
889.445,2559.0258,
886.534,2605.043,
883.624,2624.8903,
880.713,2631.1457,
877.802,2628.6511,
874.892,2621.7573,
871.981,2619.2372,
869.071,2581.6437,
866.160,2572.3652,
863.250,2620.4001,
860.339,2656.8916,
857.428,2641.1685,
854.518,2637.0769,
851.607,2635.4127,
848.697,2619.3052,
845.786,2584.1008,
842.875,2561.6205,
839.965,2576.3874,
837.054,2614.0785,
834.144,2609.9347,
831.233,2589.7931,
828.323,2569.739,
825.412,2565.2423,
822.501,2575.8909,
819.591,2563.4949,
816.680,2530.2724,
813.770,2497.0649,
810.859,2480.32,
807.949,2466.8249,
805.038,2440.2113,
802.127,2465.7282,
799.217,2440.5455,
796.306,2405.0167,
793.396,2400.3084,
790.485,2431.9165,
787.574,2459.9729,
784.664,2429.6288,
781.753,2434.1898,
778.843,2430.7936,
775.932,2428.915,
773.022,2452.24,
770.111,2504.5651,
767.200,2495.1827,
764.290,2473.2108,
761.379,2462.4882,
758.469,2470.9381,
755.558,2487.7149,
752.648,2440.4678,
749.737,2427.8611,
746.826,2392.5571,
743.916,2328.7155,
741.005,2255.972,
738.095,2192.6456,
735.184,2054.2691,
732.274,2028.4199,
729.363,2101.5509,
726.452,2223.5367,
723.542,2358.7053,
720.631,2410.4683,
717.721,2404.6483,
714.810,2384.0341,
711.899,2385.4122,
708.989,2433.8277,
706.078,2454.9589,
703.168,2430.9784,
700.257,2408.8244,
697.347,2398.4734,
694.436,2377.9286,
691.525,2370.6944,
688.615,2421.9535,
685.704,2425.0649,
682.794,2381.5719,
679.883,2361.8551,
676.973,2400.3209,
674.062,2392.811,
671.151,2396.8366,
668.241,2404.5481,
665.330,2378.562,
662.420,2408.9138,
659.509,2410.6805,
656.598,2409.4232,
653.688,2410.6649,
650.777,2408.585,
647.867,2392.6584,
644.956,2374.8845,
642.046,2376.0754,
639.135,2392.6403,
636.224,2402.3239,
633.314,2442.0209,
630.403,2433.7975,
627.493,2434.5676,
624.582,2453.2999,
621.672,2440.628,
618.761,2500.9201,
615.850,2519.574,
612.940,2525.6142,
610.029,2538.5196,
607.119,2540.8885,
604.208,2563.8454,
601.297,2556.6739,
598.387,2538.9785,
595.476,2533.1538,
592.566,2501.6711,
589.655,2514.2659,
586.745,2515.4456,
583.834,2497.3179,
580.923,2473.125,
578.013,2473.125,
575.102,2444.4456,
572.192,2451.3505,
569.281,2502.6874,
566.371,2505.8179,
563.460,2511.7687,
560.549,2513.1504,
557.639,2520.4505,
554.728,2544.0612,
551.818,2558.8872,
548.907,2590.158,
545.996,2586.3528,
543.086,2555.648,
540.175,2571.9996,
537.265,2570.2279,
534.354,2574.1419,
531.444,2584.4195,
528.533,2600.2771,
525.622,2630.5391,
522.712,2648.6533,
519.801,2662.2351,
516.891,2675.7246,
513.980,2693.5334,
511.070,2704.9859,
508.159,2723.452,
505.248,2749.1395,
502.338,2781.4294,
499.427,2860.1562,
496.517,2881.6907,
493.606,2880.4425,
490.695,2878.0879,
487.785,2885.016,
484.874,2906.1579,
481.964,2911.7264,
479.053,2895.8514,
476.143,2861.2931,
473.232,2879.2683,
470.321,2867.6619,
467.411,2840.287,
464.500,2821.6571,
461.590,2882.1505,
458.679,2908.48,
455.769,2896.591,
452.858,2855.3976,
449.947,2867.6205,
447.037,2897.4292,
444.126,2907.3614,
441.216,2898.0937,
438.305,2920.9516,
435.395,2918.2243,
432.484,2941.3804,
429.573,2973.6874,
426.663,2954.6839,
423.752,2917.5566,
420.842,2896.1881,
417.931,2905.7161,
415.020,2964.1097,
412.110,3013.6799,
409.199,3077.0907,
406.289,3102.9868,
403.378,3035.0174,
400.468,3003.2657,
397.557,3015.2334,
394.646,3035.0476,
391.736,3030.9902,
388.825,2995.5413,
385.915,2947.8714,
383.004,2933.3998,
380.094,2983.6933,
377.183,3073.238,
374.272,3099.7533,
371.362,3114.0754,
368.451,3146.6295,
365.541,3171.3972,
362.630,3183.0412,
359.719,3189.4927,
356.809,3197.5717,
353.898,3238.0068,
350.988,3252.3799,
348.077,3241.1854,
345.167,3207.0872,
342.256,3206.3401,
339.345,3216.7537,
336.435,3227.7906,
333.524,3231.8666,
330.614,3223.6699,
327.703,3231.3931,
324.793,3241.125,
321.882,3241.1052,
318.971,3232.9273,
316.061,3256.9823,
313.150,3275.425,
310.240,3244.2562,
307.329,3296.0081,
304.418,3310.2857,
301.508,3295.4296,
298.597,3270.2554,
295.687,3244.4216,
292.776,3254.7918,
289.866,3317.5086,
286.955,3471.1635,
284.044,3553.8449,
281.134,3641.3356,
278.223,3735.6218,
275.313,3773.2014,
272.402,3819.4646,
269.492,3868.9878,
266.581,3920.5918,
263.670,3983.0821,
260.760,4008.9607,
257.849,4035.8853,
254.939,4092.3943,
252.028,4111.945,
249.117,4130.0889,
246.207,4133.6545,
243.296,4097.0526,
240.386,4089.207,
237.475,4087.125,
234.565,4080.9132,
231.654,4041.4724,
228.743,4021.6176,
225.833,3991.4774,
222.922,3939.0334,
220.012,3872.7349,
217.101,3884.4937,
214.191,3909.0712,
211.280,3875.6079,
208.369,3854.2862,
205.459,3836.3415,
202.548,3819.1138,
199.638,3795.8931,
196.727,3815.3261,
193.816,3828.3086,
190.906,3818.9788,
187.995,3871.8326,
