,PL3DB8~1,
Raman shift [1/cm],Intensity,
516.891,7790.0113,
513.980,7919.3188,
511.070,7997.788,
508.159,8111.3594,
505.248,8242.6797,
502.338,8358.699,
499.427,8455.178,
496.517,8543.6628,
493.606,8643.6947,
490.695,8740.7397,
487.785,8703.7898,
484.874,8746.988,
481.964,8782.1806,
479.053,8787.2561,
476.143,8759.6095,
473.232,8778.7377,
470.321,8723.1335,
467.411,8656.3815,
464.500,8656.4593,
461.590,8600.5603,
458.679,8642.6559,
455.769,8694.2859,
452.858,8708.5676,
449.947,8753.6395,
447.037,8773.1899,
444.126,8781.3538,
441.216,8777.2606,
438.305,8739.164,
435.395,8845.9889,
432.484,8836.9444,
429.573,8761.5777,
426.663,8845.9533,
423.752,8842.4137,
420.842,8751.5613,
417.931,8689.1677,
415.020,8830.9806,
412.110,8885.6247,
409.199,9034.4372,
406.289,9180.2222,
403.378,9208.5881,
400.468,9123.9167,
397.557,9132.3513,
394.646,9137.055,
391.736,9058.706,
388.825,9053.4264,
385.915,9035.9092,
383.004,9051.286,
380.094,9134.9329,
377.183,9332.0817,
374.272,9430.2974,
371.362,9507.1979,
368.451,9609.0268,
365.541,9693.8374,
362.630,9718.5137,
359.719,9758.0548,
356.809,9847.7876,
353.898,9829.8164,
350.988,9854.1693,
348.077,9889.3297,
345.167,9915.6697,
342.256,9931.3581,
339.345,9991.144,
336.435,10044.316,
333.524,10058.247,
330.614,10133.508,
327.703,10210.269,
324.793,10262.422,
321.882,10267.034,
318.971,10332.457,
316.061,10419.332,
313.150,10486.182,
310.240,10483.956,
307.329,10582.495,
304.418,10630.994,
301.508,10633.013,
298.597,10599.695,
295.687,10567.076,
292.776,10637.459,
289.866,10810.678,
286.955,11070.709,
284.044,11404.517,
281.134,11681.666,
278.223,11889.191,
275.313,12089.616,
272.402,12281.748,
269.492,12472.89,
266.581,12671.792,
263.670,12950.425,
260.760,13165.128,
257.849,13358.447,
254.939,13560.265,
252.028,13674.347,
249.117,13783.115,
246.207,13858.466,
243.296,13845.289,
240.386,13949.007,
237.475,13982.208,
234.565,13934.257,
231.654,13860.488,
228.743,13840.847,
225.833,13823.545,
222.922,13786.289,
220.012,13687.934,
217.101,13624.96,
214.191,13588.067,
211.280,13572.062,
208.369,13649.594,
205.459,13723.808,
202.548,13780.883,
199.638,13798.299,
196.727,13835.872,
193.816,13854.554,
190.906,13844.548,
187.995,13977.768,
185.085,14060.285,
182.174,14108.319,
179.264,14135.784,
176.353,14126.059,
173.442,14128.664,
170.532,14135.038,
167.621,14042.032,
164.711,13856.051,
161.800,13532.941,
158.890,13011.859,
155.979,12167.96,
153.068,11160.845,
150.158,10004.635,
147.247,8680.7311,
144.337,7153.4921,
141.426,5632.7568,
138.516,4216.1797,
135.605,3046.6368,
