,PLA6AA~1,
Wavenumbers [1/cm],Intensity,
1186.324,1752.9113,
1183.413,1771.1168,
1180.503,1798.3295,
1177.592,1832.8581,
1174.681,1761.6062,
1171.771,1752.8654,
1168.860,1790.3752,
1165.950,1702.083,
1163.039,1721.9042,
1160.129,1712.2768,
1157.218,1722.3249,
1154.307,1759.9364,
1151.397,1770.2607,
1148.486,1777.4438,
1145.576,1812.2654,
1142.665,1772.3093,
1139.754,1747.032,
1136.844,1752.5045,
1133.933,1761.1055,
1131.023,1732.8417,
1128.112,1698,
1125.202,1699.2077,
1122.291,1706.7601,
1119.380,1733.1559,
1116.470,1749.0414,
1113.559,1703.8318,
1110.649,1692.6194,
1107.738,1680.6045,
1104.828,1668.1678,
1101.917,1675.2844,
1099.006,1696.0515,
1096.096,1698.9574,
1093.185,1665.5933,
1090.275,1742.3085,
1087.364,1725.3216,
1084.453,1728.1238,
1081.543,1726.7858,
1078.632,1722.9233,
1075.722,1760.1881,
1072.811,1760.0072,
1069.901,1746.035,
1066.990,1756.3166,
1064.079,1765.1246,
1061.169,1779.5983,
1058.258,1772.9075,
1055.348,1758.055,
1052.437,1769.9164,
1049.527,1745.6112,
1046.616,1787.315,
1043.705,1773.5016,
1040.795,1765.446,
1037.884,1783.7238,
1034.974,1796.6688,
1032.063,1786.7154,
1029.153,1790.5579,
1026.242,1803.5323,
1023.331,1796.5005,
1020.421,1822.187,
1017.510,1835.1206,
1014.600,1864.7592,
1011.689,1894.3076,
1008.778,1870.5864,
1005.868,1874.1699,
1002.957,1893.0977,
1000.047,1943.32,
997.136,1985.6677,
994.226,2020.8459,
991.315,2028.3862,
988.404,1986.5692,
985.494,1942.0218,
982.583,1898.3375,
979.673,1917.6076,
976.762,1906.4514,
973.852,1882.2758,
970.941,1874.1493,
968.030,1880.0924,
965.120,1858.1575,
962.209,1895.6694,
959.299,1943.0785,
956.388,1957.7601,
953.477,1959.6992,
950.567,1965.5228,
947.656,1967.5571,
944.746,1971.8048,
941.835,1964.7117,
938.925,2005.1152,
936.014,2010.3077,
933.103,1976.6984,
930.193,1948.3959,
927.282,1957.8296,
924.372,1880.8794,
921.461,1886.4644,
918.551,1905.9424,
915.640,1889.2285,
912.729,1856.757,
909.819,1872.2266,
906.908,1911.8206,
903.998,1907.6371,
901.087,1928.9142,
898.176,1921.4806,
895.266,1929.4703,
892.355,1982.1211,
889.445,1913.3012,
886.534,1955.5785,
883.624,1955.926,
880.713,1968.3314,
877.802,1951.6926,
874.892,1866.7322,
871.981,1755.666,
869.071,1614.4812,
866.160,1629.3277,
863.250,1758.131,
860.339,1878.3306,
857.428,1917.5914,
854.518,1935.1465,
851.607,1871.0771,
848.697,1826.9848,
845.786,1765.293,
842.875,1767.4413,
839.965,1873.0152,
837.054,1969.7071,
834.144,2032.6922,
831.233,2068.3316,
828.323,2065.1628,
825.412,2057.7271,
822.501,2078.1703,
819.591,2101.3095,
816.680,2035.4935,
813.770,2001.4579,
810.859,1990.0975,
807.949,1986.5195,
805.038,1979.6018,
802.127,1976.3093,
799.217,1967.8007,
796.306,1961.5946,
793.396,1964.4504,
790.485,1975.1058,
787.574,1982.0036,
784.664,1955.76,
781.753,1955.0259,
778.843,1978.5636,
775.932,1996.9877,
773.022,1990.7895,
770.111,2008.7763,
767.200,1990.9672,
764.290,2002.9142,
761.379,2012.4552,
758.469,2017.6726,
755.558,2058.0729,
752.648,2060.5167,
749.737,2030.3189,
746.826,2005.1418,
743.916,1988.0194,
741.005,1970.1834,
738.095,1971.8072,
735.184,1936.9621,
732.274,1875.6692,
729.363,1857.2086,
726.452,1913.1859,
723.542,1958.512,
720.631,1975.5262,
717.721,1997.7582,
714.810,2014.4261,
711.899,2023.9505,
708.989,2040.8959,
706.078,2023.3713,
703.168,2000.1762,
700.257,1999.9646,
697.347,2015.9132,
694.436,2011.4108,
691.525,1989.7081,
688.615,2018.3323,
685.704,2028.9344,
682.794,2030.5743,
679.883,2074.2791,
676.973,2058.2517,
674.062,2081.1614,
671.151,2076.7135,
668.241,2060.8152,
665.330,2086.6932,
662.420,2037.9706,
659.509,2029.9048,
656.598,2031.4327,
653.688,2039.1313,
650.777,2062.0549,
647.867,2034.1834,
644.956,2008.8063,
642.046,1972.9533,
639.135,1943.4018,
636.224,1960.3103,
633.314,2022.2375,
630.403,2036.2264,
627.493,2048.0585,
624.582,2069.8829,
621.672,2073.8428,
618.761,2073.2401,
615.850,2088.9786,
612.940,2126.249,
610.029,2170.3695,
607.119,2154.5769,
604.208,2204.831,
601.297,2214.0356,
598.387,2201.7134,
595.476,2201.5942,
592.566,2207.8908,
589.655,2227.7888,
586.745,2226.7168,
583.834,2203.2166,
580.923,2172.2369,
578.013,2211.4736,
575.102,2217.9849,
572.192,2213.9281,
569.281,2210.7346,
566.371,2203.691,
563.460,2198.0617,
560.549,2193.0763,
557.639,2218.7363,
554.728,2295.374,
551.818,2269.6236,
548.907,2267.0471,
545.996,2256.9475,
543.086,2241.523,
540.175,2257.8746,
537.265,2220.6132,
534.354,2206.5017,
531.444,2200.5909,
528.533,2185.4899,
525.622,2206.4405,
522.712,2187.9434,
519.801,2162.6892,
516.891,2149.7561,
513.980,2168.3392,
511.070,2209.4435,
508.159,2205.9422,
505.248,2194.7656,
502.338,2227.7004,
499.427,2251.6271,
496.517,2263.0909,
493.606,2257.2417,
490.695,2239.1768,
487.785,2247.6445,
484.874,2259.9858,
481.964,2253.5417,
479.053,2231.7713,
476.143,2214.1081,
473.232,2232.4239,
470.321,2241.4597,
467.411,2237.4283,
464.500,2220.7867,
461.590,2212.3635,
458.679,2218.8047,
455.769,2227.8904,
452.858,2233.5112,
449.947,2248.0259,
447.037,2241.8986,
444.126,2231.9333,
441.216,2227.6458,
438.305,2242.8844,
435.395,2248.9338,
432.484,2229.7456,
429.573,2197.6925,
426.663,2187.8106,
423.752,1972.1949,
420.842,1776.7023,
417.931,1634.0995,
415.020,1560.5388,
412.110,1890.884,
409.199,2148.9412,
406.289,2272.7975,
403.378,2216.8412,
400.468,2169.9695,
397.557,2173.5094,
394.646,2208.7768,
391.736,2257.6761,
388.825,2278.7945,
385.915,2270.0986,
383.004,2259.2843,
380.094,2266.8427,
377.183,2302.9615,
374.272,2295.631,
371.362,2305.1348,
368.451,2360.6748,
365.541,2322.3975,
362.630,2328.9335,
359.719,2348.3274,
356.809,2359.7767,
353.898,2339.5591,
350.988,2349.1896,
348.077,2359.6767,
345.167,2352.8269,
342.256,2329.6678,
339.345,2344.7887,
336.435,2358.4482,
333.524,2344.3288,
330.614,2354.761,
327.703,2382.6434,
324.793,2408.8357,
321.882,2417.0324,
318.971,2430.4144,
316.061,2439.8831,
313.150,2458.6262,
310.240,2502.411,
307.329,2528.2977,
304.418,2565.8131,
301.508,2600.5754,
298.597,2606.4987,
295.687,2602.9366,
292.776,2632.6668,
289.866,2700.5093,
286.955,2812.0568,
284.044,2869.1125,
281.134,2933.7317,
278.223,3006.449,
275.313,3030.0284,
272.402,3075.6632,
269.492,3098.6629,
266.581,3079.9026,
263.670,3008.5901,
260.760,3065.3127,
257.849,3150.6277,
254.939,3192.4591,
252.028,3193,
249.117,3178.3815,
246.207,3186.5705,
243.296,3285.3954,
240.386,3265.9624,
237.475,3234.6325,
234.565,3208.8497,
231.654,3201.5458,
228.743,3173.5331,
225.833,3127.474,
222.922,3065.1994,
220.012,3026.586,
217.101,2999.7692,
214.191,2968.8265,
211.280,2914.9943,
208.369,2879.3778,
205.459,2842.0412,
202.548,2814.8914,
199.638,2848.9969,
196.727,2807.0216,
193.816,2798.3931,
190.906,2857.1496,
187.995,2718.8609,
185.085,2674.7828,
182.174,2684.8765,
179.264,2706.5595,
176.353,2659.66,
173.442,2671.8814,
170.532,2727.8868,
167.621,2606.7629,
164.711,2542.9915,
161.800,2438.5672,
158.890,2214.7319,
155.979,2079.3824,
153.068,1904.1468,
150.158,1691.4014,
147.247,1464.5285,
144.337,1221.0568,
141.426,966.57762,
138.516,702.04475,
135.605,513.51909,
132.694,362.40853,
129.784,242.46382,
126.873,147.35156,
123.963,101.82277,
121.052,70.668431,
118.141,42.112351,
115.231,38.447148,
112.320,32.340005,
109.410,26.136355,
106.499,26.84851,
103.589,23.078219,
100.678,18.37027,
97.767,14.104644,
94.857,14,
91.946,14.806222,
89.036,15.774204,
86.125,14.355794,
83.215,13.46908,
80.304,12.521135,
77.393,11.104795,
74.483,13.62054,
71.572,13.188239,
68.662,9.5151275,
65.751,4.56997,
62.840,5.4085099,
59.930,8,
57.019,8,
54.109,3.2227132,
51.198,2.1112649,
48.288,6.9830127,
45.377,4.8728785,
42.466,3.1755613,
39.556,2.4604743,
36.645,5.2692352,
33.735,3.4037577,
30.824,-0.76709579,
27.914,-6.3764977,
25.003,-9.4905499,
22.092,-11,
19.182,-10.656757,
16.271,-0.16440507,
13.361,-10.329571,
10.450,-72.186605,
7.539,-317.2953,
4.629,-757.40091,
1.718,-1185.2636,
-1.192,-1430.6585,
-4.103,-1058.5075,
-7.013,-554.7821,
-9.924,2,
