,PLE7B4~1,
Raman shift [1/cm],Intensity,
1020.421,2601.6438,
1017.510,2640.3799,
1014.600,2654.8205,
1011.689,2630.7222,
1008.778,2621.7709,
1005.868,2736.7042,
1002.957,2801.2307,
1000.047,2925.421,
997.136,3001.0152,
994.226,3044.2016,
991.315,3036.5483,
988.404,2957.2611,
985.494,2932.2976,
982.583,2940.0066,
979.673,2892.1047,
976.762,2888.2155,
973.852,2898.567,
970.941,2897.6431,
968.030,2889.6163,
965.120,2864.2503,
962.209,2894.0893,
959.299,2909.7487,
956.388,2895.0862,
953.477,2879.3029,
950.567,2891.719,
947.656,2930.125,
944.746,2930.125,
941.835,2939.8428,
938.925,2920.4093,
936.014,2910.6425,
933.103,2904.0038,
930.193,2887.5269,
927.282,2878.9252,
924.372,2838.3361,
921.461,2807.351,
918.551,2801.6106,
915.640,2780.3282,
912.729,2762.0795,
909.819,2792.6743,
906.908,2736.2318,
903.998,2773.6886,
901.087,2778.3964,
898.176,2802.3251,
895.266,2822.2856,
892.355,2812.7474,
889.445,2874.8532,
886.534,2918.5383,
883.624,2921.0695,
880.713,2926.8011,
877.802,2947.9785,
874.892,2965.6904,
871.981,2936.4937,
869.071,2909.7605,
866.160,2934.7933,
863.250,2935.5441,
860.339,2931.2845,
857.428,2943.7424,
854.518,2941.7399,
851.607,2928.4267,
848.697,2891.0463,
845.786,2873.0491,
842.875,2880.2133,
839.965,2905.7466,
837.054,2945.0785,
834.144,2940.9347,
831.233,2942.1249,
828.323,2921.8584,
825.412,2900.125,
822.501,2898.7845,
819.591,2891.3469,
816.680,2850.2595,
813.770,2825.0889,
810.859,2818.8324,
807.949,2804.4859,
805.038,2757.3285,
802.127,2750.7435,
799.217,2753.852,
796.306,2731.8546,
793.396,2705.9493,
790.485,2702.3905,
787.574,2736.7513,
784.664,2726.91,
781.753,2731.1639,
778.843,2739.0258,
775.932,2752.7668,
773.022,2773.9002,
770.111,2785.3463,
767.200,2766.3309,
764.290,2756.6577,
761.379,2750.5802,
758.469,2747.4269,
755.558,2755.0066,
752.648,2717.5348,
749.737,2698.3748,
746.826,2675.341,
743.916,2642.1638,
741.005,2587.5089,
738.095,2422.6979,
735.184,2262.2582,
732.274,2250.8263,
729.363,2347.2755,
726.452,2486.1911,
723.542,2641.5946,
720.631,2721.2271,
717.721,2745.9892,
714.810,2745.4602,
711.899,2741.125,
708.989,2741.125,
706.078,2757.1511,
703.168,2711.3329,
700.257,2685.7262,
697.347,2701.2113,
694.436,2721.3792,
691.525,2657.0748,
688.615,2684.0042,
685.704,2699.0594,
682.794,2687.5931,
679.883,2687.3228,
676.973,2647.2543,
674.062,2676.7718,
671.151,2700.755,
668.241,2694.1186,
665.330,2662.957,
662.420,2680.5291,
659.509,2717.7763,
656.598,2738.4232,
653.688,2740.8151,
650.777,2743.233,
647.867,2746.4183,
644.956,2714.9292,
642.046,2703.8316,
639.135,2712.7713,
636.224,2700.4075,
633.314,2756.7771,
630.403,2769.9426,
627.493,2755.2983,
624.582,2735.597,
621.672,2746.6849,
618.761,2803.3605,
615.850,2839.3076,
612.940,2840.8051,
610.029,2821.5696,
607.119,2860.2615,
604.208,2884.7154,
601.297,2877.1724,
598.387,2848.2266,
595.476,2819.2447,
592.566,2852.3016,
589.655,2858.125,
586.745,2839.0304,
583.834,2815.8817,
580.923,2821.8691,
578.013,2779.4935,
575.102,2741.1663,
572.192,2755.4243,
569.281,2815.5784,
566.371,2806.9695,
563.460,2815.2961,
560.549,2837.1543,
557.639,2843.7711,
554.728,2812.6871,
551.818,2853.2635,
548.907,2875.5321,
545.996,2888.4017,
543.086,2898.648,
540.175,2914.9996,
537.265,2872.6682,
534.354,2880.2062,
531.444,2913.3207,
528.533,2937.125,
525.622,2937.125,
522.712,2963.8221,
519.801,2984.5619,
516.891,2997.4807,
513.980,3033.8726,
511.070,3077.2728,
508.159,3107.9744,
505.248,3127.8819,
502.338,3144.1809,
499.427,3214.4176,
496.517,3247.2664,
493.606,3251.7317,
490.695,3238.0552,
487.785,3230.3572,
484.874,3232.3561,
481.964,3219.175,
479.053,3202.1699,
476.143,3219.0651,
473.232,3244.5847,
470.321,3250.2324,
467.411,3244.0989,
464.500,3237.8147,
461.590,3225.5629,
458.679,3216.6221,
455.769,3228.1933,
452.858,3264.318,
449.947,3275.777,
447.037,3271.4506,
444.126,3271.9311,
441.216,3287.2686,
438.305,3328.4129,
435.395,3327.5686,
432.484,3310.7889,
429.573,3305.7927,
426.663,3364.3235,
423.752,3298.6857,
420.842,3297.3529,
417.931,3344.6222,
415.020,3388.607,
412.110,3411.3418,
409.199,3430.3719,
406.289,3441.1411,
403.378,3437.9892,
400.468,3397.9215,
397.557,3427.7994,
394.646,3441.9985,
391.736,3370.5938,
388.825,3354.0007,
385.915,3278.3432,
383.004,3246.9637,
380.094,3330.4976,
377.183,3455.4087,
374.272,3491.7533,
371.362,3499.6002,
368.451,3517.7237,
365.541,3560.5042,
362.630,3602.1682,
359.719,3620.3177,
356.809,3606.2998,
353.898,3642.2421,
350.988,3627.1706,
348.077,3619.7742,
345.167,3651.687,
342.256,3623.2984,
339.345,3602.3706,
336.435,3602.2287,
333.524,3631.9706,
330.614,3658.7962,
327.703,3623.4856,
324.793,3605.0684,
321.882,3671.134,
318.971,3674.8512,
316.061,3711.2836,
313.150,3727.5703,
310.240,3661.522,
307.329,3696.2861,
304.418,3697.4464,
301.508,3676.5958,
298.597,3659.5662,
295.687,3636.4533,
292.776,3662.7919,
289.866,3739.1912,
286.955,3858.126,
284.044,3954.8199,
281.134,4060.3711,
278.223,4170.8253,
275.313,4237.1423,
272.402,4321.9952,
269.492,4375.9767,
266.581,4381.5995,
263.670,4374.2477,
260.760,4429.0648,
257.849,4492.9299,
254.939,4526.6885,
252.028,4535.0873,
249.117,4543.1501,
246.207,4540.9803,
243.296,4509.5028,
240.386,4569.4652,
237.475,4594.2887,
234.565,4570.3471,
231.654,4508.2645,
228.743,4465.2059,
225.833,4436.4173,
222.922,4419.1206,
220.012,4376.1358,
217.101,4354.7643,
214.191,4341.4424,
211.280,4322.5284,
208.369,4315.0697,
205.459,4332.886,
202.548,4354.5985,
199.638,4299.4492,
196.727,4318.0882,
193.816,4336.5127,
190.906,4328.9122,
187.995,4351.357,
185.085,4364.7993,
182.174,4372.888,
179.264,4379.3928,
176.353,4358.3385,
173.442,4365.3406,
170.532,4392.4044,
167.621,4334.7264,
164.711,4251.8523,
161.800,4124.7686,
158.890,3930.4421,
155.979,3639.7084,
153.068,3343.839,
150.158,3021.905,
147.247,2573.9028,
144.337,2097.7185,
141.426,1646.3043,
138.516,1247.7128,
135.605,850.9249,
132.694,575.11871,
129.784,394.3416,
126.873,262.04258,
123.963,183.33962,
121.052,125.99449,
118.141,80.304762,
115.231,72.308726,
112.320,60.228646,
109.410,48.534066,
106.499,50.670531,
103.589,47.203219,
100.678,40.593918,
97.767,31.351729,
94.857,26.967066,
91.946,23.512557,
89.036,21.915285,
86.125,26.879722,
83.215,23.877637,
80.304,21.322163,
77.393,24.863013,
74.483,20.539055,
71.572,18.125,
68.662,17.640128,
65.751,12.69497,
62.840,12.088404,
59.930,13.312286,
57.019,14.017368,
54.109,18.902287,
51.198,20.013735,
48.288,15.096688,
45.377,11.579797,
42.466,10.537219,
39.556,11.585474,
36.645,14.394235,
33.735,14.605752,
30.824,13.020565,
27.914,9.5146889,
25.003,11.61555,
22.092,15.708236,
19.182,21.651306,
16.271,37.739579,
13.361,157.4972,
10.450,392.20986,
7.539,851.70137,
4.629,1219.9936,
1.718,1328.042,
-1.192,920.21246,
-4.103,526.00708,
-7.013,212.7022,
-9.924,1.125,
