,PLECE3~1,
Raman shift [1/cm],Intensity,
313.150,1328.75,
310.240,1328.75,
307.329,1323.7475,
304.418,1326.7655,
301.508,1326.8423,
298.597,1304.6298,
295.687,1302.0728,
292.776,1328.0001,
289.866,1389.0377,
286.955,1504.2789,
284.044,1576.4099,
281.134,1636.1513,
278.223,1698.9171,
275.313,1809.4454,
272.402,1887.9358,
269.492,1933.7702,
266.581,1947.801,
263.670,1962.5046,
260.760,1992.8692,
257.849,2035.7404,
254.939,2090.0477,
252.028,2097.9884,
249.117,2082.9337,
246.207,2060.9924,
243.296,2058.0642,
240.386,2072.1158,
237.475,2050.1676,
234.565,1999.7591,
231.654,1980.7691,
228.743,1924.9669,
225.833,1861.4436,
222.922,1804.4295,
220.012,1819.0006,
217.101,1764.8641,
214.191,1707.247,
211.280,1718.8864,
208.369,1697.5472,
205.459,1654.0115,
202.548,1611.8949,
199.638,1653.2569,
196.727,1664.0549,
193.816,1669.0612,
190.906,1676.8008,
187.995,1678.2488,
185.085,1691.0442,
182.174,1695.7394,
179.264,1662.4921,
176.353,1727.9541,
173.442,1741.371,
170.532,1700.5303,
167.621,1732.9742,
164.711,1681.8353,
161.800,1606.3685,
158.890,1543.7522,
155.979,1502.4061,
153.068,1377.7942,
150.158,1197.7635,
147.247,1068.5321,
144.337,863.53598,
141.426,664.10594,
138.516,508.54054,
135.605,369.40917,
132.694,253.83969,
129.784,161.90357,
126.873,101.11754,
123.963,67.694405,
121.052,48.633819,
118.141,40.780897,
115.231,27.249163,
112.320,24.291816,
109.410,25.295605,
106.499,12.476811,
103.589,8.629491,
100.678,8.2932434,
97.767,9.7151186,
94.857,9.057011,
91.946,6.7344456,
89.036,4.3144895,
86.125,7.8605159,
83.215,10.342761,
80.304,9.5951058,
77.393,3.2215764,
74.483,4.7154049,
71.572,5.3876479,
68.662,4.611465,
65.751,3.1985628,
62.840,7.0853179,
59.930,11.000855,
57.019,8.1805273,
54.109,2.3755524,
51.198,-0.94839072,
48.288,-0.16506337,
45.377,10.385608,
42.466,13.101123,
39.556,10.865119,
36.645,11.567309,
33.735,10.711503,
30.824,9.3082261,
27.914,7.9058756,
25.003,8.3726375,
22.092,8.4270954,
19.182,8.5280173,
16.271,32.310682,
13.361,147.11449,
10.450,347.99881,
7.539,674.8104,
4.629,834.1008,
1.718,783.15718,
-1.192,389.96766,
-4.103,160.4875,
-7.013,32.285083,
-9.924,3.75,
