,PL3ADE~1,
Wavenumbers [1/cm],Intensity,
397.557,2713.0542,
394.646,2768.1578,
391.736,2854.0128,
388.825,2842.6994,
385.915,2844.1647,
383.004,2844.6629,
380.094,2838.0238,
377.183,2889.9447,
374.272,2922.2868,
371.362,2944.1445,
368.451,2957.6851,
365.541,2913.4035,
362.630,2948.3517,
359.719,2988.2629,
356.809,2988.8345,
353.898,2963.3754,
350.988,2985.1268,
348.077,2997.1778,
345.167,2968.1318,
342.256,2983.0732,
339.345,2998.5351,
336.435,2995.3282,
333.524,2961.5159,
330.614,2965.9869,
327.703,2983.2906,
324.793,3003.7886,
321.882,3019.3912,
318.971,3026.0822,
316.061,3013.2373,
313.150,3002.4559,
310.240,3018.7825,
307.329,3067.9703,
304.418,3112.9084,
301.508,3143.5719,
298.597,3144.3123,
295.687,3111.8675,
292.776,3140.1252,
289.866,3227.3753,
286.955,3350.7425,
284.044,3429.7274,
281.134,3509.8095,
278.223,3590.8718,
275.313,3628.4514,
272.402,3666.582,
269.492,3680.4537,
266.581,3659.276,
263.670,3601.932,
260.760,3655.8967,
257.849,3734.7461,
254.939,3775.8435,
252.028,3801.7096,
249.117,3760.2103,
246.207,3724.1878,
243.296,3820.0846,
240.386,3811.4382,
237.475,3801.7592,
234.565,3798.4638,
231.654,3773.6308,
228.743,3748.2371,
225.833,3701.056,
222.922,3623.3321,
220.012,3536.6341,
217.101,3520.1522,
214.191,3509.6447,
211.280,3433.9886,
208.369,3431.0663,
205.459,3408.0207,
202.548,3377.3917,
199.638,3412.2229,
196.727,3358.8723,
193.816,3343.5742,
190.906,3406.2706,
187.995,3260.7417,
185.085,3208.9564,
182.174,3211.0968,
179.264,3224.8293,
176.353,3155.8893,
173.442,3135.9531,
170.532,3159.7061,
167.621,3068.1422,
164.711,2985.037,
161.800,2864.2982,
158.890,2664.9337,
155.979,2425.9965,
153.068,2195.2569,
150.158,1962.2489,
147.247,1679.3757,
144.337,1401.6839,
141.426,1109.3383,
138.516,791.0386,
135.605,584.90347,
132.694,406.01658,
129.784,258.67504,
126.873,167.85355,
123.963,114.09265,
121.052,77.176588,
118.141,51.476116,
115.231,41.427015,
112.320,36.104092,
109.410,32.602382,
106.499,23.344364,
103.589,19.133982,
100.678,18.461487,
97.767,21.305237,
94.857,17.217066,
91.946,18.196776,
89.036,21.584715,
86.125,16.620278,
83.215,17.498681,
80.304,15.544077,
77.393,4.2133581,
74.483,11.891754,
71.572,14.925592,
68.662,12.09793,
65.751,9.2721257,
62.840,11.746914,
59.930,14.063997,
57.019,9.1284227,
54.109,3.5977132,
51.198,2.7878742,
48.288,8.3580127,
45.377,6.2478785,
42.466,4.138342,
39.556,2.2598814,
36.645,1.5576912,
33.735,5.0097393,
30.824,6.1661303,
27.914,-0.84562219,
25.003,-0.37972505,
22.092,-1.8853319,
19.182,-6.3961714,
16.271,0.59872995,
13.361,15.175823,
10.450,8.5389458,
7.539,-124.14097,
4.629,-443.12006,
1.718,-791.30312,
-1.192,-1057.6123,
-4.103,-835.79615,
-7.013,-466.32197,
-9.924,1.375,
