,PL9E2D~1,
Raman shift [1/cm],Intensity,
1145.576,926.30238,
1142.665,970.69802,
1139.754,928.81179,
1136.844,936.58287,
1133.933,964.31621,
1131.023,960.90745,
1128.112,938.16118,
1125.202,934.54891,
1122.291,941.12433,
1119.380,939.82539,
1116.470,985.71686,
1113.559,983.64251,
1110.649,994.47191,
1107.738,999.76755,
1104.828,996.2945,
1101.917,993.67087,
1099.006,994.90076,
1096.096,997.21374,
1093.185,994.57973,
1090.275,990.32865,
1087.364,994.86398,
1084.453,983.31339,
1081.543,976.31899,
1078.632,984.50894,
1075.722,984.41676,
1072.811,956.11246,
1069.901,980.56377,
1066.990,997.7333,
1064.079,993.20883,
1061.169,1001.5256,
1058.258,1013.4924,
1055.348,1019.3146,
1052.437,1033.7545,
1049.527,1071.7442,
1046.616,1081.3014,
1043.705,1093.9365,
1040.795,1076.9429,
1037.884,1075.4898,
1034.974,1090.2165,
1032.063,1095.5136,
1029.153,1086.6866,
1026.242,1089.2815,
1023.331,1096.8745,
1020.421,1118.5909,
1017.510,1130.1764,
1014.600,1123.4935,
1011.689,1121.6375,
1008.778,1147.9614,
1005.868,1151.9001,
1002.957,1210.4042,
1000.047,1263.783,
997.136,1290.9469,
994.226,1288.1136,
991.315,1271.4171,
988.404,1259.2945,
985.494,1243.4901,
982.583,1248.6294,
979.673,1224.499,
976.762,1232.401,
973.852,1240.3969,
970.941,1246.3411,
968.030,1268.768,
965.120,1248.3356,
962.209,1238.9577,
959.299,1233.1255,
956.388,1219.0558,
953.477,1222.5279,
950.567,1252.6162,
947.656,1279.1387,
944.746,1239.2096,
941.835,1275.4362,
938.925,1285.6911,
936.014,1267.1536,
933.103,1261.0864,
930.193,1271.191,
927.282,1218.7875,
924.372,1226.3979,
921.461,1206.7558,
918.551,1198.2131,
915.640,1203.3242,
912.729,1201.1775,
909.819,1173.7086,
906.908,1176.2359,
903.998,1188.3055,
901.087,1181.8274,
898.176,1197.3716,
895.266,1232.7536,
892.355,1261.888,
889.445,1275.3162,
886.534,1254.5032,
883.624,1292.0906,
880.713,1291.9608,
877.802,1265.7746,
874.892,1249.8819,
871.981,1234.9077,
869.071,1257.4638,
866.160,1264.8248,
863.250,1271.0928,
860.339,1266.0677,
857.428,1247.0793,
854.518,1237.7842,
851.607,1251.9294,
848.697,1239.243,
845.786,1225.6284,
842.875,1229.5119,
839.965,1252.8654,
837.054,1272.8819,
834.144,1228.958,
831.233,1247.7064,
828.323,1250.4944,
825.412,1249.6778,
822.501,1265.5663,
819.591,1233.3368,
816.680,1223.5609,
813.770,1216.363,
810.859,1202.5452,
807.949,1195.9897,
805.038,1210.0896,
802.127,1182.9264,
799.217,1173.6665,
796.306,1175.348,
793.396,1179.543,
790.485,1184.1125,
787.574,1194.2816,
784.664,1191.8213,
781.753,1214.8594,
778.843,1190.599,
775.932,1178.0659,
773.022,1228.5567,
770.111,1197.4887,
767.200,1233.4406,
764.290,1208.3908,
761.379,1194.7665,
758.469,1210.3526,
755.558,1190.8887,
752.648,1174.5967,
749.737,1131.5549,
746.826,1122.4967,
743.916,1112.3617,
741.005,1034.9686,
738.095,898.57326,
735.184,747.22872,
732.274,723.87705,
729.363,805.84433,
726.452,944.657,
723.542,1117.8672,
720.631,1163.3083,
717.721,1174.375,
714.810,1193.7896,
711.899,1222.3651,
708.989,1209.4543,
706.078,1206.9711,
703.168,1207.5894,
700.257,1193.1098,
697.347,1181.1566,
694.436,1215.3275,
691.525,1176.7449,
688.615,1168.375,
685.704,1176.5772,
682.794,1197.2047,
679.883,1228.582,
676.973,1210.9519,
674.062,1188.2325,
671.151,1195.3465,
668.241,1212.657,
665.330,1195.0557,
662.420,1209.4329,
659.509,1213.0099,
656.598,1205.5855,
653.688,1188.4737,
650.777,1167.2112,
647.867,1221.3615,
644.956,1203.0366,
642.046,1181.4728,
639.135,1184.9209,
636.224,1213.4148,
633.314,1221.3542,
630.403,1199.7266,
627.493,1199.5061,
624.582,1220.431,
621.672,1198.2552,
618.761,1239.9316,
615.850,1238.4983,
612.940,1238.3287,
610.029,1257.9554,
607.119,1237.425,
604.208,1273.7157,
601.297,1263.4521,
598.387,1239.6681,
595.476,1245.6721,
592.566,1248.8204,
589.655,1231.882,
586.745,1221.0731,
583.834,1218.4967,
580.923,1215.0338,
578.013,1158.533,
575.102,1145.6694,
572.192,1170.9558,
569.281,1208.7352,
566.371,1182.9086,
563.460,1230.4632,
560.549,1248.4513,
