,PL3CE0~1,
Raman shift [1/cm],Intensity,
1605.447,2537.1934,
1602.536,2530.9992,
1599.626,2587.2858,
1596.715,2585.8968,
1593.805,2525.3298,
1590.894,2497.1139,
1587.984,2463.0707,
1585.073,2421.6649,
1582.162,2459.499,
1579.252,2361.0526,
1576.341,2365.2872,
1573.431,2390.263,
1570.520,2368.4968,
1567.610,2331.1907,
1564.699,2299.4991,
1561.788,2284.2078,
1558.878,2197.9529,
1555.967,2110.3608,
1553.057,2138.1977,
1550.146,2091.432,
1547.235,2016.095,
1544.325,1983.6772,
1541.414,1943.0068,
1538.504,1896.6979,
1535.593,1856.7996,
1532.683,1813.1991,
1529.772,1819.162,
1526.861,1835.0986,
1523.951,1756.7416,
1521.040,1703.6103,
1518.130,1722.3951,
1515.219,1698.2907,
1512.309,1660.8806,
1509.398,1618.3241,
1506.487,1617.9038,
1503.577,1601.6299,
1500.666,1615.2061,
1497.756,1570.4538,
1494.845,1606.4485,
1491.934,1538.9728,
1489.024,1454.2735,
1486.113,1469.7943,
1483.203,1497.0069,
1480.292,1462.9155,
1477.382,1441.7015,
1474.471,1429.0415,
1471.560,1369.648,
1468.650,1353.0329,
1465.739,1319.3826,
1462.829,1319.5418,
1459.918,1335.46,
1457.008,1346.8963,
1454.097,1342.8474,
1451.186,1319.3486,
1448.276,1334.0778,
1445.365,1379.2145,
1442.455,1385.3498,
1439.544,1368.2072,
1436.633,1280.5131,
1433.723,1316.8973,
1430.812,1267.6142,
1427.902,1296.3029,
1424.991,1256.4969,
1422.081,1231.3956,
1419.170,1270.7249,
1416.259,1220.5456,
1413.349,1243.5016,
1410.438,1216.0623,
1407.528,1215.3435,
1404.617,1210.7461,
1401.707,1199.6602,
1398.796,1189.7535,
1395.885,1198.4391,
1392.975,1251.522,
1390.064,1282.1199,
1387.154,1227.6046,
1384.243,1195.6286,
1381.332,1185.2219,
1378.422,1242.2644,
1375.511,1261.9368,
1372.601,1385.7404,
1369.690,1447.6833,
1366.780,1425.3606,
1363.869,1440.4973,
1360.958,1513.291,
1358.048,1545.0634,
1355.137,1564.226,
1352.227,1619.7666,
1349.316,1688.7462,
1346.406,1720.5444,
1343.495,1729.9173,
1340.584,1800.3572,
1337.674,1794.4276,
1334.763,1783.5195,
1331.853,1895.7145,
1328.942,1926.9339,
1326.032,1940.0374,
1323.121,1997.8223,
1320.210,2027.9047,
1317.300,2052.1374,
1314.389,2067.8195,
1311.479,2115.6866,
1308.568,2184.3074,
1305.657,2214.6121,
1302.747,2261.8186,
1299.836,2335.7808,
1296.926,2426.831,
1294.015,2460.8459,
1291.105,2565.2734,
1288.194,2654.3318,
1285.283,2741.2703,
1282.373,2801.1561,
1279.462,2852.0925,
1276.552,2914.4864,
1273.641,2962.3237,
1270.731,2988.4217,
1267.820,3011.8773,
1264.909,2952.4038,
1261.999,2947.6148,
1259.088,2985.0118,
1256.178,2912.7383,
1253.267,2841.1759,
1250.356,2759.5881,
1247.446,2655.9091,
1244.535,2571.0492,
1241.625,2496.476,
1238.714,2398.5752,
1235.804,2306.0753,
1232.893,2267.6337,
1229.982,2226.5022,
1227.072,2174.8994,
1224.161,2124.1818,
1221.251,2082.4916,
1218.340,2060.2372,
1215.430,2021.7684,
1212.519,1995.25,
1209.608,1992.7694,
1206.698,1988.7607,
1203.787,1990.7173,
1200.877,1995.5346,
1197.966,2032.4001,
1195.055,2124.6944,
1192.145,2137.2446,
1189.234,2187.5046,
1186.324,2246.3439,
1183.413,2272.25,
1180.503,2285.7402,
1177.592,2300.4013,
1174.681,2258.7158,
1171.771,2240.8791,
1168.860,2224.8035,
1165.950,2211.1557,
1163.039,2150.2826,
1160.129,2122.3007,
1157.218,2112.5582,
1154.307,2096.0874,
1151.397,2084.3354,
1148.486,2082.7572,
1145.576,2039.0165,
1142.665,2010.6033,
1139.754,2029.4043,
1136.844,1985.9291,
1133.933,1974.6341,
1131.023,1974.1686,
1128.112,1942.682,
1125.202,1918.1243,
1122.291,1973.3726,
1119.380,1967.0421,
1116.470,1945.8614,
1113.559,1971.087,
1110.649,1960.9143,
1107.738,1971.6111,
1104.828,1999.6525,
1101.917,2008.9243,
1099.006,1992.5697,
1096.096,1975.5725,
1093.185,1980.8405,
1090.275,2007.1466,
1087.364,2020.1112,
1084.453,2001.3139,
1081.543,1986.8793,
1078.632,1985.8625,
1075.722,1970.044,
1072.811,1944.3669,
1069.901,1960.0856,
1066.990,2021.0665,
1064.079,2052.9434,
1061.169,2074.5052,
1058.258,2074.6629,
1055.348,2076.7117,
1052.437,2116.25,
1049.527,2116.8206,
1046.616,2131.5907,
1043.705,2124.7716,
1040.795,2130.5506,
1037.884,2150.9279,
1034.974,2160.2912,
1032.063,2157.642,
1029.153,2180.6268,
1026.242,2175.4371,
1023.331,2171.9169,
1020.421,2237.4746,
1017.510,2271.2925,
1014.600,2273.9812,
1011.689,2280.232,
1008.778,2318.2832,
1005.868,2423.6361,
1002.957,2466.6538,
1000.047,2530.762,
997.136,2585.7276,
994.226,2640.9264,
991.315,2666.5495,
988.404,2628.2784,
985.494,2591.8664,
982.583,2574.7353,
979.673,2571.5184,
976.762,2557.7467,
973.852,2547.366,
970.941,2554.5487,
968.030,2573.9494,
965.120,2572.3288,
962.209,2591.0847,
959.299,2582.2098,
956.388,2586.7694,
953.477,2591.7838,
950.567,2584.0672,
947.656,2573.0299,
944.746,2578.9768,
941.835,2598.6855,
938.925,2563.767,
936.014,2558.9306,
933.103,2573.8969,
930.193,2564.2609,
927.282,2525.317,
924.372,2471.1981,
921.461,2433.3212,
918.551,2428.6403,
915.640,2397.9797,
912.729,2341.6626,
909.819,2320.3629,
906.908,2336.369,
903.998,2341.2268,
901.087,2357.5261,
898.176,2391.5413,
895.266,2441.7853,
892.355,2495.59,
889.445,2524.1251,
886.534,2533.4336,
883.624,2537.2685,
880.713,2549.9882,
877.802,2556.7339,
874.892,2560.3839,
871.981,2613.5398,
869.071,2583.4649,
866.160,2554.7914,
863.250,2530.0965,
860.339,2518.6819,
857.428,2522.2065,
854.518,2524.902,
851.607,2478.3061,
848.697,2461.9962,
845.786,2426.5931,
842.875,2416.8247,
839.965,2445.5265,
837.054,2410.4547,
834.144,2428.6872,
831.233,2414.9179,
828.323,2400.3151,
825.412,2377.186,
822.501,2337.3776,
819.591,2315.8912,
816.680,2350.5065,
813.770,2289.7082,
810.859,2231.1029,
807.949,2216.5891,
805.038,2237.9292,
802.127,2276.6162,
799.217,2245.962,
796.306,2256.3853,
793.396,2259.2346,
790.485,2230.0903,
787.574,2204.2153,
784.664,2229.6387,
781.753,2210.0946,
778.843,2220.3037,
775.932,2233.065,
773.022,2209.8696,
770.111,2207.4169,
767.200,2200.3982,
764.290,2201.1394,
761.379,2236.3349,
758.469,2278.0423,
755.558,2242.1073,
752.648,2203.8209,
749.737,2207.3474,
746.826,2193.2025,
743.916,2144.8405,
741.005,2068.2454,
738.095,1970.8202,
735.184,1837.6899,
732.274,1782.4133,
729.363,1845.5135,
726.452,1996.8678,
723.542,2077.8071,
720.631,2102.128,
717.721,2150.0677,
714.810,2191.909,
711.899,2204.547,
708.989,2184.3739,
706.078,2182.6474,
703.168,2162.2117,
700.257,2152.138,
697.347,2150.5984,
694.436,2129.6172,
691.525,2106.3068,
688.615,2110.6837,
685.704,2121.4303,
682.794,2116.0799,
679.883,2077.872,
676.973,2113.9336,
674.062,2094.4506,
671.151,2086.7016,
668.241,2104.8269,
665.330,2131.5693,
662.420,2117.1921,
659.509,2128.2185,
