,PL1FD2~1,
Raman shift [1/cm],Intensity,
30.824,25.770565,
27.914,22.264689,
25.003,26.8561,
22.092,30.197905,
19.182,30.966531,
16.271,33.764492,
13.361,87.978705,
10.450,183.83124,
7.539,317.20948,
4.629,281.13848,
1.718,101.97959,
-1.192,-266.11272,
-4.103,-225.01292,
-7.013,-117.35326,
-9.924,-1.125,
