,PLA19C~1,
Raman shift [1/cm],Intensity,
979.673,1068.0288,
976.762,1043.3377,
973.852,1051.3415,
970.941,1082.8671,
968.030,1087.5122,
965.120,1050.2431,
962.209,1078.377,
959.299,1110.7467,
956.388,1100.2864,
953.477,1079.0147,
950.567,1081.4906,
947.656,1107.019,
944.746,1121.4614,
941.835,1090.5423,
938.925,1096.9441,
936.014,1105.1367,
933.103,1105.4188,
930.193,1098.7316,
927.282,1075.5668,
924.372,1046.8162,
921.461,1058.5894,
918.551,1043.7923,
915.640,1028.7001,
912.729,1028.6617,
909.819,1030.5698,
906.908,1033.9395,
903.998,1001.5151,
901.087,1023.0408,
898.176,1054.4409,
895.266,1067.9032,
892.355,1066.4233,
889.445,1084.0479,
886.534,1081.6204,
883.624,1085.8348,
880.713,1105.4771,
877.802,1110.3137,
874.892,1086.4704,
871.981,1078.5726,
869.071,1055.1811,
866.160,1062.1644,
863.250,1066.0766,
860.339,1074.0744,
857.428,1085.9162,
854.518,1067.9084,
851.607,1060.4197,
848.697,1057.7494,
845.786,1058.1629,
842.875,1056.6782,
839.965,1057.5135,
837.054,1081.9017,
834.144,1062.0117,
831.233,1061.4581,
828.323,1028.505,
825.412,1006.3255,
822.501,1033.9761,
819.591,1033.1497,
816.680,981.84286,
813.770,983.53456,
810.859,970.91669,
807.949,962.48849,
805.038,1005.0387,
802.127,979.52176,
799.217,976.37961,
796.306,993.71973,
793.396,991.94163,
790.485,970.86255,
787.574,981.96571,
784.664,1004.1087,
781.753,994.70532,
778.843,985.67459,
775.932,987.44591,
773.022,1000.6753,
770.111,1023.5675,
767.200,992.38856,
764.290,968.25593,
761.379,969.15329,
758.469,987.58987,
755.558,991.83642,
752.648,948.66243,
749.737,940.77779,
746.826,944.38855,
743.916,917.9687,
741.005,830.12916,
738.095,741.63459,
735.184,641.02748,
732.274,586.19269,
729.363,633.34502,
726.452,780.73603,
723.542,894.8605,
720.631,914.12216,
717.721,926.71768,
714.810,946.0681,
711.899,963.92697,
708.989,950.20925,
706.078,946.11849,
703.168,952.41165,
700.257,952.17414,
697.347,947.29868,
694.436,954.95042,
691.525,948.51998,
688.615,941.4648,
685.704,932.94468,
682.794,922.38036,
679.883,909.8727,
676.973,904.2631,
674.062,922.90554,
671.151,940.69995,
668.241,942.45405,
665.330,921.57879,
662.420,931.16357,
659.509,934.39486,
656.598,945.511,
653.688,958.89496,
650.777,958.77306,
647.867,977.88493,
644.956,954.8824,
642.046,950.56294,
639.135,962.25595,
636.224,940.2006,
633.314,955.28543,
630.403,950.84805,
627.493,942.43648,
624.582,946.60043,
621.672,984.61615,
618.761,989.16476,
615.850,990.125,
612.940,998.66337,
610.029,1010.2587,
607.119,981.04233,
