,PL9DD1~1,
Wavenumbers [1/cm],Intensity,
86.125,13.923175,
83.215,9.8453982,
80.304,7.0211346,
77.393,5.6047948,
74.483,10.085945,
71.572,9.6011831,
68.662,4.5,
65.751,4.5,
62.840,8.3536159,
59.930,11.00171,
57.019,5.3610545,
54.109,1.5141958,
51.198,1.0080464,
48.288,4.4943376,
45.377,3.7909595,
42.466,3.5,
39.556,3.1546443,
36.645,1.0480736,
33.735,1.5384969,
30.824,1.3955651,
27.914,-2.1103111,
25.003,-0.63208757,
22.092,1.1458091,
19.182,3.2322516,
16.271,25.615936,
13.361,98.98307,
10.450,221.03294,
7.539,415.86293,
4.629,435.5205,
1.718,255.33134,
-1.192,-237.54985,
-4.103,-326.62979,
-7.013,-238.9163,
-9.924,0.5,
