,PL6C9F~1,
Wavenumbers [1/cm],Intensity,
918.551,964.1538,
915.640,959.97489,
912.729,967.29719,
909.819,982.01211,
906.908,966.00603,
903.998,961.14818,
901.087,950.57741,
898.176,950.37415,
895.266,955.1728,
892.355,955.4809,
889.445,968.0699,
886.534,988.16192,
883.624,975.3042,
880.713,970.69749,
877.802,962.31368,
874.892,927.99112,
871.981,871.81682,
869.071,774.07352,
866.160,766.09448,
863.250,819.92427,
860.339,884.09764,
857.428,927.49914,
854.518,965.75291,
851.607,918.32496,
848.697,894.99302,
845.786,857.506,
842.875,846.60242,
839.965,894.93127,
837.054,967.05988,
834.144,961.25861,
831.233,1014.1211,
828.323,1027.7716,
825.412,1010.9054,
822.501,1008.5932,
819.591,1033.3852,
816.680,1014.0929,
813.770,997.22145,
810.859,993.28368,
807.949,995.74694,
805.038,992.8219,
802.127,998.5838,
799.217,1017.0144,
796.306,998.71941,
793.396,997.25495,
790.485,1015.7018,
787.574,985.33937,
784.664,1017.3237,
781.753,997.62761,
778.843,1003.7481,
775.932,1022.1991,
773.022,1017.7158,
770.111,1002.1819,
767.200,1019.3965,
764.290,1036.1047,
761.379,1030.7335,
758.469,1007.8231,
755.558,999.51401,
752.648,1012.5477,
749.737,994.23575,
746.826,999.90896,
743.916,1015.2159,
741.005,1003.1075,
738.095,985.2462,
735.184,940.22142,
732.274,883.1568,
729.363,864.60898,
726.452,901.17149,
723.542,912.50299,
720.631,982.69805,
717.721,1008.7078,
714.810,1025.4488,
711.899,1042.9864,
708.989,1025.234,
706.078,1054.7732,
703.168,1038.4434,
700.257,1035.5022,
697.347,1051.1687,
694.436,1044.0814,
691.525,1042.4737,
688.615,1021.9998,
685.704,1010.9884,
682.794,1020.3164,
679.883,1048.5307,
676.973,1079.7841,
674.062,1072.7253,
671.151,1067.3167,
668.241,1071.3162,
665.330,1072.4401,
662.420,1015.7301,
659.509,993.9661,
656.598,1003.2712,
653.688,1035.5473,
650.777,1075.3968,
647.867,1024.4319,
644.956,1044.0825,
642.046,1031.2009,
639.135,975.64455,
636.224,936.499,
633.314,1011.1292,
630.403,1063.824,
627.493,1070.6098,
624.582,1039.7107,
621.672,1019.9109,
618.761,1030.5241,
615.850,1051.7566,
612.940,1082.8602,
610.029,1108.0228,
607.119,1065.3827,
604.208,1110.8259,
601.297,1145.0835,
598.387,1127.8821,
595.476,1053.9132,
592.566,1094.0537,
589.655,1103.7166,
586.745,1103.8231,
583.834,1115.5196,
580.923,1162.9591,
578.013,1135.4934,
575.102,1081.6643,
572.192,1069.9912,
569.281,1112.3904,
566.371,1119.434,
563.460,1108.8375,
560.549,1126.0525,
557.639,1153.1534,
554.728,1162.1541,
551.818,1130.9415,
548.907,1130.8285,
545.996,1137.8465,
543.086,1138.602,
540.175,1122.2504,
537.265,1129.8164,
534.354,1117.0709,
531.444,1114.5006,
528.533,1149.2354,
525.622,1150.7873,
522.712,1123.2143,
519.801,1100.5424,
516.891,1095.0031,
513.980,1104.2946,
511.070,1114.9859,
508.159,1131.5417,
505.248,1135.1105,
502.338,1105.4187,
499.427,1115.4525,
496.517,1122.6502,
493.606,1143.2861,
490.695,1175.0923,
487.785,1160.4663,
484.874,1158.125,
481.964,1135.2847,
479.053,1110.2955,
476.143,1140.246,
473.232,1129.8951,
470.321,1131.4505,
467.411,1136.6054,
464.500,1132.6098,
461.590,1151.7533,
458.679,1151.6221,
455.769,1132.317,
452.858,1102.511,
449.947,1125.429,
447.037,1138.0129,
444.126,1146.4523,
441.216,1153.051,
438.305,1158.3845,
435.395,1158.4694,
432.484,1156.0412,
429.573,1150.995,
426.663,1141.8733,
423.752,1022.5638,
420.842,885.72472,
417.931,748.14171,
415.020,621.49591,
412.110,838.07217,
409.199,998.83151,
406.289,1079.1732,
403.378,1070.0021,
400.468,1033.7143,
397.557,1016.9835,
394.646,1035.0194,
391.736,1097.3664,
388.825,1104.9088,
385.915,1098.0777,
383.004,1097.2636,
380.094,1115.3553,
377.183,1119.8702,
374.272,1121.6678,
371.362,1133.8981,
368.451,1163.4016,
365.541,1184.4166,
362.630,1148.6107,
359.719,1126.5556,
356.809,1155.8078,
353.898,1150.5662,
350.988,1171.367,
348.077,1195.3524,
345.167,1205.5139,
342.256,1153.9662,
339.345,1142.845,
336.435,1156.1183,
333.524,1181.5378,
330.614,1162.9089,
327.703,1175.0942,
324.793,1198.0542,
321.882,1215.143,
318.971,1222.5775,
316.061,1230.0081,
313.150,1245.2869,
310.240,1277.94,
307.329,1276.2665,
304.418,1284.2441,
301.508,1291.5804,
298.597,1278.2529,
295.687,1234.4589,
292.776,1232.0418,
289.866,1271.9156,
286.955,1342.0945,
284.044,1374.895,
281.134,1412.9343,
278.223,1458.3584,
275.313,1480.4641,
272.402,1465.9552,
269.492,1477.4732,
266.581,1525.8715,
263.670,1438.385,
260.760,1510.2883,
257.849,1587.3201,
254.939,1553.5615,
252.028,1536.4766,
249.117,1524.1862,
246.207,1527.3532,
243.296,1566.8832,
240.386,1583.5318,
237.475,1560.1584,
234.565,1516.2662,
231.654,1542.56,
228.743,1530.864,
225.833,1490.9892,
222.922,1429.159,
220.012,1429.8875,
217.101,1428.1621,
214.191,1412.7928,
211.280,1368.4176,
208.369,1345.6134,
205.459,1317.3602,
202.548,1292.2587,
199.638,1310.3999,
196.727,1287.0429,
193.816,1280.671,
190.906,1309.9918,
187.995,1249.1738,
185.085,1234.745,
182.174,1240.9497,
179.264,1236.6131,
176.353,1213.6977,
173.442,1233.3926,
170.532,1277.4399,
167.621,1168.5726,
164.711,1139.6506,
161.800,1111.3705,
158.890,1027.1624,
155.979,919.0488,
153.068,827.93908,
150.158,746.29147,
147.247,641.47044,
144.337,555.6694,
141.426,451.70323,
138.516,309.75877,
135.605,213.96866,
132.694,146.30557,
129.784,99.180925,
126.873,58.418524,
123.963,40.450808,
121.052,30.292108,
118.141,23.153088,
115.231,18.151008,
112.320,15.701364,
109.410,14.579579,
106.499,11.730958,
103.589,7.7634731,
100.678,5.6682434,
97.767,7.0901186,
94.857,4.3530438,
91.946,6.349887,
89.036,10.334715,
86.125,5.3702777,
83.215,6.2486814,
80.304,5.0123751,
77.393,-4.1938341,
74.483,0.36607966,
71.572,2.7626479,
68.662,1.84793,
65.751,-0.97787431,
62.840,3.4237218,
59.930,8.0012828,
57.019,3.7707909,
54.109,-1.6522868,
51.198,-2.4621258,
48.288,3.1476498,
45.377,5.961162,
42.466,5.0639033,
39.556,1.6645257,
36.645,-1.1442352,
33.735,-1.3557515,
30.824,-1.095887,
27.914,-1.7970622,
25.003,-6.2334623,
22.092,-6.6146681,
19.182,-1.9436486,
16.271,-4.042119,
13.361,17.883731,
10.450,21.120786,
7.539,-141.58669,
4.629,-478.18024,
1.718,-839.61564,
-1.192,-1119.1706,
-4.103,-880.81606,
-7.013,-490.14727,
-9.924,-0.875,
