,PLDA91~1,
Raman shift [1/cm],Intensity,
91.946,19.625,
89.036,20.076592,
86.125,22.913413,
83.215,20.970398,
80.304,19.343298,
77.393,21.467808,
74.483,15.07365,
71.572,10.900296,
68.662,9.8328025,
65.751,11.952156,
62.840,12.143298,
59.930,11.625,
57.019,11.625,
54.109,10.430678,
51.198,9.9266093,
48.288,10.664637,
45.377,15.588284,
42.466,15.563903,
39.556,12.625,
36.645,12.625,
33.735,12.105752,
30.824,12.950322,
27.914,17.157373,
25.003,15.757088,
22.092,11.395954,
19.182,4.9682429,
16.271,15.460595,
13.361,47.019768,
10.450,107.22067,
7.539,238.50396,
4.629,384.15119,
1.718,431.32203,
-1.192,244.48729,
-4.103,184.7725,
-7.013,112.6774,
-9.924,0.625,
