,PLIQUI~1,
Wavenumbers [1/cm],Intensity,
1227.072,935.29572,
1224.161,957.74961,
1221.251,921.427,
1218.340,873.04097,
1215.430,880.8007,
1212.519,901.46948,
1209.608,887.97185,
1206.698,873.80074,
1203.787,897.12877,
1200.877,889.26058,
1197.966,871.2774,
1195.055,896.82571,
1192.145,966.74188,
1189.234,1007.8388,
1186.324,1027.1031,
1183.413,1052.9232,
1180.503,1085.8182,
1177.592,1091.8293,
1174.681,1044.7997,
1171.771,1007.055,
1168.860,1036.5269,
1165.950,973.25926,
1163.039,996.48556,
1160.129,977.98369,
1157.218,998.56418,
1154.307,1049.2301,
1151.397,1049.5075,
1148.486,1051.4154,
1145.576,1106.1392,
1142.665,1054.6403,
1139.754,1026.7798,
1136.844,1046.5859,
1133.933,1057.375,
1131.023,1031.8818,
1128.112,996.94736,
1125.202,985.85809,
1122.291,995.02058,
1119.380,1048.2364,
1116.470,1034.116,
1113.559,996.80554,
1110.649,997.50738,
1107.738,1015.163,
1104.828,1002.9056,
1101.917,976.70067,
1099.006,987.27196,
1096.096,977.48251,
1093.185,979.23851,
1090.275,995.5604,
1087.364,1000.7472,
1084.453,1008.1246,
1081.543,1011.1839,
1078.632,1007.7482,
1075.722,1014.2735,
1072.811,1047.3201,
1069.901,1032.4747,
1066.990,1029.7583,
1064.079,1048.4294,
1061.169,1011.534,
1058.258,997.66671,
1055.348,1030.8448,
1052.437,1030.6033,
1049.527,1012.4156,
1046.616,1039.3493,
1043.705,1040.0627,
1040.795,1044.483,
1037.884,1037.2602,
1034.974,1031.8441,
1032.063,1037.2289,
1029.153,1031.3098,
1026.242,1039.0944,
1023.331,1027.7091,
1020.421,1053.2591,
1017.510,1093.9491,
1014.600,1113.4145,
1011.689,1101.393,
1008.778,1076.8301,
1005.868,1050.4908,
1002.957,1063.3961,
1000.047,1086.487,
997.136,1132.5512,
994.226,1172.3133,
991.315,1171.9344,
988.404,1132.5916,
985.494,1122.4352,
982.583,1080.4639,
979.673,1064.8636,
976.762,1065.4847,
973.852,1067.491,
970.941,1070.2279,
968.030,1078.6235,
965.120,1074.4036,
962.209,1081.224,
959.299,1083.7915,
956.388,1073.7357,
953.477,1083.4602,
950.567,1113.5578,
947.656,1126.6005,
944.746,1135.9456,
941.835,1126.6572,
938.925,1138.8521,
936.014,1137.776,
933.103,1127.6095,
930.193,1120.1801,
927.282,1101.1294,
924.372,1059.6947,
921.461,1082.3582,
918.551,1073.7851,
915.640,1054.4258,
912.729,1053.3523,
909.819,1073.8207,
906.908,1084.7722,
903.998,1108.4406,
901.087,1095.2798,
898.176,1082.4662,
895.266,1082.5968,
892.355,1088.6315,
889.445,1095.3456,
886.534,1092.0355,
883.624,1095.412,
880.713,1102.4786,
877.802,1088.2685,
874.892,1019.8341,
871.981,872.33688,
869.071,743.6833,
866.160,750.35331,
863.250,878.69962,
860.339,1012.0129,
857.428,1067.9664,
854.518,1085.9788,
851.607,1037.7188,
848.697,946.14913,
845.786,874.6422,
842.875,905.94417,
839.965,1032.9724,
837.054,1081.989,
834.144,1136.6867,
831.233,1158.0409,
828.323,1132.7115,
825.412,1112.6437,
822.501,1136.6729,
819.591,1138.3257,
816.680,1125.5545,
813.770,1107.3389,
810.859,1109.2048,
807.949,1114.1067,
805.038,1093.3706,
802.127,1101.6019,
799.217,1074.0501,
796.306,1067.7804,
793.396,1071.543,
790.485,1076.3231,
787.574,1087.6552,
784.664,1095.0362,
781.753,1088.3232,
778.843,1086.3353,
775.932,1084.98,
773.022,1080.2913,
770.111,1099.0956,
767.200,1104.9429,
764.290,1100.0183,
761.379,1090.2547,
758.469,1083.6306,
755.558,1088.0589,
752.648,1077.4691,
749.737,1074.7222,
746.826,1063.1857,
743.916,1059.031,
741.005,1075.3225,
738.095,1021.7386,
735.184,998.21357,
732.274,967.70962,
729.363,958.14307,
726.452,982.10589,
723.542,986.15285,
720.631,1052.8899,
717.721,1075.6664,
714.810,1097.9317,
711.899,1126.8601,
708.989,1107.4939,
706.078,1072.919,
703.168,1063.7678,
700.257,1074.1019,
697.347,1088.9403,
694.436,1087.0695,
691.525,1075.8162,
688.615,1080.9219,
685.704,1096.1673,
682.794,1111.5452,
679.883,1115.9877,
676.973,1129.611,
674.062,1138.1177,
671.151,1115.9519,
668.241,1089.3312,
665.330,1107.6943,
662.420,1093.3171,
659.509,1080.2161,
656.598,1081.299,
653.688,1097.9664,
650.777,1122.4029,
647.867,1093.7351,
644.956,1063.8473,
642.046,1016.6217,
639.135,978.13054,
636.224,1007.6336,
633.314,1059.2396,
630.403,1098.9795,
627.493,1118.9113,
624.582,1114.6653,
621.672,1084.5695,
