,PLA5FF~1,
Wavenumbers [1/cm],Intensity,
1422.081,477.86527,
1419.170,445.76883,
1416.259,478.1379,
1413.349,464.21777,
1410.438,461.77346,
1407.528,464.51874,
1404.617,466.04926,
1401.707,438.78815,
1398.796,410.09879,
1395.885,420.34363,
1392.975,438.39573,
1390.064,424.4571,
1387.154,418.23125,
1384.243,465.14961,
1381.332,425.46042,
1378.422,367.71059,
1375.511,403.30827,
1372.601,379.91417,
1369.690,431.88001,
1366.780,416.32191,
1363.869,473.0785,
1360.958,509.41911,
1358.048,522.99474,
1355.137,551.53078,
1352.227,565.55469,
1349.316,564.26275,
1346.406,588.00886,
1343.495,604.6572,
1340.584,584.91015,
1337.674,625.51983,
1334.763,656.33371,
1331.853,668.38771,
1328.942,628.84912,
1326.032,676.07472,
1323.121,645.64003,
1320.210,670.16432,
1317.300,708.76243,
1314.389,746.54215,
1311.479,756.7683,
1308.568,745.26287,
1305.657,752.06542,
1302.747,762.06117,
1299.836,829.26074,
1296.926,825.38775,
1294.015,836.41963,
1291.105,842.15825,
1288.194,872.42849,
1285.283,887.03503,
1282.373,896.83591,
1279.462,905.26707,
1276.552,936.74914,
1273.641,950.65389,
1270.731,928.51978,
1267.820,943.75891,
1264.909,929.69896,
1261.999,912.74321,
1259.088,881.7311,
1256.178,928.69302,
1253.267,910.79035,
1250.356,881.20288,
1247.446,893.17063,
1244.535,892.02683,
1241.625,861.14911,
1238.714,863.60442,
1235.804,910.59832,
1232.893,899.12461,
1229.982,899.95509,
1227.072,872.79572,
1224.161,901.13314,
1221.251,885.28423,
1218.340,840.30191,
1215.430,844.64909,
1212.519,860.34741,
1209.608,855.58375,
1206.698,864.79009,
1203.787,885.22675,
1200.877,870.37351,
1197.966,862.28108,
1195.055,893.4452,
1192.145,919.91262,
1189.234,942.44602,
1186.324,951.96601,
1183.413,967.89025,
1180.503,997.66718,
1177.592,1013.5315,
1174.681,994.10103,
1171.771,981.35986,
1168.860,959.03263,
1165.950,954.45613,
1163.039,930.82771,
1160.129,934.44167,
1157.218,963.10444,
1154.307,981.27782,
1151.397,972.96482,
1148.486,966.67041,
1145.576,992.68002,
1142.665,965.15473,
1139.754,1010.0655,
1136.844,977.45622,
1133.933,985.85428,
1131.023,991.18422,
1128.112,976.23209,
1125.202,979.29045,
1122.291,990.13377,
1119.380,1012.3207,
1116.470,955.83886,
1113.559,988.3107,
1110.649,974.99087,
1107.738,981.16445,
1104.828,995.3784,
1101.917,993.35435,
1099.006,1001.6068,
1096.096,1021.9936,
1093.185,991.26354,
1090.275,1013.9624,
1087.364,998.60519,
1084.453,1006.8739,
1081.543,999.40217,
1078.632,986.91793,
1075.722,1021.1914,
1072.811,1026.1924,
1069.901,1016.5866,
1066.990,1019.9167,
1064.079,1044.693,
1061.169,1037.6491,
1058.258,1028.8038,
1055.348,1030.9958,
1052.437,1012.9393,
1049.527,995.59388,
1046.616,1065.9691,
1043.705,1076.9581,
1040.795,1067.0204,
1037.884,1045.1971,
1034.974,1029.1302,
1032.063,1029.7826,
1029.153,1036.9136,
1026.242,1045.5632,
1023.331,1026.7096,
1020.421,1084.917,
1017.510,1091.7051,
1014.600,1089.8317,
1011.689,1099.7528,
1008.778,1079.514,
1005.868,1094.8364,
1002.957,1090.5346,
1000.047,1098.611,
997.136,1133.5906,
994.226,1156.3211,
991.315,1155.9616,
