,PLF08B~1,
Raman shift [1/cm],Intensity,
1844.114,1424.5824,
1841.204,1454.0699,
1838.293,1467.9942,
1835.383,1452.919,
1832.472,1454.6983,
1829.562,1442.2255,
1826.651,1460.6375,
1823.740,1511.8985,
1820.830,1486.917,
1817.919,1470.6137,
1815.009,1507.1743,
1812.098,1490.1614,
1809.188,1527.8332,
1806.277,1512.8984,
1803.366,1523.0675,
1800.456,1496.4558,
1797.545,1484.5848,
1794.635,1537.6629,
1791.724,1494.966,
1788.813,1525.3165,
1785.903,1565.2443,
1782.992,1532.7921,
1780.082,1537.2697,
1777.171,1531.8394,
1774.261,1546.1048,
1771.350,1542.1853,
1768.439,1584.4611,
1765.529,1621.7732,
1762.618,1598.8943,
1759.708,1585.2936,
1756.797,1594.197,
1753.887,1606.2959,
1750.976,1630.8828,
1748.065,1612.4647,
1745.155,1618.4934,
1742.244,1618.9194,
1739.334,1631.6718,
1736.423,1662.4028,
1733.512,1670.0447,
1730.602,1684.4603,
1727.691,1698.7119,
1724.781,1719.5913,
1721.870,1751.0573,
1718.960,1764.0779,
1716.049,1794.0251,
1713.138,1764.4452,
1710.228,1745.4455,
1707.317,1754.9994,
1704.407,1776.2647,
1701.496,1805.8464,
1698.586,1827.9037,
1695.675,1826.6929,
1692.764,1876.6763,
1689.854,1859.4094,
1686.943,1864.2976,
1684.033,1879.1275,
1681.122,1942.4125,
1678.211,1987.0812,
1675.301,2017.4075,
1672.390,2041.6406,
1669.480,2088.9974,
1666.569,2151.084,
1663.659,2197.6433,
1660.748,2266.5,
1657.837,2267.8559,
1654.927,2329.1794,
1652.016,2359.1766,
1649.106,2427.1855,
1646.195,2455.2433,
1643.285,2487.0267,
1640.374,2553.8171,
1637.463,2616.6709,
1634.553,2681.5936,
1631.642,2756.9322,
1628.732,2979.2822,
1625.821,3110.5805,
1622.911,3232.8069,
1620.000,3452.7031,
1617.089,3630.9378,
1614.179,3842.465,
1611.268,4079.5773,
1608.358,4169.52,
1605.447,4335.6727,
